DATE,fievre,toux,diarrhee,difficulté respiratoire,perte gout,perte odorat,fatigue,mal de gorge,courbatures,nez qui coule,mal au ventre,mal au dos,maux de tete,perte appetit,essoufflement,rhinite,agueusie,cephalees,anosmie,vomissements,douleur abdominale,/m/0cjf0,/m/0b76bty,/m/01cdt5,/m/05sfr2,/m/0m7pl
2020-03-15,100,98,0,0,31,0,45,99,28,66,52,38,38,0,38,35,0,100,0,49,0,100,91,74,41,11
2020-03-16,82,100,29,32,0,33,54,66,24,100,53,32,65,0,0,59,0,0,0,41,0,91,74,100,52,14
2020-03-17,56,76,0,0,26,33,29,100,24,67,26,32,61,0,32,59,0,0,0,41,0,83,100,66,0,0
2020-03-18,74,88,30,100,0,35,66,44,38,35,56,34,77,0,34,62,37,0,0,0,0,68,65,51,0,10
2020-03-19,62,81,30,33,27,34,39,65,25,35,55,66,63,0,68,0,0,0,20,0,0,71,64,50,27,10
2020-03-20,63,67,28,0,52,49,37,49,59,49,43,31,48,0,32,0,35,0,28,40,83,58,71,51,38,34
2020-03-21,64,79,33,0,61,96,29,29,0,65,41,37,75,0,0,0,82,0,100,0,0,51,52,56,100,100
2020-03-22,60,71,33,37,71,89,51,96,56,78,77,0,47,0,37,51,82,0,100,48,0,61,56,72,100,89
2020-03-23,45,62,27,90,50,52,32,70,30,63,25,30,23,0,30,55,100,0,18,39,53,37,40,32,49,45
2020-03-24,44,53,58,0,54,68,26,43,25,86,0,100,38,0,33,30,0,0,29,0,0,45,15,21,40,39
2020-03-25,41,51,0,0,28,58,40,44,25,0,83,0,34,0,0,0,74,0,30,43,0,43,42,22,41,40
2020-03-26,48,30,58,0,27,67,26,76,49,34,40,66,37,83,0,89,36,86,39,0,0,40,32,42,62,26
2020-03-27,55,54,27,0,34,63,32,40,46,32,25,31,31,0,62,0,0,0,18,0,54,39,49,33,66,15
2020-03-28,42,50,0,36,100,100,48,28,27,76,30,36,92,0,73,67,40,0,98,47,0,41,70,43,88,76
2020-03-29,44,66,62,34,57,59,63,54,26,36,29,0,53,0,70,0,38,0,83,45,0,43,25,45,75,28
2020-03-30,37,51,0,0,51,94,76,24,0,32,50,61,35,78,31,56,67,0,0,78,53,39,56,39,50,15
2020-03-31,36,45,27,0,25,32,40,48,0,64,38,31,35,0,31,42,34,0,28,40,53,34,33,27,41,28
2020-04-01,24,36,0,31,61,65,37,37,56,55,26,32,40,0,0,44,35,0,47,0,0,33,34,31,51,54
2020-04-02,31,42,27,45,42,79,44,60,23,32,51,31,23,0,0,28,0,0,27,0,54,26,38,30,82,36
2020-04-03,28,31,0,0,26,32,45,25,35,33,26,63,48,0,0,43,0,0,19,40,0,26,38,17,51,25
2020-04-04,24,23,34,0,31,78,40,49,29,40,62,57,87,97,0,35,0,100,23,97,66,28,25,20,31,23
2020-04-05,43,21,53,39,0,0,51,41,30,41,32,52,74,0,40,0,0,0,24,51,0,22,34,17,32,27
2020-04-06,18,19,42,0,26,32,25,98,94,0,39,63,36,81,0,29,0,0,0,0,55,21,23,34,51,13
2020-04-07,27,19,29,0,41,68,30,43,49,34,45,49,38,0,0,0,0,0,29,0,0,22,20,28,35,15
2020-04-08,19,25,29,33,0,69,74,0,50,35,27,83,25,0,67,30,0,0,20,43,0,28,31,43,27,25
2020-04-09,24,31,0,33,27,34,53,0,38,0,55,0,51,0,67,31,37,0,20,0,58,23,15,22,54,17
2020-04-10,13,35,0,0,0,35,45,27,26,0,28,0,26,86,34,0,37,0,20,0,59,21,27,29,41,0
2020-04-11,17,29,34,0,0,78,60,29,28,0,52,57,29,0,38,0,0,0,23,0,67,23,25,16,61,23
2020-04-12,21,25,0,37,30,0,22,29,55,39,30,37,56,0,74,0,41,0,33,47,0,20,27,32,0,16
2020-04-13,32,40,30,0,27,34,56,77,0,0,27,33,25,84,0,30,0,0,0,43,58,20,40,29,27,15
2020-04-14,20,24,28,0,0,0,36,60,47,0,38,31,39,0,31,0,34,81,19,0,82,15,25,27,0,15
2020-04-15,16,32,0,0,0,0,42,50,24,50,27,32,32,0,32,30,0,0,19,0,56,23,25,28,26,10
2020-04-16,13,25,0,0,27,34,35,69,25,35,36,33,100,0,33,30,0,0,0,0,58,17,17,27,0,10
