date,/m/05sfr2
2020-11-11,15.485349652358225
2020-11-12,12.22527604133544
2020-11-13,12.632785242713288
2020-11-14,11.002748437201896
2020-11-15,11.002748437201896
2020-11-16,12.22527604133544
2020-11-17,14.262822048224681
2020-11-18,3.667582812400632
2020-11-19,15.892858853736072
2020-11-20,12.632785242713288
2020-11-21,7.335165624801264
2020-11-22,14.670331249602528
2020-11-23,8.965202430312656
2020-11-24,10.595239235824048
2020-11-25,13.855312846846832
2020-11-26,3.667582812400632
2020-11-27,3.667582812400632
2020-11-28,8.965202430312656
2020-11-29,7.335165624801264
2020-11-30,1.630036805511392
2020-12-01,8.557693228934808
2020-12-02,6.927656423423416
2020-12-03,5.297619617912024
2020-12-04,1.630036805511392
2020-12-05,8.965202430312656
2020-12-06,14.670331249602528
2020-12-07,5.297619617912024
2020-12-08,8.965202430312656
2020-12-09,5.297619617912024
2020-12-10,5.297619617912024
2020-12-11,7.335165624801264
2020-12-12,7.335165624801264
2020-12-13,7.335165624801264
2020-12-14,5.297619617912024
2020-12-15,7.335165624801264
2020-12-16,5.705128819289873
2020-12-17,7.742674826179113
2020-12-18,10.1877300344462
2020-12-19,16.30036805511392
2020-12-20,16.30036805511392
2020-12-21,2.03754600688924
2020-12-22,9.780220833068352
2020-12-23,8.15018402755696
2020-12-24,4.482601215156328
2020-12-25,4.890110416534176
2020-12-26,8.965202430312656
2020-12-27,22.41300607578164
2020-12-28,9.780220833068352
2020-12-29,6.11263802066772
2020-12-30,2.03754600688924
2020-12-31,4.482601215156328
2021-01-01,4.482601215156328
2021-01-02,6.520147222045568
2021-01-03,12.22527604133544
2021-01-04,11.002748437201896
2021-01-05,9.372711631690505
2021-01-06,7.335165624801264
2021-01-07,3.667582812400632
2021-01-08,9.372711631690505
2021-01-09,8.15018402755696
2021-01-10,2.03754600688924
2021-01-11,14.670331249602528
2021-01-12,7.335165624801264
2021-01-13,9.372711631690505
2021-01-14,11.002748437201896
2021-01-15,9.780220833068352
2021-01-16,8.15018402755696
2021-01-17,4.07509201377848
2021-01-18,8.965202430312656
2021-01-19,13.040294444091137
2021-01-20,10.595239235824048
2021-01-21,7.335165624801264
2021-01-22,5.705128819289873
2021-01-23,7.742674826179113
2021-01-24,15.485349652358225
2021-01-25,8.965202430312656
2021-01-26,5.705128819289873
2021-01-27,8.965202430312656
2021-01-28,7.335165624801264
2021-01-29,3.667582812400632
2021-01-30,7.742674826179113
2021-01-31,5.705128819289873
2021-02-01,8.965202430312656
2021-02-02,17.930404860625313
2021-02-03,12.632785242713288
2021-02-04,11.002748437201896
2021-02-05,5.705128819289873
2021-02-06,7.742674826179113
2021-02-07,17.115386457869615
2021-02-08,8.965202430312656
2021-02-09,5.297619617912024
2021-02-10,6.927656423423416
2021-02-11,3.667582812400632
2021-02-12,3.667582812400632
2021-02-13,8.15018402755696
2021-02-14,6.11263802066772
2021-02-15,3.667582812400632
2021-02-16,9.372711631690505
2021-02-17,2.03754600688924
2021-02-18,13.040294444091137
2021-02-19,5.705128819289873
2021-02-20,11.002748437201896
2021-02-21,6.520147222045568
2021-02-22,3.667582812400632
2021-02-23,9.780220833068352
2021-02-24,11.817766839957592
2021-02-25,9.780220833068352
2021-02-26,6.11263802066772
2021-02-27,8.557693228934808
2021-02-28,4.07509201377848
2021-03-01,2.03754600688924
2021-03-02,5.705128819289873
2021-03-03,2.03754600688924
2021-03-04,9.372711631690505
2021-03-05,7.742674826179113
2021-03-06,12.632785242713288
2021-03-07,10.1877300344462
2021-03-08,11.410257638579745
2021-03-09,3.667582812400632
2021-03-10,12.632785242713288
2021-03-11,11.410257638579745
2021-03-12,3.667582812400632
2021-03-13,4.07509201377848
2021-03-14,7.742674826179113
2021-03-15,1.630036805511392
2021-03-16,3.260073611022784
2021-03-17,13.040294444091137
2021-03-18,3.667582812400632
2021-03-19,2.03754600688924
2021-03-20,4.07509201377848
2021-03-21,6.11263802066772
2021-03-22,2.03754600688924
2021-03-23,9.372711631690505
2021-03-24,7.335165624801264
2021-03-25,11.410257638579745
2021-03-26,5.705128819289873
2021-03-27,8.557693228934808
2021-03-28,4.482601215156328
2021-03-29,15.077840450980377
2021-03-30,9.780220833068352
2021-03-31,11.410257638579745
2021-04-01,19.152932464758855
2021-04-02,6.11263802066772
2021-04-03,12.632785242713288
2021-04-04,6.520147222045568
2021-04-05,2.03754600688924
2021-04-06,1.630036805511392
2021-04-07,6.927656423423416
2021-04-08,3.667582812400632
2021-04-09,3.667582812400632
2021-04-10,9.372711631690505
2021-04-11,11.410257638579745
2021-04-12,8.965202430312656
2021-04-13,5.297619617912024
2021-04-14,3.667582812400632
2021-04-15,7.742674826179113
2021-04-16,11.410257638579745
2021-04-17,8.15018402755696
2021-04-18,4.07509201377848
2021-04-19,13.040294444091137
2021-04-20,15.077840450980377
2021-04-21,7.335165624801264
2021-04-22,7.742674826179113
2021-04-23,5.705128819289873
2021-04-24,13.040294444091137
2021-04-25,10.1877300344462
2021-04-26,8.557693228934808
2021-04-27,14.262822048224681
2021-04-28,8.557693228934808
2021-04-29,6.927656423423416
2021-04-30,3.260073611022784
2021-05-01,3.667582812400632
2021-05-02,9.780220833068352
2021-05-03,1.630036805511392
2021-05-04,5.297619617912024
2021-05-05,1.630036805511392
2021-05-06,1.630036805511392
2021-05-07,9.780220833068352
2021-05-08,0.0
2021-05-09,6.11263802066772
2021-05-10,10.595239235824048
2021-05-11,3.260073611022784
2021-05-12,8.965202430312656
2021-05-13,9.780220833068352
2021-05-14,11.817766839957592
2021-05-15,4.07509201377848
2021-05-16,5.705128819289873
2021-05-17,8.965202430312656
2021-05-18,5.297619617912024
2021-05-19,1.630036805511392
2021-05-20,4.07509201377848
2021-05-21,5.705128819289873
2021-05-22,4.07509201377848
2021-05-23,12.632785242713288
2021-05-24,0.0
2021-05-25,2.03754600688924
2021-05-26,1.630036805511392
2021-05-27,3.667582812400632
2021-05-28,6.11263802066772
2021-05-29,8.965202430312656
2021-05-30,4.82066855368239
2021-05-31,4.763127417099974
