date,/m/01c751
2020-10-10,6.66355638766721
2020-10-11,5.328119729198117
2020-10-12,5.982211153754407
2020-10-13,9.18453375314458
2020-10-14,6.404645198780345
2020-10-15,3.870040928624719
2020-10-16,6.336510675389065
2020-10-17,7.304020907545244
2020-10-18,4.38786330639845
2020-10-19,5.995838058432663
2020-10-20,3.883667833302975
2020-10-21,2.875276887112027
2020-10-22,5.341746633876373
2020-10-23,8.244277330344913
2020-10-24,7.644693524501646
2020-10-25,7.8490970946754866
2020-10-26,8.789353517475154
2020-10-27,6.677183292345466
2020-10-28,4.415117115754962
2020-10-29,3.352218550850989
2020-10-30,5.028327826276484
2020-10-31,4.837551160780898
2020-11-01,3.0796804572858676
2020-11-02,0.9675102321561797
2020-11-03,1.1719138023300204
2020-11-04,2.2348123672339923
2020-11-05,2.7253809356512106
2020-11-06,4.183459736224608
2020-11-07,1.2400483257213009
2020-11-08,5.818688297615335
2020-11-09,1.7851245128515427
2020-11-10,3.4476068835987816
2020-11-11,0.23165737953035292
2020-11-12,3.4884875976335494
2020-11-13,3.324964741494477
2020-11-14,1.6216016567124703
2020-11-15,1.9077666549558474
2020-11-16,3.5702490257030854
2020-11-17,2.6708733169381866
2020-11-18,2.1530509391644563
2020-11-19,2.5891118888686497
2020-11-20,2.629992602903419
2020-11-21,1.294555944434325
2020-11-22,4.946566398206946
2020-11-23,2.848023077755515
2020-11-24,0.9402564227996676
2020-11-25,1.4989595146081658
2020-11-26,3.3658454555292456
2020-11-27,0.43606094970419373
2020-11-28,2.548231174833882
2020-11-29,1.8941397502775912
2020-11-30,3.7337718818421584
2020-12-01,3.842787119268207
2020-12-02,2.289319985947017
2020-12-03,2.5618580795121373
2020-12-04,2.9297845058250513
2020-12-05,5.191850682415557
2020-12-06,4.292474973650657
2020-12-07,5.028327826276484
2020-12-08,2.916157601146795
2020-12-09,3.5702490257030854
2020-12-10,0.7222259479475708
2020-12-11,3.134188075998892
2020-12-12,8.026246855492815
2020-12-13,5.873195916328359
2020-12-14,6.827079243806282
2020-12-15,6.336510675389065
2020-12-16,3.2568302181031967
2020-12-17,3.4067261695640134
2020-12-18,3.3658454555292456
2020-12-19,7.740081857249438
2020-12-20,9.688729226240053
2020-12-21,8.42142709116224
