date,/m/0m7pl
2020-02-01,2.056086932082092
2020-02-02,0.0
2020-02-03,3.4268115534701535
2020-02-04,4.112173864164184
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,2.056086932082092
2020-02-09,2.056086932082092
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,4.112173864164184
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,4.112173864164184
2020-02-17,2.056086932082092
2020-02-18,0.0
2020-02-19,2.056086932082092
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,3.4268115534701535
2020-02-26,2.056086932082092
2020-02-27,6.168260796246276
2020-02-28,4.112173864164184
2020-02-29,0.0
2020-03-01,2.056086932082092
2020-03-02,0.0
2020-03-03,2.056086932082092
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,6.168260796246276
2020-03-07,0.0
2020-03-08,4.112173864164184
2020-03-09,7.538985417634338
2020-03-10,2.056086932082092
2020-03-11,0.0
2020-03-12,2.056086932082092
2020-03-13,7.538985417634338
2020-03-14,10.28043466041046
2020-03-15,6.168260796246276
2020-03-16,17.8194200780448
2020-03-17,6.853623106940307
2020-03-18,26.043767806373168
2020-03-19,21.246231631514952
2020-03-20,24.673043184985104
2020-03-21,28.78521704914929
2020-03-22,67.16550644801501
2020-03-23,68.53623106940307
2020-03-24,43.86318788441797
2020-03-25,32.89739091331347
2020-03-26,23.302318563597044
2020-03-27,13.707246213880614
2020-03-28,36.324202466783625
2020-03-29,25.358405495679136
2020-03-30,13.707246213880614
2020-03-31,15.077970835268676
2020-04-01,18.50478238873883
2020-04-02,8.224347728328368
2020-04-03,8.9097100390224
2020-04-04,12.336521592492552
2020-04-05,12.336521592492552
2020-04-06,15.763333145962706
2020-04-07,7.538985417634338
2020-04-08,9.59507234971643
2020-04-09,11.651159281798522
2020-04-10,7.538985417634338
2020-04-11,11.651159281798522
2020-04-12,11.651159281798522
2020-04-13,8.9097100390224
2020-04-14,8.9097100390224
2020-04-15,4.797536174858215
2020-04-16,8.9097100390224
2020-04-17,12.336521592492552
2020-04-18,4.112173864164184
2020-04-19,11.651159281798522
2020-04-20,15.077970835268676
2020-04-21,8.224347728328368
2020-04-22,11.651159281798522
2020-04-23,3.4268115534701535
2020-04-24,5.482898485552246
2020-04-25,6.168260796246276
2020-04-26,6.168260796246276
2020-04-27,13.707246213880614
2020-04-28,6.853623106940307
2020-04-29,3.4268115534701535
2020-04-30,11.651159281798522
2020-05-01,2.056086932082092
2020-05-02,2.056086932082092
2020-05-03,2.056086932082092
2020-05-04,4.797536174858215
2020-05-05,3.4268115534701535
2020-05-06,18.50478238873883
2020-05-07,22.616956252903012
2020-05-08,13.707246213880614
2020-05-09,9.59507234971643
2020-05-10,24.673043184985104
2020-05-11,18.50478238873883
2020-05-12,8.224347728328368
2020-05-13,21.931593942208984
2020-05-14,15.077970835268676
2020-05-15,3.4268115534701535
2020-05-16,0.0
2020-05-17,6.168260796246276
2020-05-18,3.4268115534701535
2020-05-19,8.9097100390224
2020-05-20,5.482898485552246
2020-05-21,3.4268115534701535
2020-05-22,5.482898485552246
2020-05-23,2.056086932082092
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,2.056086932082092
2020-05-27,2.056086932082092
2020-05-28,2.056086932082092
2020-05-29,4.112173864164184
2020-05-30,8.9097100390224
2020-05-31,2.056086932082092
2020-06-01,0.0
2020-06-02,2.056086932082092
2020-06-03,3.4268115534701535
2020-06-04,3.4268115534701535
2020-06-05,2.056086932082092
2020-06-06,2.056086932082092
2020-06-07,2.056086932082092
2020-06-08,3.4268115534701535
2020-06-09,3.4268115534701535
2020-06-10,0.0
2020-06-11,3.4268115534701535
2020-06-12,7.538985417634338
2020-06-13,4.797536174858215
2020-06-14,2.056086932082092
2020-06-15,0.0
2020-06-16,6.853623106940307
2020-06-17,2.056086932082092
2020-06-18,3.4268115534701535
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,2.056086932082092
2020-06-22,2.056086932082092
2020-06-23,4.112173864164184
2020-06-24,4.112173864164184
2020-06-25,2.056086932082092
2020-06-26,0.0
2020-06-27,6.853623106940307
2020-06-28,0.0
2020-06-29,2.056086932082092
2020-06-30,11.651159281798522
2020-07-01,2.056086932082092
2020-07-02,4.112173864164184
2020-07-03,2.056086932082092
2020-07-04,2.741449242776123
2020-07-05,4.797536174858215
2020-07-06,4.112173864164184
2020-07-07,4.112173864164184
2020-07-08,0.0
2020-07-09,4.112173864164184
2020-07-10,2.056086932082092
2020-07-11,0.0
2020-07-12,2.056086932082092
2020-07-13,4.112173864164184
2020-07-14,2.056086932082092
2020-07-15,0.0
2020-07-16,2.056086932082092
2020-07-17,4.112173864164184
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,2.056086932082092
2020-07-21,2.056086932082092
2020-07-22,2.056086932082092
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,10.28043466041046
2020-07-26,2.741449242776123
2020-07-27,8.224347728328368
2020-07-28,4.112173864164184
2020-07-29,6.168260796246276
2020-07-30,0.0
2020-07-31,6.853623106940307
2020-08-01,2.741449242776123
2020-08-02,2.741449242776123
2020-08-03,6.168260796246276
2020-08-04,6.168260796246276
2020-08-05,2.056086932082092
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,4.797536174858215
2020-08-09,4.797536174858215
2020-08-10,10.28043466041046
2020-08-11,14.392608524574644
2020-08-12,8.9097100390224
2020-08-13,4.112173864164184
