date,/m/0405g08
2020-02-01,54.003191551288246
2020-02-02,57.9164663013816
2020-02-03,59.48177620141894
2020-02-04,17.218408900410743
2020-02-05,46.176642051101545
2020-02-06,29.74088810070947
2020-02-07,24.262303450578777
2020-02-08,25.82761335061612
2020-02-09,37.56743760089617
2020-02-10,23.479648500560106
2020-02-11,36.00212770085883
2020-02-12,36.00212770085883
2020-02-13,18.001063850429414
2020-02-14,57.13381135136292
2020-02-15,14.087789100336064
2020-02-16,46.95929700112021
2020-02-17,64.96036085154962
2020-02-18,17.218408900410743
2020-02-19,29.74088810070947
2020-02-20,48.524606901157554
2020-02-21,18.783718800448085
2020-02-22,12.522479200298724
2020-02-23,61.82974105147495
2020-02-24,39.13274750093351
2020-02-25,50.089916801194896
2020-02-26,54.003191551288246
2020-02-27,72.78691035173632
2020-02-28,53.22053660126957
2020-02-29,32.08885295076548
2020-03-01,24.262303450578777
2020-03-02,27.392923250653457
2020-03-03,39.13274750093351
2020-03-04,38.35009255091484
2020-03-05,22.696993550541436
2020-03-06,35.21947275084016
2020-03-07,37.56743760089617
2020-03-08,55.56850145132559
2020-03-09,41.48071235098952
2020-03-10,37.56743760089617
2020-03-11,15.653099000373404
2020-03-12,53.22053660126957
2020-03-13,78.26549500186702
2020-03-14,18.001063850429414
2020-03-15,37.56743760089617
2020-03-16,21.914338600522765
2020-03-17,43.04602225102686
2020-03-18,27.392923250653457
2020-03-19,32.87150790078415
2020-03-20,32.08885295076548
2020-03-21,6.261239600149362
2020-03-22,61.04708610145628
2020-03-23,18.783718800448085
2020-03-24,30.52354305072814
2020-03-25,40.69805740097085
2020-03-26,31.306198000746807
2020-03-27,19.566373750466756
2020-03-28,28.9582331506908
2020-03-29,48.524606901157554
2020-03-30,10.174514350242713
2020-03-31,4.695929700112021
2020-04-01,14.870444050354735
2020-04-02,15.653099000373404
2020-04-03,21.914338600522765
2020-04-04,24.262303450578777
2020-04-05,42.263367301008195
2020-04-06,5.478584650130691
2020-04-07,10.957169300261382
2020-04-08,27.392923250653457
2020-04-09,5.478584650130691
2020-04-10,11.739824250280053
2020-04-11,38.35009255091484
2020-04-12,13.305134150317393
2020-04-13,12.522479200298724
2020-04-14,10.174514350242713
2020-04-15,21.131683650504097
2020-04-16,25.82761335061612
2020-04-17,16.435753950392076
2020-04-18,29.74088810070947
2020-04-19,29.74088810070947
2020-04-20,9.391859400224043
2020-04-21,14.870444050354735
2020-04-22,25.82761335061612
2020-04-23,4.695929700112021
2020-04-24,10.957169300261382
2020-04-25,18.001063850429414
2020-04-26,23.479648500560106
2020-04-27,10.174514350242713
2020-04-28,5.478584650130691
2020-04-29,15.653099000373404
2020-04-30,0.0
2020-05-01,11.739824250280053
2020-05-02,5.478584650130691
2020-05-03,11.739824250280053
2020-05-04,26.610268300634786
2020-05-05,19.566373750466756
2020-05-06,21.131683650504097
2020-05-07,21.914338600522765
2020-05-08,0.0
2020-05-09,19.566373750466756
2020-05-10,6.261239600149362
2020-05-11,10.174514350242713
2020-05-12,15.653099000373404
2020-05-13,5.478584650130691
2020-05-14,10.174514350242713
2020-05-15,15.653099000373404
2020-05-16,24.262303450578777
2020-05-17,44.611332151064204
2020-05-18,21.131683650504097
2020-05-19,10.174514350242713
2020-05-20,21.131683650504097
2020-05-21,16.435753950392076
2020-05-22,5.478584650130691
2020-05-23,7.043894550168032
2020-05-24,7.043894550168032
2020-05-25,21.914338600522765
2020-05-26,16.435753950392076
2020-05-27,16.435753950392076
2020-05-28,21.914338600522765
2020-05-29,5.478584650130691
2020-05-30,25.82761335061612
2020-05-31,7.043894550168032
2020-06-01,5.478584650130691
2020-06-02,32.87150790078415
2020-06-03,14.870444050354735
2020-06-04,10.174514350242713
2020-06-05,5.478584650130691
2020-06-06,13.305134150317393
2020-06-07,13.305134150317393
2020-06-08,14.870444050354735
2020-06-09,0.0
2020-06-10,16.435753950392076
2020-06-11,21.914338600522765
2020-06-12,11.739824250280053
2020-06-13,13.305134150317393
2020-06-14,7.043894550168032
2020-06-15,0.0
2020-06-16,16.435753950392076
2020-06-17,17.218408900410743
2020-06-18,18.001063850429414
2020-06-19,6.261239600149362
2020-06-20,14.087789100336064
2020-06-21,21.131683650504097
2020-06-22,17.218408900410743
2020-06-23,0.0
2020-06-24,35.21947275084016
2020-06-25,6.261239600149362
2020-06-26,43.04602225102686
2020-06-27,7.043894550168032
2020-06-28,13.305134150317393
2020-06-29,11.739824250280053
2020-06-30,18.001063850429414
2020-07-01,17.218408900410743
2020-07-02,0.0
2020-07-03,11.739824250280053
2020-07-04,0.0
2020-07-05,14.087789100336064
2020-07-06,11.739824250280053
2020-07-07,11.739824250280053
2020-07-08,36.7847826508775
2020-07-09,25.044958400597448
2020-07-10,0.0
2020-07-11,21.131683650504097
2020-07-12,29.74088810070947
2020-07-13,24.262303450578777
2020-07-14,24.262303450578777
2020-07-15,11.739824250280053
2020-07-16,12.522479200298724
2020-07-17,31.306198000746807
2020-07-18,0.0
2020-07-19,14.870444050354735
2020-07-20,12.522479200298724
2020-07-21,25.044958400597448
2020-07-22,18.001063850429414
2020-07-23,6.261239600149362
2020-07-24,0.0
2020-07-25,29.74088810070947
2020-07-26,21.914338600522765
2020-07-27,25.044958400597448
2020-07-28,0.0
2020-07-29,25.044958400597448
2020-07-30,12.522479200298724
2020-07-31,13.305134150317393
2020-08-01,28.9582331506908
2020-08-02,14.870444050354735
2020-08-03,0.0
2020-08-04,18.001063850429414
2020-08-05,18.783718800448085
2020-08-06,25.044958400597448
2020-08-07,58.699121251400264
