date,/m/0m7pl
2020-03-01,0
2020-03-02,2
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,3
2020-03-08,3
2020-03-09,4
2020-03-10,2
2020-03-11,0
2020-03-12,6
2020-03-13,0
2020-03-14,5
2020-03-15,5
2020-03-16,2
2020-03-17,5
2020-03-18,22
2020-03-19,26
2020-03-20,72
2020-03-21,100
2020-03-22,82
2020-03-23,75
2020-03-24,48
2020-03-25,39
2020-03-26,34
2020-03-27,33
2020-03-28,25
2020-03-29,35
2020-03-30,19
2020-03-31,40
2020-04-01,24
2020-04-02,16
2020-04-03,17
2020-04-04,14
2020-04-05,20
2020-04-06,5
2020-04-07,14
2020-04-08,11
2020-04-09,16
2020-04-10,0
2020-04-11,14
2020-04-12,6
2020-04-13,3
2020-04-14,5
2020-04-15,12
2020-04-16,10
2020-04-17,12
2020-04-18,5
2020-04-19,0
2020-04-20,0
2020-04-21,2
2020-04-22,9
2020-04-23,0
2020-04-24,7
2020-04-25,3
2020-04-26,6
2020-04-27,2
2020-04-28,2
2020-04-29,7
2020-04-30,9
2020-05-01,5
2020-05-02,0
2020-05-03,0
2020-05-04,2
2020-05-05,4
2020-05-06,4
2020-05-07,4
2020-05-08,2
2020-05-09,3
2020-05-10,2
2020-05-11,2
2020-05-12,0
2020-05-13,5
2020-05-14,0
2020-05-15,5
2020-05-16,6
2020-05-17,11
2020-05-18,14
2020-05-19,0
2020-05-20,2
2020-05-21,5
2020-05-22,5
2020-05-23,5
2020-05-24,3
2020-05-25,4
2020-05-26,2
2020-05-27,2
2020-05-28,4
2020-05-29,5
2020-05-30,0
2020-05-31,6
2020-06-01,5
2020-06-02,4
2020-06-03,0
2020-06-04,2
2020-06-05,2
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,2
2020-06-10,0
2020-06-11,2
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,2
2020-06-16,2
2020-06-17,0
2020-06-18,2
2020-06-19,0
2020-06-20,9
2020-06-21,3
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,5
2020-06-26,2
2020-06-27,0
2020-06-28,5
2020-06-29,0
2020-06-30,0
2020-07-01,2
2020-07-02,2
2020-07-03,2
2020-07-04,3
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,2
2020-07-09,2
2020-07-10,8
2020-07-11,3
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,2
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,3
2020-07-26,6
2020-07-27,3
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,6
2020-08-01,3
2020-08-02,3
2020-08-03,0
2020-08-04,3
2020-08-05,3
2020-08-06,3
2020-08-07,3
2020-08-08,3
2020-08-09,11
2020-08-10,3
2020-08-11,0
2020-08-12,0
2020-08-13,3
2020-08-14,3
2020-08-15,0
2020-08-16,3
2020-08-17,3
2020-08-18,0
2020-08-19,11
2020-08-20,3
2020-08-21,3
2020-08-22,14
2020-08-23,3
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,3
2020-08-29,6
2020-08-30,3
2020-08-31,0
2020-09-01,0
2020-09-02,2
2020-09-03,2
2020-09-04,0
2020-09-05,0
2020-09-06,3
2020-09-07,5
2020-09-08,2
2020-09-09,7
2020-09-10,7
2020-09-11,10
2020-09-12,6
2020-09-13,5
2020-09-14,0
2020-09-15,7
2020-09-16,18
2020-09-17,11
2020-09-18,0
2020-09-19,11
2020-09-20,5
2020-09-21,4
2020-09-22,2
2020-09-23,9
2020-09-24,2
2020-09-25,5
2020-09-26,9
2020-09-27,3
2020-09-28,12
2020-09-29,5
2020-09-30,5
2020-10-01,16
2020-10-02,7
2020-10-03,6
2020-10-04,3
2020-10-05,7
2020-10-06,7
2020-10-07,19
2020-10-08,2
2020-10-09,5
2020-10-10,3
2020-10-11,3
2020-10-12,7
2020-10-13,2
2020-10-14,0
2020-10-15,3
2020-10-16,8
2020-10-17,21
2020-10-18,6
2020-10-19,3
2020-10-20,13
