date,/m/0cjf0
2020-11-11,18.083076436487183
2020-11-12,16.244119510742724
2020-11-13,14.405162584998264
2020-11-14,14.098669764040855
2020-11-15,19.309047720316823
2020-11-16,19.92203336223164
2020-11-17,17.16359797361495
2020-11-18,11.953220017338985
2020-11-19,11.953220017338985
2020-11-20,10.727248733509345
2020-11-21,18.083076436487183
2020-11-22,13.179191301168624
2020-11-23,9.501277449679707
2020-11-24,13.792176943083444
2020-11-25,12.566205659253805
2020-11-26,9.194784628722296
2020-11-27,5.823363598190787
2020-11-28,16.244119510742724
2020-11-29,15.324641047870493
2020-11-30,19.309047720316823
2020-12-01,15.937626689785313
2020-12-02,19.309047720316823
2020-12-03,10.114263091594525
2020-12-04,14.711655405955675
2020-12-05,7.355827702977837
2020-12-06,13.792176943083444
2020-12-07,21.45449746701869
2020-12-08,12.566205659253805
2020-12-09,13.485684122126035
2020-12-10,11.340234375424165
2020-12-11,6.129856419148197
2020-12-12,16.550612331700133
2020-12-13,11.646727196381574
2020-12-14,13.792176943083444
2020-12-15,9.501277449679707
2020-12-16,8.275306165850067
2020-12-17,18.38956925744459
2020-12-18,18.38956925744459
2020-12-19,14.098669764040855
2020-12-20,13.179191301168624
2020-12-21,11.646727196381574
2020-12-22,14.711655405955675
2020-12-23,19.615540541274232
2020-12-24,11.646727196381574
2020-12-25,18.083076436487183
2020-12-26,11.953220017338985
2020-12-27,24.825918497550198
2020-12-28,11.340234375424165
2020-12-29,16.857105152657542
2020-12-30,20.535019004146463
2020-12-31,17.470090794572364
2021-01-01,16.857105152657542
2021-01-02,9.194784628722296
2021-01-03,27.890846707124297
2021-01-04,18.083076436487183
2021-01-05,15.937626689785313
2021-01-06,18.083076436487183
2021-01-07,6.129856419148197
2021-01-08,17.470090794572364
2021-01-09,24.51942567659279
2021-01-10,14.405162584998264
2021-01-11,13.485684122126035
2021-01-12,18.083076436487183
2021-01-13,11.646727196381574
2021-01-14,19.309047720316823
2021-01-15,15.018148226913084
2021-01-16,15.631133868827904
2021-01-17,18.083076436487183
2021-01-18,19.002554899359414
2021-01-19,10.420755912551936
2021-01-20,22.98696157180574
2021-01-21,13.179191301168624
2021-01-22,14.711655405955675
2021-01-23,16.550612331700133
2021-01-24,20.535019004146463
2021-01-25,16.550612331700133
2021-01-26,10.727248733509345
2021-01-27,14.098669764040855
2021-01-28,7.355827702977837
2021-01-29,14.711655405955675
2021-01-30,13.792176943083444
2021-01-31,21.7609902879761
2021-02-01,11.646727196381574
2021-02-02,22.067483108933512
2021-02-03,15.018148226913084
2021-02-04,11.033741554466756
2021-02-05,14.711655405955675
2021-02-06,19.002554899359414
2021-02-07,28.19733952808171
2021-02-08,17.776583615529773
2021-02-09,16.244119510742724
2021-02-10,14.098669764040855
2021-02-11,12.566205659253805
2021-02-12,11.646727196381574
2021-02-13,18.696062078402
2021-02-14,15.937626689785313
2021-02-15,18.38956925744459
2021-02-16,14.711655405955675
2021-02-17,17.470090794572364
2021-02-18,15.018148226913084
2021-02-19,13.179191301168624
2021-02-20,21.7609902879761
2021-02-21,22.067483108933512
2021-02-22,13.485684122126035
2021-02-23,16.857105152657542
2021-02-24,6.436349240105607
2021-02-25,6.436349240105607
2021-02-26,23.59994721372056
2021-02-27,15.324641047870493
2021-02-28,12.872698480211215
2021-03-01,12.259712838296394
2021-03-02,7.355827702977837
2021-03-03,15.631133868827904
2021-03-04,13.179191301168624
2021-03-05,8.581798986807476
2021-03-06,12.872698480211215
2021-03-07,12.872698480211215
2021-03-08,19.309047720316823
2021-03-09,11.953220017338985
2021-03-10,9.194784628722296
2021-03-11,17.16359797361495
2021-03-12,17.470090794572364
2021-03-13,16.244119510742724
2021-03-14,10.727248733509345
2021-03-15,15.937626689785313
2021-03-16,22.067483108933512
2021-03-17,15.018148226913084
2021-03-18,10.420755912551936
2021-03-19,20.841511825103872
2021-03-20,16.550612331700133
2021-03-21,19.002554899359414
2021-03-22,11.646727196381574
2021-03-23,23.59994721372056
2021-03-24,8.275306165850067
2021-03-25,9.501277449679707
2021-03-26,24.21293285563538
2021-03-27,22.067483108933512
2021-03-28,14.405162584998264
2021-03-29,22.68046875084833
2021-03-30,12.259712838296394
2021-03-31,17.776583615529773
2021-04-01,17.16359797361495
2021-04-02,18.083076436487183
2021-04-03,15.631133868827904
2021-04-04,11.953220017338985
2021-04-05,10.727248733509345
2021-04-06,13.179191301168624
2021-04-07,20.535019004146463
2021-04-08,15.937626689785313
2021-04-09,9.194784628722296
2021-04-10,13.485684122126035
2021-04-11,20.841511825103872
2021-04-12,16.857105152657542
2021-04-13,10.727248733509345
2021-04-14,12.259712838296394
2021-04-15,13.792176943083444
2021-04-16,11.646727196381574
2021-04-17,13.179191301168624
2021-04-18,14.711655405955675
2021-04-19,13.792176943083444
2021-04-20,15.018148226913084
2021-04-21,18.696062078402
2021-04-22,16.550612331700133
2021-04-23,13.179191301168624
2021-04-24,19.615540541274232
2021-04-25,19.309047720316823
2021-04-26,12.872698480211215
2021-04-27,15.324641047870493
2021-04-28,13.485684122126035
2021-04-29,11.646727196381574
2021-04-30,13.792176943083444
2021-05-01,7.6623205239352465
2021-05-02,14.711655405955675
2021-05-03,5.823363598190787
2021-05-04,16.550612331700133
2021-05-05,13.792176943083444
2021-05-06,11.340234375424165
2021-05-07,19.92203336223164
2021-05-08,9.807770270637116
2021-05-09,18.38956925744459
2021-05-10,11.646727196381574
2021-05-11,15.937626689785313
2021-05-12,15.937626689785313
2021-05-13,12.872698480211215
2021-05-14,9.807770270637116
2021-05-15,12.465209753331932
2021-05-16,12.795890058206943
