date,/m/01b_06
2020-02-01,19.163646897844266
2020-02-02,19.91121601914052
2020-02-03,20.40001121383422
2020-02-04,21.248214639920363
2020-02-05,19.465549812213915
2020-02-06,18.68922803240627
2020-02-07,17.395358399393526
2020-02-08,18.58859372761638
2020-02-09,17.714595991207958
2020-02-10,18.0009751411813
2020-02-11,18.73737866968417
2020-02-12,18.21916877925622
2020-02-13,17.891878322143835
2020-02-14,15.505385405699348
2020-02-15,16.29633734372095
2020-02-16,16.504898019386378
2020-02-17,17.77635081339602
2020-02-18,16.83940235897154
2020-02-19,15.876784083877894
2020-02-20,15.735600070197496
2020-02-21,15.32488293949087
2020-02-22,16.993421282986525
2020-02-23,23.03443001413611
2020-02-24,31.495360456816567
2020-02-25,36.38472519628837
2020-02-26,36.920057102069954
2020-02-27,35.599571734475376
2020-02-28,32.566024268379735
2020-02-29,38.84725196288366
2020-03-01,42.13062098501073
2020-03-02,46.87723054960743
2020-03-03,42.05924339757317
2020-03-04,41.16702355460386
2020-03-05,39.114917915774456
2020-03-06,38.722341184867965
2020-03-07,37.31263383297646
2020-03-08,39.668094218415405
2020-03-09,44.73590292648109
2020-03-10,52.67665952890793
2020-03-11,70.07494646680942
2020-03-12,87.70521056388294
2020-03-13,97.7872947894361
2020-03-14,100.0
2020-03-15,97.25196288365454
2020-03-16,92.11277658815128
2020-03-17,79.70990930632951
2020-03-18,66.8659197708006
2020-03-19,66.48004884054868
2020-03-20,57.60501744475403
2020-03-21,54.62829883995334
2020-03-22,54.35267674691625
2020-03-23,49.50172790946328
2020-03-24,42.592851803298885
2020-03-25,41.677601173129986
2020-03-26,41.91833821961737
2020-03-27,41.497048388264446
2020-03-28,42.159075266104786
2020-03-29,38.517927437982955
2020-03-30,34.51567404013004
2020-03-31,32.435421353446586
2020-04-01,30.98904234921308
2020-04-02,31.257539467040182
2020-04-03,28.50544400931225
2020-04-04,28.147447852209424
2020-04-05,28.729191607501505
2020-04-06,27.476205057641636
2020-04-07,25.261103835567916
2020-04-08,23.75247192636982
2020-04-09,24.578332628269308
2020-04-10,23.106146159665876
2020-04-11,23.537030004135175
2020-04-12,23.734518432850265
2020-04-13,24.596286121788857
2020-04-14,23.4472625365374
2020-04-15,22.356423371588747
2020-04-16,21.771990879585672
2020-04-17,19.828651300318565
2020-04-18,22.1507774077479
2020-04-19,22.282529243630414
2020-04-20,20.059217013112967
2020-04-21,21.113231700173102
2020-04-22,20.22410484212724
2020-04-23,19.434004626343754
2020-04-24,17.516997736825928
2020-04-25,17.572563153913404
2020-04-26,18.044869199156928
2020-04-27,17.35030148556351
2020-04-28,17.780933467991424
2020-04-29,18.044869199156924
2020-04-30,16.836929317874564
2020-05-01,16.457371965146237
2020-05-02,16.561863215718592
2020-05-03,17.868003847873062
2020-05-04,17.52840728351289
2020-05-05,16.470433371467774
2020-05-06,17.227994938117362
2020-05-07,17.252660246934674
2020-05-08,16.98890934096993
2020-05-09,17.32333669020163
2020-05-10,18.326618737896695
2020-05-11,17.751403697218183
2020-05-12,18.13933942232695
2020-05-13,17.109303186693335
2020-05-14,16.8156273762235
2020-05-15,16.782423771112462
2020-05-16,17.842885522997598
2020-05-17,18.3977783001468
2020-05-18,16.992049931368825
2020-05-19,16.215200043359946
2020-05-20,15.20406209388807
2020-05-21,15.524666809574276
2020-05-22,15.520741866365835
2020-05-23,15.616739410089068
2020-05-24,17.275271632910762
2020-05-25,17.26200337512819
2020-05-26,16.2536157836526
2020-05-27,15.683080699001938
2020-05-28,15.709617214567086
2020-05-29,15.311569481089872
2020-05-30,15.285032965524735
2020-05-31,16.704736548260097
2020-06-01,16.492444423738924
2020-06-02,16.14746972139201
2020-06-03,14.621620076396049
2020-06-04,15.351374254437598
2020-06-05,14.210304085136274
2020-06-06,14.334416790118658
2020-06-07,15.072134202120012
2020-06-08,15.685007129013446
2020-06-09,15.685007129013446
2020-06-10,15.673657630367272
2020-06-11,15.492065652028478
2020-06-12,14.243620800949264
2020-06-13,14.248228063360584
2020-06-14,16.413593151516533
2020-06-15,17.04246645234092
2020-06-16,15.784719850692145
2020-06-17,15.809874782725117
2020-06-18,15.734409986626192
2020-06-19,15.419973336213998
2020-06-20,16.09333526110034
2020-06-21,17.319635811432367
2020-06-22,18.19243635626046
2020-06-23,18.737936696778007
2020-06-24,17.551473456152326
2020-06-25,17.387823353997064
2020-06-26,15.983159977164357
2020-06-27,16.678672911324238
2020-06-28,18.88907805452529
2020-06-29,18.959701600927787
2020-06-30,18.783003543137216
2020-07-01,17.793494419510044
2020-07-02,17.29873985769646
2020-07-03,16.556608014976078
2020-07-04,16.715636266987588
2020-07-05,18.272786886220583
2020-07-06,18.303223209706335
2020-07-07,18.559013596177383
2020-07-08,18.701119366439077
2020-07-09,18.800593405622262
2020-07-10,17.379535703005317
2020-07-11,17.40795685705765
2020-07-12,18.84303411909219
2020-07-13,20.48044282548487
2020-07-14,21.379976000564977
2020-07-15,18.82594430703393
2020-07-16,18.4564931815546
2020-07-17,19.01870141597967
2020-07-18,19.195395432513273
2020-07-19,20.528632102721303
2020-07-20,21.11288237274265
2020-07-21,21.77353789759392
2020-07-22,24.901518061052435
2020-07-23,24.796669563953266
2020-07-24,25.42576054654827
2020-07-25,24.76172006492021
2020-07-26,24.866568562019374
2020-07-27,25.09089629457368
2020-07-28,24.193820447057497
2020-07-29,24.502137499231395
2020-07-30,23.64973153145651
2020-07-31,20.893014359078144
2020-08-01,18.64411350792737
2020-08-02,20.58469730690425
2020-08-03,21.78169292122643
2020-08-04,20.22425995975962
