date,/m/0g9pc
2020-11-11,2.464556627807697
2020-11-12,10.306327716286733
2020-11-13,5.153163858143366
2020-11-14,2.6886072303356694
2020-11-15,7.841771088479036
2020-11-16,5.153163858143366
2020-11-17,2.464556627807697
2020-11-18,7.617720485951064
2020-11-19,2.464556627807697
2020-11-20,2.6886072303356694
2020-11-21,13.443036151678347
2020-11-22,12.994934946622402
2020-11-23,7.617720485951064
2020-11-24,4.929113255615394
2020-11-25,9.858226511230788
2020-11-26,5.153163858143366
2020-11-27,2.464556627807697
2020-11-28,7.841771088479036
2020-11-29,2.6886072303356694
2020-11-30,7.393669883423091
2020-12-01,5.153163858143366
2020-12-02,2.464556627807697
2020-12-03,7.617720485951064
2020-12-04,2.464556627807697
2020-12-05,10.530378318814705
2020-12-06,10.08227711375876
2020-12-07,7.617720485951064
2020-12-08,5.153163858143366
2020-12-09,5.153163858143366
2020-12-10,2.6886072303356694
2020-12-11,0.0
2020-12-12,2.6886072303356694
2020-12-13,2.6886072303356694
2020-12-14,12.77088434409443
2020-12-15,7.841771088479036
2020-12-16,5.377214460671339
2020-12-17,5.377214460671339
2020-12-18,8.513922896062953
2020-12-19,5.825315665727284
2020-12-20,22.405060252797245
2020-12-21,8.28987229353498
2020-12-22,16.57974458706996
2020-12-23,8.28987229353498
2020-12-24,3.1367084353916144
2020-12-25,6.273416870783229
2020-12-26,14.56328916431821
2020-12-27,5.377214460671339
2020-12-28,2.6886072303356694
2020-12-29,9.858226511230788
2020-12-30,2.464556627807697
2020-12-31,10.97847952387065
2021-01-01,8.513922896062953
2021-01-02,2.6886072303356694
2021-01-03,2.6886072303356694
2021-01-04,2.2405060252797244
2021-01-05,4.705062653087421
2021-01-06,2.2405060252797244
2021-01-07,6.945568678367146
2021-01-08,10.306327716286733
2021-01-09,5.601265063199311
2021-01-10,5.601265063199311
2021-01-11,10.306327716286733
2021-01-12,19.94050362498955
2021-01-13,10.08227711375876
2021-01-14,5.153163858143366
2021-01-15,8.513922896062953
2021-01-16,2.912657832863642
2021-01-17,10.97847952387065
2021-01-18,5.153163858143366
2021-01-19,5.153163858143366
2021-01-20,12.322783139038485
2021-01-21,5.153163858143366
2021-01-22,5.377214460671339
2021-01-23,11.202530126398623
2021-01-24,5.377214460671339
2021-01-25,10.08227711375876
2021-01-26,7.393669883423091
2021-01-27,7.393669883423091
2021-01-28,10.08227711375876
2021-01-29,5.153163858143366
2021-01-30,7.841771088479036
2021-01-31,2.6886072303356694
2021-02-01,14.56328916431821
2021-02-02,7.617720485951064
2021-02-03,7.393669883423091
2021-02-04,5.153163858143366
2021-02-05,2.464556627807697
2021-02-06,7.841771088479036
2021-02-07,5.153163858143366
2021-02-08,0.0
2021-02-09,7.617720485951064
2021-02-10,0.0
2021-02-11,2.6886072303356694
2021-02-12,5.377214460671339
2021-02-13,0.0
2021-02-14,8.28987229353498
2021-02-15,2.464556627807697
2021-02-16,0.0
2021-02-17,5.153163858143366
2021-02-18,2.6886072303356694
2021-02-19,5.377214460671339
2021-02-20,5.825315665727284
2021-02-21,3.1367084353916144
2021-02-22,5.153163858143366
2021-02-23,5.377214460671339
2021-02-24,7.841771088479036
2021-02-25,0.0
2021-02-26,5.153163858143366
2021-02-27,2.912657832863642
2021-02-28,0.0
2021-03-01,2.6886072303356694
2021-03-02,5.153163858143366
2021-03-03,2.464556627807697
2021-03-04,7.393669883423091
2021-03-05,2.464556627807697
2021-03-06,5.377214460671339
2021-03-07,8.065821691007008
2021-03-08,7.169619280895119
2021-03-09,0.0
2021-03-10,2.2405060252797244
2021-03-11,4.705062653087421
2021-03-12,2.464556627807697
2021-03-13,4.929113255615394
2021-03-14,2.464556627807697
2021-03-15,7.617720485951064
2021-03-16,2.2405060252797244
2021-03-17,7.617720485951064
2021-03-18,2.6886072303356694
2021-03-19,7.841771088479036
2021-03-20,8.737973498590925
