date,/m/0lbt3
2020-11-11,10.659185121665384
2020-11-12,16.75014804833132
2020-11-13,5.329592560832692
2020-11-14,28.932073901663184
2020-11-15,11.420555487498625
2020-11-16,5.329592560832692
2020-11-17,22.84111097499725
2020-11-18,22.84111097499725
2020-11-19,11.420555487498625
2020-11-20,11.420555487498625
2020-11-21,23.602481340830494
2020-11-22,11.420555487498625
2020-11-23,6.0909629266659335
2020-11-24,16.75014804833132
2020-11-25,15.988777682498075
2020-11-26,16.75014804833132
2020-11-27,16.75014804833132
2020-11-28,11.420555487498625
2020-11-29,17.51151841416456
2020-11-30,10.659185121665384
2020-12-01,16.75014804833132
2020-12-02,11.420555487498625
2020-12-03,11.420555487498625
2020-12-04,10.659185121665384
2020-12-05,39.59125902332857
2020-12-06,6.0909629266659335
2020-12-07,11.420555487498625
2020-12-08,16.75014804833132
2020-12-09,28.170703535829944
2020-12-10,0.0
2020-12-11,11.420555487498625
2020-12-12,0.0
2020-12-13,37.30714792582884
2020-12-14,17.51151841416456
2020-12-15,6.0909629266659335
2020-12-16,6.0909629266659335
2020-12-17,12.181925853331867
2020-12-18,19.034259145831044
2020-12-19,6.0909629266659335
2020-12-20,6.0909629266659335
2020-12-21,12.181925853331867
2020-12-22,19.034259145831044
2020-12-23,6.0909629266659335
2020-12-24,22.84111097499725
2020-12-25,38.06851829166209
2020-12-26,35.78440719416236
2020-12-27,6.0909629266659335
2020-12-28,30.45481463332967
2020-12-29,19.034259145831044
2020-12-30,19.795629511664284
2020-12-31,41.11399975499505
2021-01-01,13.70466658499835
2021-01-02,6.0909629266659335
2021-01-03,18.2728887799978
2021-01-04,22.07974060916401
2021-01-05,23.602481340830494
2021-01-06,23.602481340830494
2021-01-07,18.2728887799978
2021-01-08,18.2728887799978
2021-01-09,6.0909629266659335
2021-01-10,30.45481463332967
2021-01-11,6.0909629266659335
2021-01-12,6.0909629266659335
2021-01-13,6.0909629266659335
2021-01-14,0.0
2021-01-15,12.181925853331867
2021-01-16,6.0909629266659335
2021-01-17,25.88659243833022
2021-01-18,11.420555487498625
2021-01-19,11.420555487498625
2021-01-20,10.659185121665384
2021-01-21,28.932073901663184
2021-01-22,6.0909629266659335
2021-01-23,12.94329621916511
2021-01-24,31.97755536499615
2021-01-25,40.35262938916181
2021-01-26,11.420555487498625
2021-01-27,29.693444267496425
2021-01-28,12.181925853331867
2021-01-29,18.2728887799978
2021-01-30,6.0909629266659335
2021-01-31,6.0909629266659335
2021-02-01,16.75014804833132
2021-02-02,22.84111097499725
2021-02-03,11.420555487498625
2021-02-04,28.932073901663184
2021-02-05,29.693444267496425
2021-02-06,6.0909629266659335
2021-02-07,17.51151841416456
2021-02-08,28.170703535829944
