date,/m/01cpyy,isPartial
2020-03-01,29,False
2020-03-02,29,False
2020-03-03,25,False
2020-03-04,24,False
2020-03-05,28,False
2020-03-06,28,False
2020-03-07,28,False
2020-03-08,29,False
2020-03-09,35,False
2020-03-10,37,False
2020-03-11,40,False
2020-03-12,66,False
2020-03-13,78,False
2020-03-14,83,False
2020-03-15,96,False
2020-03-16,78,False
2020-03-17,66,False
2020-03-18,100,False
2020-03-19,62,False
2020-03-20,54,False
2020-03-21,58,False
2020-03-22,58,False
2020-03-23,45,False
2020-03-24,42,False
2020-03-25,37,False
2020-03-26,35,False
2020-03-27,35,False
2020-03-28,36,False
2020-03-29,34,False
2020-03-30,25,False
2020-03-31,29,False
2020-04-01,26,False
2020-04-02,25,False
2020-04-03,40,False
2020-04-04,41,False
2020-04-05,38,False
2020-04-06,20,False
2020-04-07,19,False
2020-04-08,19,False
2020-04-09,16,False
2020-04-10,17,False
2020-04-11,16,False
2020-04-12,17,False
2020-04-13,16,False
2020-04-14,15,False
2020-04-15,16,False
2020-04-16,16,False
2020-04-17,16,False
2020-04-18,13,False
2020-04-19,14,False
2020-04-20,14,False
2020-04-21,13,False
2020-04-22,13,False
2020-04-23,25,False
2020-04-24,12,False
2020-04-25,12,False
2020-04-26,12,False
2020-04-27,10,False
2020-04-28,14,False
2020-04-29,14,False
2020-04-30,13,False
2020-05-01,11,False
2020-05-02,12,False
2020-05-03,11,False
2020-05-04,10,False
2020-05-05,9,False
2020-05-06,11,False
2020-05-07,11,False
2020-05-08,9,False
2020-05-09,9,False
2020-05-10,9,False
2020-05-11,9,False
2020-05-12,9,False
2020-05-13,8,False
2020-05-14,8,False
2020-05-15,8,False
2020-05-16,7,False
2020-05-17,7,False
2020-05-18,7,False
2020-05-19,6,False
2020-05-20,7,False
2020-05-21,6,False
2020-05-22,7,False
2020-05-23,5,False
2020-05-24,6,False
2020-05-25,6,False
2020-05-26,5,False
2020-05-27,5,False
2020-05-28,6,False
2020-05-29,6,False
2020-05-30,5,False
2020-05-31,5,False
2020-06-01,4,False
2020-06-02,5,False
2020-06-03,5,False
2020-06-04,5,False
2020-06-05,4,False
2020-06-06,3,False
2020-06-07,5,False
2020-06-08,3,False
2020-06-09,3,False
2020-06-10,3,False
2020-06-11,3,False
2020-06-12,3,False
2020-06-13,3,False
2020-06-14,5,False
2020-06-15,4,False
2020-06-16,4,False
2020-06-17,4,False
2020-06-18,3,False
2020-06-19,3,False
2020-06-20,4,False
2020-06-21,4,False
2020-06-22,4,False
2020-06-23,4,False
2020-06-24,4,False
2020-06-25,3,False
2020-06-26,4,False
2020-06-27,3,False
2020-06-28,4,False
2020-06-29,4,False
2020-06-30,3,False
2020-07-01,3,False
2020-07-02,3,False
2020-07-03,3,False
2020-07-04,4,False
2020-07-05,4,False
2020-07-06,3,False
2020-07-07,4,False
2020-07-08,4,False
2020-07-09,5,False
2020-07-10,3,False
2020-07-11,4,False
2020-07-12,4,False
2020-07-13,5,False
2020-07-14,5,False
2020-07-15,4,False
2020-07-16,4,False
2020-07-17,5,False
2020-07-18,4,False
2020-07-19,4,False
2020-07-20,5,False
2020-07-21,3,False
2020-07-22,4,False
2020-07-23,5,False
2020-07-24,4,False
2020-07-25,4,False
2020-07-26,5,False
2020-07-27,5,False
2020-07-28,4,False
2020-07-29,4,False
2020-07-30,4,False
2020-07-31,3,False
2020-08-01,4,False
2020-08-02,3,False
2020-08-03,4,False
2020-08-04,4,False
2020-08-05,4,False
2020-08-06,3,False
2020-08-07,4,False
2020-08-08,3,False
2020-08-09,4,False
2020-08-10,3,False
2020-08-11,4,False
2020-08-12,3,False
2020-08-13,4,False
2020-08-14,4,False
2020-08-15,4,False
2020-08-16,4,False
2020-08-17,3,False
2020-08-18,4,False
2020-08-19,3,False
2020-08-20,4,False
2020-08-21,4,False
2020-08-22,3,False
2020-08-23,3,False
2020-08-24,4,False
2020-08-25,3,False
2020-08-26,4,False
2020-08-27,5,False
2020-08-28,3,False
2020-08-29,3,False
2020-08-30,3,False
2020-08-31,3,False
2020-09-01,3,False
2020-09-02,4,False
2020-09-03,3,False
2020-09-04,3,False
2020-09-05,4,False
2020-09-06,4,False
2020-09-07,4,False
2020-09-08,3,False
2020-09-09,5,False
2020-09-10,3,False
2020-09-11,4,False
2020-09-12,4,False
2020-09-13,3,False
2020-09-14,3,False
2020-09-15,3,False
2020-09-16,3,False
2020-09-17,3,False
2020-09-18,4,False
2020-09-19,4,False
2020-09-20,3,False
2020-09-21,4,False
2020-09-22,3,False
2020-09-23,5,False
2020-09-24,4,False
2020-09-25,3,False
2020-09-26,3,False
2020-09-27,3,False
2020-09-28,3,False
2020-09-29,3,False
2020-09-30,2,False
2020-10-01,3,False
2020-10-02,2,False
2020-10-03,3,False
2020-10-04,3,False
2020-10-05,2,False
2020-10-06,3,False
2020-10-07,3,False
2020-10-08,4,False
2020-10-09,4,False
2020-10-10,4,False
2020-10-11,3,False
2020-10-12,3,False
2020-10-13,3,False
2020-10-14,3,False
