date,/m/0fd23
2020-02-01,15.959314327874386
2020-02-02,22.520365773778302
2020-02-03,22.106605772685256
2020-02-04,28.017462931157258
2020-02-05,21.929280057931102
2020-02-06,24.175405778150466
2020-02-07,30.795565795639103
2020-02-08,29.554285792359966
2020-02-09,30.89222297030787
2020-02-10,29.263360304600734
2020-02-11,26.904317823231786
2020-02-12,31.17306136094704
2020-02-13,17.187309507116748
2020-02-14,24.601443019990644
2020-02-15,20.440428640555933
2020-02-16,38.43475070494697
2020-02-17,25.39163249383043
2020-02-18,34.65301820586584
2020-02-19,39.51524570468442
2020-02-20,30.716929278250785
2020-02-21,37.3542557052095
2020-02-22,32.106137135056095
2020-02-23,33.460872056155495
2020-02-24,45.11457970028537
2020-02-25,39.96745138308225
2020-02-26,53.73601963160058
2020-02-27,49.07786850453176
2020-02-28,49.64405261942411
2020-02-29,42.849843240715984
2020-03-01,41.46011859507115
2020-03-02,41.46011859507115
2020-03-03,47.63667257571488
2020-03-04,40.35348600687247
2020-03-05,32.68426481423983
2020-03-06,32.27249454886358
2020-03-07,33.404862778648265
2020-03-08,26.739331607870216
2020-03-09,34.743116141121064
2020-03-10,31.60336786762716
2020-03-11,32.555586606309745
2020-03-12,39.581416759292004
2020-03-13,42.721165032785926
2020-03-14,45.75797073993576
2020-03-15,50.31317930066052
2020-03-16,51.57422573837529
2020-03-17,59.24344693100794
2020-03-18,53.432045118325824
2020-03-19,53.6922661172787
2020-03-20,56.98839877068191
2020-03-21,64.53480774031561
2020-03-22,51.78397879162423
2020-03-23,46.66629914555079
2020-03-24,57.1618794366505
2020-03-25,45.104973151833484
2020-03-26,55.1668517780117
2020-03-27,43.19668582617898
2020-03-28,52.73812245445147
2020-03-29,55.0801114450274
2020-03-30,45.451934483770664
2020-03-31,37.82300209763634
2020-04-01,48.960094144994166
2020-04-02,51.43282617251911
2020-04-03,40.30553204865681
2020-04-04,59.675266264268984
2020-04-05,52.4219189835291
2020-04-06,62.56012029638145
2020-04-07,65.52739872941137
2020-04-08,59.10830961597817
2020-04-09,71.38962303557999
2020-04-10,55.23000011505131
2020-04-11,67.72677517359347
2020-04-12,78.35621602798565
2020-04-13,66.93674916414543
2020-04-14,54.66487962607713
2020-04-15,55.20531529393831
2020-04-16,52.09890687707684
2020-04-17,63.548240756366276
2020-04-18,54.67278813676206
2020-04-19,53.96275192719373
2020-04-20,58.311723710799775
2020-04-21,57.6904420274275
2020-04-22,49.381596350896054
2020-04-23,54.780443989885164
2020-04-24,56.838668764071606
2020-04-25,63.56748052583497
2020-04-26,50.10985700230827
2020-04-27,41.08533299241388
2020-04-28,34.91065866985458
2020-04-29,35.86060856563293
2020-04-30,32.30192968515141
2020-05-01,27.704862029167657
2020-05-02,29.545716649045914
2020-05-03,35.39043006715934
2020-05-04,34.285917295232395
2020-05-05,40.13063071334585
2020-05-06,26.69239198823461
2020-05-07,28.652061491490635
2020-05-08,46.811781603673914
2020-05-09,57.01886180297124
2020-05-10,54.655646190326024
2020-05-11,33.68839277600593
2020-05-12,30.570959414644186
2020-05-13,31.07377124712189
2020-05-14,24.943271234388348
2020-05-15,31.353381666336116
2020-05-16,37.3725122441141
2020-05-17,61.35919678540849
2020-05-18,66.92913851409858
2020-05-19,60.820170166503
2020-05-20,60.99984570613819
2020-05-21,74.74502448822818
2020-05-22,75.69523707546053
2020-05-23,57.71605857430943
2020-05-24,60.353215297678645
2020-05-25,60.503909967585486
2020-05-26,50.03063040906195
2020-05-27,66.60704409881139
2020-05-28,68.86746414741359
2020-05-29,67.94119521473078
2020-05-30,75.50257209623925
2020-05-31,82.84155554005633
2020-06-01,79.83924413122207
2020-06-02,60.60221177091367
2020-06-03,53.48562176478804
2020-06-04,50.81690051249093
2020-06-05,32.13585174641111
2020-06-06,36.39911782792001
2020-06-07,40.03902961071203
2020-06-08,34.91343954922941
2020-06-09,35.95341434431285
2020-06-10,32.83348995906256
2020-06-11,40.78186875005733
2020-06-12,22.953729405769973
2020-06-13,35.52667971241128
2020-06-14,29.92965065021266
2020-06-15,33.954999234497585
2020-06-16,30.308506987557106
2020-06-17,25.193946433406847
2020-06-18,30.119078818884883
2020-06-19,28.461582343002835
2020-06-20,26.698938208221286
2020-06-21,44.32477165364169
2020-06-22,37.05550910244445
2020-06-23,44.50207074025628
2020-06-24,45.56586525994366
2020-06-25,46.36371114970921
2020-06-26,40.601490834735806
2020-06-27,31.115989700856467
2020-06-28,37.47170721729893
2020-06-29,30.925112753821082
2020-06-30,35.287589474579555
2020-07-01,32.08843987935668
2020-07-02,28.40457064849399
2020-07-03,39.55312226821005
2020-07-04,41.29811295651344
2020-07-05,35.8260610648896
2020-07-06,26.89043895278224
2020-07-07,37.48735453098572
2020-07-08,29.58560823278774
2020-07-09,43.42897771645242
2020-07-10,37.30359298916716
2020-07-11,31.91325442915614
2020-07-12,47.40801997308171
2020-07-13,47.58382711085019
2020-07-14,37.92044485444505
2020-07-15,39.0533931189891
2020-07-16,34.5882440763743
2020-07-17,33.6552278585145
2020-07-18,41.85244177256852
2020-07-19,34.07651661206707
2020-07-20,52.1900810388915
2020-07-21,34.53262321417017
2020-07-22,36.544232333442224
2020-07-23,45.70822943234822
2020-07-24,36.432476271260455
2020-07-25,33.41506259235237
2020-07-26,34.197355027624845
2020-07-27,43.276435779771234
2020-07-28,34.70517460983825
2020-07-29,34.10587018172486
2020-07-30,32.907261325498126
2020-07-31,31.5996880277962
2020-08-01,42.114756630149095
2020-08-02,49.79674975414782
2020-08-03,37.701696750405134
2020-08-04,42.148687963927266
