date,/m/0g9pc
2020-11-11,4.2467768483050925
2020-11-12,4.85345925520582
2020-11-13,2.628957096569819
2020-11-14,4.145663113821637
2020-11-15,4.145663113821637
2020-11-16,1.8200472207021825
2020-11-17,4.449004317272001
2020-11-18,5.763482865556911
2020-11-19,2.2245021586360005
2020-11-20,1.3144785482849095
2020-11-21,2.3256158931194553
2020-11-22,3.640094441404365
2020-11-23,3.134525768987092
2020-11-24,5.662369131073456
2020-11-25,5.8645966000403655
2020-11-26,3.134525768987092
2020-11-27,3.9434356448547287
2020-11-28,4.449004317272001
2020-11-29,3.134525768987092
2020-11-30,1.7189334862187278
2020-12-01,3.5389807069209103
2020-12-02,3.4378669724374555
2020-12-03,4.044549379338183
2020-12-04,3.0334120345036375
2020-12-05,0.9100236103510912
2020-12-06,2.3256158931194553
2020-12-07,1.8200472207021825
2020-12-08,2.2245021586360005
2020-12-09,4.449004317272001
2020-12-10,3.2356395034705465
2020-12-11,3.7412081758878193
2020-12-12,1.8200472207021825
2020-12-13,2.831184565536728
2020-12-14,4.954572989689274
2020-12-15,4.6512317862389105
2020-12-16,6.066824069007275
2020-12-17,3.842321910371274
2020-12-18,2.0222746896690915
2020-12-19,2.5278433620863643
2020-12-20,7.381302617292184
2020-12-21,10.111373448345457
2020-12-22,3.9434356448547287
2020-12-23,3.5389807069209103
2020-12-24,5.156800458656184
2020-12-25,3.640094441404365
2020-12-26,5.055686724172729
2020-12-27,4.145663113821637
2020-12-28,1.0111373448345458
2020-12-29,3.9434356448547287
2020-12-30,3.4378669724374555
2020-12-31,3.842321910371274
2021-01-01,2.2245021586360005
2021-01-02,1.0111373448345458
2021-01-03,3.5389807069209103
2021-01-04,2.7300708310532737
2021-01-05,2.831184565536728
2021-01-06,6.066824069007275
2021-01-07,1.921160955185637
2021-01-08,4.85345925520582
2021-01-09,3.640094441404365
2021-01-10,2.5278433620863643
2021-01-11,1.8200472207021825
2021-01-12,6.066824069007275
2021-01-13,6.976847679358366
2021-01-14,1.921160955185637
2021-01-15,4.85345925520582
2021-01-16,3.640094441404365
2021-01-17,3.9434356448547287
2021-01-18,5.561255396590002
2021-01-19,5.156800458656184
2021-01-20,5.257914193139638
2021-01-21,4.145663113821637
2021-01-22,3.2356395034705465
2021-01-23,5.8645966000403655
2021-01-24,4.449004317272001
