date,/m/0g9pc
2020-11-11,7.923042613685618
2020-11-12,5.847960024387003
2020-11-13,4.904740665614906
2020-11-14,4.716096793860487
2020-11-15,5.470672280878165
2020-11-16,5.6593161526325835
2020-11-17,5.282028409123745
2020-11-18,5.093384537369325
2020-11-19,3.206945819825131
2020-11-20,3.3955896915795503
2020-11-21,4.904740665614906
2020-11-22,2.6410142045618725
2020-11-23,5.6593161526325835
2020-11-24,5.282028409123745
2020-11-25,4.904740665614906
2020-11-26,4.150165178597228
2020-11-27,1.6977948457897751
2020-11-28,4.527452922106067
2020-11-29,4.527452922106067
2020-11-30,5.6593161526325835
2020-12-01,2.8296580763162917
2020-12-02,5.470672280878165
2020-12-03,5.093384537369325
2020-12-04,4.716096793860487
2020-12-05,5.093384537369325
2020-12-06,5.470672280878165
2020-12-07,4.527452922106067
2020-12-08,4.904740665614906
2020-12-09,3.961521306842809
2020-12-10,6.602535511404681
2020-12-11,4.527452922106067
2020-12-12,9.809481331229811
2020-12-13,4.716096793860487
2020-12-14,4.716096793860487
2020-12-15,6.036603896141423
2020-12-16,6.225247767895842
2020-12-17,5.847960024387003
2020-12-18,6.7911793831591005
2020-12-19,5.6593161526325835
2020-12-20,12.450495535791685
2020-12-21,18.864387175441948
2020-12-22,7.923042613685618
2020-12-23,6.602535511404681
2020-12-24,7.16846712666794
2020-12-25,6.602535511404681
2020-12-26,7.545754870176778
2020-12-27,4.716096793860487
2020-12-28,6.413891639650262
2020-12-29,6.602535511404681
2020-12-30,3.0183019480707114
2020-12-31,3.3955896915795503
2021-01-01,4.527452922106067
2021-01-02,6.036603896141423
2021-01-03,3.206945819825131
2021-01-04,5.282028409123745
2021-01-05,5.470672280878165
2021-01-06,3.772877435088389
2021-01-07,3.206945819825131
2021-01-08,5.470672280878165
2021-01-09,3.961521306842809
2021-01-10,3.961521306842809
2021-01-11,5.6593161526325835
2021-01-12,3.3955896915795503
2021-01-13,3.206945819825131
2021-01-14,6.225247767895842
2021-01-15,5.470672280878165
2021-01-16,5.6593161526325835
2021-01-17,6.036603896141423
2021-01-18,3.772877435088389
2021-01-19,3.961521306842809
2021-01-20,4.150165178597228
2021-01-21,5.093384537369325
2021-01-22,4.716096793860487
2021-01-23,5.093384537369325
2021-01-24,6.036603896141423
2021-01-25,5.093384537369325
2021-01-26,6.225247767895842
2021-01-27,4.338809050351648
2021-01-28,3.206945819825131
2021-01-29,4.338809050351648
2021-01-30,2.8296580763162917
2021-01-31,6.036603896141423
2021-02-01,4.338809050351648
2021-02-02,5.093384537369325
2021-02-03,4.338809050351648
2021-02-04,2.6410142045618725
2021-02-05,4.150165178597228
