date,/m/0lbt3
2020-11-11,2.9750465981845315
2020-11-12,1.4875232990922658
2020-11-13,8.098737961724558
2020-11-14,5.619532463237448
2020-11-15,3.3056073313161463
2020-11-16,2.9750465981845315
2020-11-17,4.958410996974219
2020-11-18,4.627850263842604
2020-11-19,7.602896862027136
2020-11-20,3.1403269647503387
2020-11-21,3.6361680644477605
2020-11-22,5.1236913635400265
2020-11-23,0.0
2020-11-24,5.950093196369063
2020-11-25,1.4875232990922658
2020-11-26,6.11537356293487
2020-11-27,1.6528036656580731
2020-11-28,1.8180840322238803
2020-11-29,3.4708876978819534
2020-11-30,1.4875232990922658
2020-12-01,1.6528036656580731
2020-12-02,3.1403269647503387
2020-12-03,4.958410996974219
2020-12-04,3.4708876978819534
2020-12-05,3.9667287975793752
2020-12-06,5.454252096671641
2020-12-07,0.0
2020-12-08,4.958410996974219
2020-12-09,6.4459342960664845
2020-12-10,8.264018328290366
2020-12-11,3.4708876978819534
2020-12-12,9.75154162738263
2020-12-13,1.8180840322238803
2020-12-14,1.6528036656580731
2020-12-15,4.958410996974219
2020-12-16,0.0
2020-12-17,3.4708876978819534
2020-12-18,7.437616495461328
2020-12-19,3.9667287975793752
2020-12-20,3.9667287975793752
2020-12-21,7.437616495461328
2020-12-22,3.801448431013568
2020-12-23,6.280653929500677
2020-12-24,0.0
2020-12-25,5.950093196369063
2020-12-26,11.734906026172318
2020-12-27,5.619532463237448
2020-12-28,3.4708876978819534
2020-12-29,9.090420161119402
2020-12-30,3.6361680644477605
2020-12-31,16.52803665658073
2021-01-01,1.9833643987896876
2021-01-02,12.891868592132969
2021-01-03,12.23074712586974
2021-01-04,10.577943460211667
2021-01-05,6.11537356293487
2021-01-06,3.1403269647503387
2021-01-07,4.627850263842604
2021-01-08,4.793130630408411
2021-01-09,7.602896862027136
2021-01-10,1.8180840322238803
2021-01-11,8.925139794553594
2021-01-12,2.9750465981845315
2021-01-13,3.1403269647503387
2021-01-14,7.9334575951587505
2021-01-15,8.264018328290366
2021-01-16,3.801448431013568
2021-01-17,5.288971730105834
2021-01-18,1.4875232990922658
2021-01-19,9.090420161119402
2021-01-20,4.627850263842604
2021-01-21,9.420980894251016
2021-01-22,3.3056073313161463
2021-01-23,7.272336128895521
2021-01-24,8.759859427987786
2021-01-25,5.950093196369063
2021-01-26,1.4875232990922658
2021-01-27,7.9334575951587505
2021-01-28,4.793130630408411
2021-01-29,3.4708876978819534
2021-01-30,1.8180840322238803
2021-01-31,7.272336128895521
2021-02-01,4.627850263842604
2021-02-02,10.908504193343282
2021-02-03,1.6528036656580731
2021-02-04,7.9334575951587505
2021-02-05,4.958410996974219
2021-02-06,1.8180840322238803
2021-02-07,1.6528036656580731
2021-02-08,6.280653929500677
2021-02-09,6.280653929500677
2021-02-10,7.768177228592943
2021-02-11,6.4459342960664845
2021-02-12,13.5529900583962
2021-02-13,3.801448431013568
2021-02-14,5.454252096671641
2021-02-15,9.255700527685208
2021-02-16,7.768177228592943
2021-02-17,3.1403269647503387
2021-02-18,3.3056073313161463
2021-02-19,6.6112146626322925
2021-02-20,11.569625659606512
2021-02-21,1.8180840322238803
2021-02-22,7.272336128895521
2021-02-23,7.9334575951587505
2021-02-24,7.9334575951587505
2021-02-25,11.404345293040704
2021-02-26,3.3056073313161463
2021-02-27,7.272336128895521
2021-02-28,0.0
2021-03-01,9.090420161119402
2021-03-02,7.9334575951587505
2021-03-03,7.9334575951587505
2021-03-04,6.280653929500677
2021-03-05,3.1403269647503387
2021-03-06,9.090420161119402
2021-03-07,10.577943460211667
2021-03-08,4.462569897276797
2021-03-09,15.371074090620079
2021-03-10,4.627850263842604
2021-03-11,4.627850263842604
2021-03-12,6.4459342960664845
2021-03-13,8.925139794553594
2021-03-14,8.264018328290366
2021-03-15,7.437616495461328
2021-03-16,1.3222429325264584
2021-03-17,7.602896862027136
2021-03-18,3.1403269647503387
2021-03-19,1.6528036656580731
2021-03-20,7.272336128895521
2021-03-21,11.734906026172318
2021-03-22,4.462569897276797
2021-03-23,8.925139794553594
2021-03-24,4.793130630408411
2021-03-25,8.264018328290366
2021-03-26,10.41266309364586
2021-03-27,9.090420161119402
2021-03-28,3.6361680644477605
2021-03-29,1.4875232990922658
2021-03-30,1.6528036656580731
2021-03-31,8.925139794553594
2021-04-01,3.801448431013568
2021-04-02,3.801448431013568
2021-04-03,5.619532463237448
2021-04-04,0.0
2021-04-05,1.8180840322238803
2021-04-06,8.925139794553594
2021-04-07,5.950093196369063
2021-04-08,3.1403269647503387
2021-04-09,8.264018328290366
2021-04-10,6.11537356293487
2021-04-11,3.801448431013568
2021-04-12,2.9750465981845315
2021-04-13,9.090420161119402
2021-04-14,6.11537356293487
2021-04-15,0.0
2021-04-16,3.3056073313161463
2021-04-17,3.6361680644477605
2021-04-18,10.577943460211667
2021-04-19,3.1403269647503387
2021-04-20,1.6528036656580731
2021-04-21,3.3056073313161463
2021-04-22,3.3056073313161463
2021-04-23,3.4708876978819534
2021-04-24,6.4459342960664845
2021-04-25,1.8180840322238803
2021-04-26,6.4459342960664845
2021-04-27,4.958410996974219
2021-04-28,3.4708876978819534
2021-04-29,4.958410996974219
2021-04-30,0.0
2021-05-01,1.9833643987896876
2021-05-02,3.4708876978819534
2021-05-03,3.1403269647503387
2021-05-04,0.0
2021-05-05,1.4875232990922658
2021-05-06,4.958410996974219
2021-05-07,5.1236913635400265
2021-05-08,4.29728953071099
2021-05-09,4.29728953071099
2021-05-10,3.4708876978819534
2021-05-11,8.429298694856172
2021-05-12,1.6528036656580731
2021-05-13,3.1403269647503387
2021-05-14,3.3056073313161463
2021-05-15,3.9667287975793752
2021-05-16,1.8180840322238803
2021-05-17,4.793130630408411
2021-05-18,3.3056073313161463
2021-05-19,9.75154162738263
2021-05-20,3.4708876978819534
2021-05-21,5.288971730105834
2021-05-22,9.916821993948439
2021-05-23,3.6361680644477605
2021-05-24,3.3056073313161463
2021-05-25,3.3056073313161463
2021-05-26,1.6528036656580731
2021-05-27,3.4708876978819534
2021-05-28,7.437616495461328
2021-05-29,12.23074712586974
2021-05-30,4.838464610931493
2021-05-31,4.7796638257292
