date,/m/0fd23
2020-02-01,27.144331155007492
2020-02-02,16.873503150410063
2020-02-03,6.602675145812634
2020-02-04,28.611592298521412
2020-02-05,22.00891715270878
2020-02-06,7.3363057175695925
2020-02-07,23.4761782962227
2020-02-08,27.877961726764454
2020-02-09,17.607133722167024
2020-02-10,22.00891715270878
2020-02-11,14.672611435139185
2020-02-12,7.3363057175695925
2020-02-13,22.742547724465737
2020-02-14,30.81248401379229
2020-02-15,18.340764293923982
2020-02-16,18.340764293923982
2020-02-17,38.14878973136188
2020-02-18,14.672611435139185
2020-02-19,22.00891715270878
2020-02-20,0.0
2020-02-21,40.34968144663276
2020-02-22,27.144331155007492
2020-02-23,44.01783430541756
2020-02-24,14.672611435139185
2020-02-25,35.947898016091
2020-02-26,13.938980863382227
2020-02-27,7.3363057175695925
2020-02-28,22.00891715270878
2020-02-29,8.803566861083512
2020-03-01,72.62942660393897
2020-03-02,0.0
2020-03-03,14.672611435139185
2020-03-04,28.611592298521412
2020-03-05,22.742547724465737
2020-03-06,29.34522287027837
2020-03-07,8.803566861083512
2020-03-08,16.873503150410063
2020-03-09,29.34522287027837
2020-03-10,7.3363057175695925
2020-03-11,14.672611435139185
2020-03-12,22.00891715270878
2020-03-13,27.877961726764454
2020-03-14,16.873503150410063
2020-03-15,39.6160508748758
2020-03-16,13.938980863382227
2020-03-17,42.550573161903635
2020-03-18,41.81694259014668
2020-03-19,14.672611435139185
2020-03-20,52.08777059474411
2020-03-21,32.27974515730621
2020-03-22,20.54165600919486
2020-03-23,30.07885344203533
2020-03-24,19.8080254374379
2020-03-25,20.54165600919486
2020-03-26,41.81694259014668
2020-03-27,0.0
2020-03-28,24.209808867979657
2020-03-29,15.406242006896145
2020-03-30,33.747006300820125
2020-03-31,27.144331155007492
2020-04-01,33.747006300820125
2020-04-02,21.275286580951818
2020-04-03,44.01783430541756
2020-04-04,41.08331201838972
2020-04-05,24.209808867979657
2020-04-06,6.602675145812634
2020-04-07,29.34522287027837
2020-04-08,44.01783430541756
2020-04-09,37.415159159604926
2020-04-10,39.6160508748758
2020-04-11,42.550573161903635
2020-04-12,41.81694259014668
2020-04-13,68.96127374515417
2020-04-14,64.55949031461242
2020-04-15,42.550573161903635
2020-04-16,21.275286580951818
2020-04-17,43.2842037336606
2020-04-18,42.550573161903635
2020-04-19,38.88242030311884
2020-04-20,20.54165600919486
2020-04-21,34.48063687257709
2020-04-22,36.681528587847964
2020-04-23,27.877961726764454
2020-04-24,22.742547724465737
2020-04-25,44.01783430541756
2020-04-26,48.419617735959314
2020-04-27,35.947898016091
2020-04-28,55.75592345352891
2020-04-29,19.8080254374379
2020-04-30,7.3363057175695925
2020-05-01,0.0
2020-05-02,23.4761782962227
2020-05-03,16.139872578653105
2020-05-04,21.275286580951818
2020-05-05,32.27974515730621
2020-05-06,27.877961726764454
2020-05-07,0.0
2020-05-08,22.742547724465737
2020-05-09,46.218726020688436
2020-05-10,41.81694259014668
2020-05-11,54.288662310014985
2020-05-12,27.144331155007492
2020-05-13,21.275286580951818
2020-05-14,42.550573161903635
2020-05-15,7.3363057175695925
2020-05-16,17.607133722167024
2020-05-17,41.81694259014668
2020-05-18,35.947898016091
2020-05-19,33.747006300820125
2020-05-20,6.602675145812634
2020-05-21,7.3363057175695925
2020-05-22,8.069936289326552
2020-05-23,35.947898016091
2020-05-24,16.873503150410063
2020-05-25,34.48063687257709
2020-05-26,41.81694259014668
2020-05-27,43.2842037336606
2020-05-28,14.672611435139185
2020-05-29,37.415159159604926
2020-05-30,8.803566861083512
2020-05-31,33.01337572906317
2020-06-01,13.938980863382227
2020-06-02,35.947898016091
2020-06-03,27.144331155007492
2020-06-04,19.8080254374379
2020-06-05,13.205350291625267
2020-06-06,8.803566861083512
2020-06-07,33.747006300820125
2020-06-08,30.81248401379229
2020-06-09,13.205350291625267
2020-06-10,7.3363057175695925
2020-06-11,8.069936289326552
2020-06-12,15.406242006896145
2020-06-13,18.340764293923982
2020-06-14,33.01337572906317
2020-06-15,13.205350291625267
2020-06-16,20.54165600919486
2020-06-17,27.144331155007492
2020-06-18,21.275286580951818
2020-06-19,22.00891715270878
2020-06-20,8.069936289326552
2020-06-21,39.6160508748758
2020-06-22,8.069936289326552
2020-06-23,21.275286580951818
2020-06-24,51.35414002298715
2020-06-25,35.947898016091
2020-06-26,0.0
2020-06-27,34.48063687257709
2020-06-28,24.209808867979657
2020-06-29,49.153248307716275
2020-06-30,7.3363057175695925
2020-07-01,66.02675145812634
2020-07-02,42.550573161903635
2020-07-03,21.275286580951818
2020-07-04,16.873503150410063
2020-07-05,22.742547724465737
2020-07-06,27.144331155007492
2020-07-07,7.3363057175695925
2020-07-08,36.681528587847964
2020-07-09,30.07885344203533
2020-07-10,15.406242006896145
2020-07-11,16.139872578653105
2020-07-12,16.139872578653105
2020-07-13,22.00891715270878
2020-07-14,7.3363057175695925
2020-07-15,36.681528587847964
2020-07-16,7.3363057175695925
2020-07-17,22.00891715270878
2020-07-18,24.209808867979657
2020-07-19,24.209808867979657
2020-07-20,28.611592298521412
2020-07-21,29.34522287027837
2020-07-22,13.938980863382227
2020-07-23,13.938980863382227
2020-07-24,41.81694259014668
2020-07-25,15.406242006896145
2020-07-26,33.747006300820125
2020-07-27,14.672611435139185
2020-07-28,22.742547724465737
2020-07-29,37.415159159604926
2020-07-30,14.672611435139185
2020-07-31,7.3363057175695925
2020-08-01,33.01337572906317
2020-08-02,55.75592345352891
2020-08-03,6.602675145812634
2020-08-04,26.410700583250534
2020-08-05,49.153248307716275
