date,/m/0g9pc
2020-10-09,1.2822659993397503
2020-10-10,5.074266305079526
2020-10-11,2.652208306326663
2020-10-12,2.7289250755179304
2020-10-13,3.507052305886497
2020-10-14,5.4688096894917555
2020-10-15,1.7096879991196674
2020-10-16,2.8385204600768836
2020-10-17,3.4632141520629163
2020-10-18,4.52628938228476
2020-10-19,2.663167844782558
2020-10-20,3.2659424598568
2020-10-21,3.4412950751511255
2020-10-22,4.098867382504844
2020-10-23,4.087907844048948
2020-10-24,2.652208306326663
2020-10-25,2.8933181523563603
2020-10-26,2.1699886142672704
2020-10-27,2.9919539984594175
2020-10-28,0.7123699996331946
2020-10-29,2.6850869216943494
2020-10-30,1.6439307683842954
2020-10-31,5.4688096894917555
2020-11-01,2.1590290758113744
2020-11-02,0.35070523058864966
2020-11-03,1.5343353838253424
2020-11-04,1.9288787682375736
2020-11-05,1.994635998972945
2020-11-06,3.5837690750777647
2020-11-07,2.7289250755179304
2020-11-08,1.906959691325782
2020-11-09,1.8083238452227248
2020-11-10,1.2274683070602739
2020-11-11,3.167306613753742
2020-11-12,4.065988767137157
2020-11-13,5.074266305079526
2020-11-14,5.172902151182583
2020-11-15,1.7864047683109345
2020-11-16,4.887954151329305
2020-11-17,2.0165550758847353
2020-11-18,1.9288787682375736
2020-11-19,2.246705383458537
2020-11-20,1.7206475375755628
2020-11-21,2.3563007680174906
2020-11-22,8.460763687951173
2020-11-23,3.4960927674306017
2020-11-24,4.241341382431482
2020-11-25,2.9152372292681514
2020-11-26,2.3672603064733857
2020-11-27,0.4164624613240215
2020-11-28,2.290543537282119
2020-11-29,2.389179383385176
2020-11-30,4.197503228607902
2020-12-01,1.9288787682375736
2020-12-02,3.6385667673572404
2020-12-03,1.8192833836786202
2020-12-04,1.698728460663772
2020-12-05,2.937156306179941
2020-12-06,0.9644393841187868
2020-12-07,4.1536650747843185
2020-12-08,6.937387842581726
2020-12-09,1.8302429221345156
2020-12-10,2.2576649219144325
2020-12-11,2.4658961525764425
2020-12-12,3.8029598441956702
2020-12-13,2.9152372292681514
2020-12-14,3.211144767577324
2020-12-15,1.9398383066934684
2020-12-16,2.937156306179941
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,2.1480695373554797
