date,/m/01c751
2020-11-11,6.88300493621458
2020-11-12,3.44150246810729
2020-11-13,6.88300493621458
2020-11-14,18.928263574590094
2020-11-15,3.44150246810729
2020-11-16,0.0
2020-11-17,3.44150246810729
2020-11-18,3.44150246810729
2020-11-19,0.0
2020-11-20,10.32450740432187
2020-11-21,3.8716902766207015
2020-11-22,0.0
2020-11-23,3.44150246810729
2020-11-24,9.89431959580846
2020-11-25,0.0
2020-11-26,3.44150246810729
2020-11-27,9.89431959580846
2020-11-28,41.29802961728748
2020-11-29,10.754695212835282
2020-11-30,0.0
2020-12-01,9.89431959580846
2020-12-02,6.452817127701169
2020-12-03,9.89431959580846
2020-12-04,3.44150246810729
2020-12-05,3.8716902766207015
2020-12-06,7.313192744727991
2020-12-07,3.44150246810729
2020-12-08,0.0
2020-12-09,6.88300493621458
2020-12-10,3.44150246810729
2020-12-11,10.32450740432187
2020-12-12,3.8716902766207015
2020-12-13,22.369766042697385
2020-12-14,3.44150246810729
2020-12-15,6.88300493621458
2020-12-16,3.44150246810729
2020-12-17,3.44150246810729
2020-12-18,3.44150246810729
2020-12-19,18.928263574590094
2020-12-20,11.184883021348693
2020-12-21,10.32450740432187
2020-12-22,24.520705085264442
2020-12-23,3.44150246810729
2020-12-24,4.3018780851341125
2020-12-25,12.905634255402338
2020-12-26,7.743380553241403
2020-12-27,6.88300493621458
2020-12-28,3.44150246810729
2020-12-29,18.067887957563272
2020-12-30,3.8716902766207015
2020-12-31,12.045258638375515
2021-01-01,8.603756170268225
2021-01-02,3.8716902766207015
2021-01-03,7.743380553241403
2021-01-04,3.44150246810729
2021-01-05,17.20751234053645
2021-01-06,6.88300493621458
2021-01-07,0.0
2021-01-08,3.44150246810729
2021-01-09,0.0
2021-01-10,3.8716902766207015
2021-01-11,3.44150246810729
2021-01-12,16.77732453202304
2021-01-13,3.44150246810729
2021-01-14,6.88300493621458
2021-01-15,14.196197680942571
2021-01-16,7.743380553241403
2021-01-17,25.811268510804677
2021-01-18,9.89431959580846
2021-01-19,6.452817127701169
2021-01-20,3.44150246810729
2021-01-21,6.88300493621458
2021-01-22,3.44150246810729
2021-01-23,3.8716902766207015
2021-01-24,14.626385489455982
2021-01-25,6.452817127701169
2021-01-26,6.88300493621458
2021-01-27,6.88300493621458
2021-01-28,16.77732453202304
2021-01-29,3.44150246810729
2021-01-30,3.44150246810729
2021-01-31,3.8716902766207015
2021-02-01,6.452817127701169
2021-02-02,9.89431959580846
2021-02-03,3.44150246810729
2021-02-04,3.44150246810729
2021-02-05,0.0
