date,/m/0g9pc
2020-11-11,3.8291402500070286
2020-11-12,4.376160285722318
2020-11-13,2.188080142861159
2020-11-14,6.199560404773284
2020-11-15,3.099780202386642
2020-11-16,1.6410601071458695
2020-11-17,8.478810553586992
2020-11-18,7.202430470251316
2020-11-19,7.749450505966606
2020-11-20,4.740840309532512
2020-11-21,2.8262701845289975
2020-11-22,9.11700059525483
2020-11-23,2.6439301726239006
2020-11-24,5.652540369057995
2020-11-25,1.4587200952407728
2020-11-26,3.008610196434094
2020-11-27,3.555630232149384
2020-11-28,4.83201031548506
2020-11-29,6.017220392868188
2020-11-30,2.461590160718804
2020-12-01,3.008610196434094
2020-12-02,3.099780202386642
2020-12-03,3.555630232149384
2020-12-04,2.5527601666713524
2020-12-05,3.008610196434094
2020-12-06,1.185210077383128
2020-12-07,2.461590160718804
2020-12-08,4.0114802619121255
2020-12-09,3.555630232149384
2020-12-10,2.0057401309560627
2020-12-11,1.0028700654780314
2020-12-12,0.5470200357152898
2020-12-13,3.7379702440544804
2020-12-14,2.8262701845289975
2020-12-15,2.5527601666713524
2020-12-16,1.549890101193321
2020-12-17,4.102650267864673
2020-12-18,2.096910136908611
2020-12-19,2.370420154766256
2020-12-20,5.287860345247801
2020-12-21,5.652540369057995
2020-12-22,3.7379702440544804
2020-12-23,6.837750446441123
2020-12-24,4.467330291674867
2020-12-25,1.4587200952407728
2020-12-26,1.2763800833356762
2020-12-27,5.105520333342705
2020-12-28,2.188080142861159
2020-12-29,5.014350327390157
2020-12-30,3.373290220244287
2020-12-31,6.473070422630929
2021-01-01,3.008610196434094
2021-01-02,3.8291402500070286
2021-01-03,4.740840309532512
2021-01-04,4.740840309532512
2021-01-05,6.837750446441123
2021-01-06,4.83201031548506
2021-01-07,2.8262701845289975
2021-01-08,3.7379702440544804
2021-01-09,3.099780202386642
2021-01-10,4.83201031548506
2021-01-11,5.4702003571528985
2021-01-12,2.0057401309560627
2021-01-13,3.646800238101932
2021-01-14,3.1909502083391907
2021-01-15,4.740840309532512
2021-01-16,4.102650267864673
2021-01-17,2.2792501488137074
2021-01-18,3.282120214291739
2021-01-19,0.5470200357152898
2021-01-20,4.2849902797697705
2021-01-21,3.373290220244287
2021-01-22,2.2792501488137074
2021-01-23,3.099780202386642
2021-01-24,3.008610196434094
2021-01-25,3.7379702440544804
2021-01-26,3.555630232149384
2021-01-27,4.193820273817222
2021-01-28,6.564240428583478
2021-01-29,0.5470200357152898
2021-01-30,3.008610196434094
2021-01-31,6.199560404773284
2021-02-01,4.376160285722318
2021-02-02,5.014350327390157
2021-02-03,2.2792501488137074
2021-02-04,5.743710375010543
2021-02-05,3.4644602261968354
2021-02-06,2.5527601666713524
2021-02-07,4.193820273817222
2021-02-08,2.188080142861159
2021-02-09,1.6410601071458695
2021-02-10,0.5470200357152898
2021-02-11,1.6410601071458695
2021-02-12,1.0940400714305796
2021-02-13,6.199560404773284
2021-02-14,3.373290220244287
2021-02-15,3.099780202386642
2021-02-16,1.7322301130984177
2021-02-17,2.8262701845289975
2021-02-18,2.8262701845289975
2021-02-19,4.649670303579963
2021-02-20,3.7379702440544804
2021-02-21,7.840620511919154
2021-02-22,3.7379702440544804
2021-02-23,3.373290220244287
2021-02-24,4.376160285722318
2021-02-25,4.83201031548506
2021-02-26,5.743710375010543
2021-02-27,3.282120214291739
2021-02-28,4.740840309532512
2021-03-01,1.6410601071458695
2021-03-02,5.561370363105446
2021-03-03,0.5470200357152898
2021-03-04,0.5470200357152898
2021-03-05,3.4644602261968354
2021-03-06,3.7379702440544804
2021-03-07,3.008610196434094
2021-03-08,3.7379702440544804
2021-03-09,1.6410601071458695
2021-03-10,2.7351001785764493
2021-03-11,2.188080142861159
2021-03-12,3.4644602261968354
2021-03-13,3.920310255959577
2021-03-14,4.193820273817222
2021-03-15,3.4644602261968354
2021-03-16,4.649670303579963
2021-03-17,0.5470200357152898
2021-03-18,1.6410601071458695
2021-03-19,3.282120214291739
2021-03-20,4.2849902797697705
2021-03-21,1.7322301130984177
2021-03-22,4.193820273817222
2021-03-23,4.649670303579963
2021-03-24,3.282120214291739
2021-03-25,3.646800238101932
2021-03-26,2.2792501488137074
2021-03-27,4.102650267864673
2021-03-28,2.7351001785764493
2021-03-29,2.2792501488137074
2021-03-30,4.923180321437608
2021-03-31,3.1909502083391907
2021-04-01,3.373290220244287
2021-04-02,7.020090458346219
2021-04-03,5.4702003571528985
2021-04-04,3.7379702440544804
2021-04-05,4.2849902797697705
2021-04-06,4.83201031548506
2021-04-07,4.102650267864673
2021-04-08,4.2849902797697705
2021-04-09,1.0940400714305796
2021-04-10,4.649670303579963
2021-04-11,1.9145701250035143
2021-04-12,3.920310255959577
2021-04-13,3.8291402500070286
2021-04-14,3.282120214291739
2021-04-15,0.0
2021-04-16,3.920310255959577
2021-04-17,0.6381900416678381
2021-04-18,3.099780202386642
2021-04-19,1.0940400714305796
2021-04-20,3.8291402500070286
2021-04-21,6.290730410725833
2021-04-22,2.188080142861159
2021-04-23,2.2792501488137074
2021-04-24,3.555630232149384
2021-04-25,3.920310255959577
2021-04-26,2.9174401904815457
2021-04-27,1.7322301130984177
2021-04-28,3.008610196434094
2021-04-29,1.2763800833356762
2021-04-30,2.7351001785764493
2021-05-01,1.549890101193321
2021-05-02,7.658280500014057
2021-05-03,5.105520333342705
2021-05-04,3.920310255959577
2021-05-05,5.4702003571528985
2021-05-06,2.9174401904815457
2021-05-07,3.555630232149384
2021-05-08,4.649670303579963
2021-05-09,3.008610196434094
2021-05-10,1.185210077383128
2021-05-11,5.1966903392952535
2021-05-12,2.7351001785764493
2021-05-13,2.2792501488137074
2021-05-14,4.2849902797697705
2021-05-15,3.26276756168585
2021-05-16,3.0626511512357846
