date,/m/05w_j
2020-02-01,0.6994680673750563
2020-02-02,0.7993920770000643
2020-02-03,1.5987841540001286
2020-02-04,1.2990121251251043
2020-02-05,0.7993920770000643
2020-02-06,0.19984801925001608
2020-02-07,0.5995440577500483
2020-02-08,0.4996200481250402
2020-02-09,0.5995440577500483
2020-02-10,2.298252221375185
2020-02-11,1.0991641058750885
2020-02-12,0.7993920770000643
2020-02-13,1.1990881155000965
2020-02-14,0.39969603850003216
2020-02-15,0.19984801925001608
2020-02-16,0.19984801925001608
2020-02-17,1.3989361347501126
2020-02-18,0.7993920770000643
2020-02-19,1.3989361347501126
2020-02-20,0.7993920770000643
2020-02-21,0.5995440577500483
2020-02-22,0.6994680673750563
2020-02-23,0.5995440577500483
2020-02-24,1.8985561828751527
2020-02-25,0.7993920770000643
2020-02-26,1.4988601443751206
2020-02-27,2.6979482598752167
2020-02-28,1.7986321732501447
2020-02-29,1.2990121251251043
2020-03-01,0.9992400962500804
2020-03-02,1.6987081636251367
2020-03-03,1.8985561828751527
2020-03-04,2.498100240625201
2020-03-05,1.8985561828751527
2020-03-06,1.3989361347501126
2020-03-07,2.198328211750177
2020-03-08,1.4988601443751206
2020-03-09,2.6979482598752167
2020-03-10,2.098404202125169
2020-03-11,1.9984801925001607
2020-03-12,1.7986321732501447
2020-03-13,2.298252221375185
2020-03-14,2.098404202125169
2020-03-15,1.3989361347501126
2020-03-16,1.1990881155000965
2020-03-17,1.6987081636251367
2020-03-18,3.1975683080002573
2020-03-19,3.5972643465002894
2020-03-20,2.5980242502502087
2020-03-21,3.497340336875282
2020-03-22,3.1975683080002573
2020-03-23,3.7971123657503054
2020-03-24,3.2974923176252653
2020-03-25,3.1975683080002573
2020-03-26,3.5972643465002894
2020-03-27,3.5972643465002894
2020-03-28,2.498100240625201
2020-03-29,2.198328211750177
2020-03-30,1.6987081636251367
2020-03-31,3.5972643465002894
2020-04-01,2.498100240625201
2020-04-02,2.298252221375185
2020-04-03,3.1975683080002573
2020-04-04,0.8993160866250723
2020-04-05,1.8985561828751527
2020-04-06,1.9984801925001607
2020-04-07,2.5980242502502087
2020-04-08,2.098404202125169
2020-04-09,2.897796279125233
2020-04-10,2.897796279125233
2020-04-11,1.0991641058750885
2020-04-12,1.4988601443751206
2020-04-13,0.5995440577500483
2020-04-14,2.098404202125169
2020-04-15,2.098404202125169
2020-04-16,1.9984801925001607
2020-04-17,2.498100240625201
2020-04-18,1.4988601443751206
2020-04-19,1.9984801925001607
2020-04-20,1.1990881155000965
2020-04-21,3.2974923176252653
2020-04-22,2.398176231000193
2020-04-23,1.2990121251251043
2020-04-24,1.6987081636251367
2020-04-25,2.5980242502502087
2020-04-26,1.8985561828751527
2020-04-27,1.7986321732501447
2020-04-28,2.897796279125233
2020-04-29,1.8985561828751527
2020-04-30,1.4988601443751206
2020-05-01,1.2990121251251043
2020-05-02,0.9992400962500804
2020-05-03,1.9984801925001607
2020-05-04,2.997720288750241
2020-05-05,2.498100240625201
2020-05-06,2.298252221375185
2020-05-07,2.198328211750177
2020-05-08,1.8985561828751527
2020-05-09,1.4988601443751206
2020-05-10,1.1990881155000965
2020-05-11,2.997720288750241
2020-05-12,2.797872269500225
2020-05-13,1.3989361347501126
2020-05-14,1.4988601443751206
2020-05-15,2.498100240625201
2020-05-16,1.9984801925001607
2020-05-17,2.298252221375185
2020-05-18,1.5987841540001286
2020-05-19,2.398176231000193
2020-05-20,1.6987081636251367
2020-05-21,0.6994680673750563
2020-05-22,0.9992400962500804
2020-05-23,1.1990881155000965
2020-05-24,1.4988601443751206
2020-05-25,2.198328211750177
2020-05-26,2.6979482598752167
2020-05-27,1.7986321732501447
2020-05-28,3.2974923176252653
2020-05-29,1.5987841540001286
2020-05-30,0.39969603850003216
2020-05-31,1.2990121251251043
2020-06-01,1.1990881155000965
2020-06-02,1.9984801925001607
2020-06-03,2.897796279125233
2020-06-04,1.9984801925001607
2020-06-05,1.8985561828751527
2020-06-06,0.9992400962500804
2020-06-07,0.39969603850003216
2020-06-08,2.298252221375185
2020-06-09,1.9984801925001607
2020-06-10,1.7986321732501447
2020-06-11,1.4988601443751206
2020-06-12,2.398176231000193
2020-06-13,3.3974163272502733
2020-06-14,2.298252221375185
2020-06-15,2.298252221375185
2020-06-16,1.4988601443751206
2020-06-17,2.498100240625201
2020-06-18,1.9984801925001607
2020-06-19,1.8985561828751527
2020-06-20,1.4988601443751206
2020-06-21,1.6987081636251367
2020-06-22,2.897796279125233
2020-06-23,3.7971123657503054
2020-06-24,4.09688439462533
2020-06-25,3.1975683080002573
2020-06-26,2.797872269500225
2020-06-27,3.0976442983752492
2020-06-28,1.7986321732501447
2020-06-29,2.298252221375185
2020-06-30,2.6979482598752167
2020-07-01,2.897796279125233
2020-07-02,2.198328211750177
2020-07-03,2.498100240625201
2020-07-04,1.7986321732501447
2020-07-05,2.498100240625201
2020-07-06,2.498100240625201
2020-07-07,2.797872269500225
2020-07-08,1.8985561828751527
2020-07-09,2.897796279125233
2020-07-10,1.9984801925001607
2020-07-11,2.797872269500225
2020-07-12,1.5987841540001286
2020-07-13,3.2974923176252653
2020-07-14,0.5995440577500483
2020-07-15,1.2990121251251043
2020-07-16,3.6971883561252974
2020-07-17,3.3974163272502733
2020-07-18,2.498100240625201
2020-07-19,2.997720288750241
2020-07-20,2.498100240625201
2020-07-21,3.1975683080002573
2020-07-22,3.1975683080002573
2020-07-23,3.2974923176252653
2020-07-24,2.6979482598752167
2020-07-25,2.6979482598752167
2020-07-26,1.4988601443751206
