date,/m/0b76bty
2020-02-01,43.072216011914776
2020-02-02,42.101325896892114
2020-02-03,37.0703498463201
2020-02-04,41.17456715073411
2020-02-05,40.2478084045761
2020-02-06,40.55672798662877
2020-02-07,40.55672798662877
2020-02-08,41.347833485857656
2020-02-09,38.02141345434716
2020-02-10,31.31447312480905
2020-02-11,39.36280152025478
2020-02-12,40.61168006437566
2020-02-13,39.316546759361394
2020-02-14,36.91129919290635
2020-02-15,40.80376557425727
2020-02-16,39.980248659937786
2020-02-17,40.53905772634098
2020-02-18,42.62189151929835
2020-02-19,40.43745607790404
2020-02-20,39.67544371462695
2020-02-21,39.624642890408474
2020-02-22,42.774293991953776
2020-02-23,41.49114577261751
2020-02-24,45.58987841148872
2020-02-25,47.608791667610234
2020-02-26,50.770190719831554
2020-02-27,52.194385342366914
2020-02-28,55.68444469209639
2020-02-29,57.4138238766036
2020-03-01,59.65966924290933
2020-03-02,59.98832954041749
2020-03-03,61.0369123943721
2020-03-04,59.049300118965604
2020-03-05,60.199611160244174
2020-03-06,60.55174719328862
2020-03-07,61.16211631723234
2020-03-08,61.20124254312617
2020-03-09,63.118427611923764
2020-03-10,65.83378768895543
2020-03-11,72.16441103857684
2020-03-12,78.72979174356124
2020-03-13,81.8990160409613
2020-03-14,87.2906099691309
2020-03-15,92.01705805710532
2020-03-16,95.55406887790737
2020-03-17,96.17226324702989
2020-03-18,100.0
2020-03-19,95.92920353982298
2020-03-20,85.92920353982299
2020-03-21,79.29203539823007
2020-03-22,75.0442477876106
2020-03-23,72.74336283185839
2020-03-24,63.04396033386473
2020-03-25,58.66507334039145
2020-03-26,55.45217885724629
2020-03-27,51.7038019602436
2020-03-28,52.12028828213279
2020-03-29,47.83642897127255
2020-03-30,44.147550120254
2020-03-31,43.7754983595254
2020-04-01,42.47051380054233
2020-04-02,41.031532210010894
2020-04-03,38.19468278867746
2020-04-04,38.15356902894798
2020-04-05,36.79681495787548
2020-04-06,35.72785720490926
2020-04-07,34.16553433518942
2020-04-08,34.11871495485431
2020-04-09,32.06115068664977
2020-04-10,31.477662312084313
2020-04-11,30.556364878559897
2020-04-12,30.587074793010707
2020-04-13,30.34139547740419
2020-04-14,27.116854460068726
2020-04-15,26.86891242203413
2020-04-16,27.00796420875003
2020-04-17,25.745909806471992
2020-04-18,26.824392659327764
2020-04-19,25.975374243249814
2020-04-20,24.98867716510517
2020-04-21,24.896891390394032
2020-04-22,25.79924124115926
2020-04-23,24.3770779577762
2020-04-24,23.200578056339147
2020-04-25,23.553528026770252
2020-04-26,23.271168050425363
2020-04-27,23.83588800311515
2020-04-28,22.894688081965498
2020-04-29,22.306438131246956
2020-04-30,21.61395945064603
2020-05-01,20.480170066206327
2020-05-02,19.960745463077906
2020-05-03,22.09409651164107
2020-05-04,21.648875423245283
2020-05-05,20.2761104006916
2020-05-06,20.424517430156858
2020-05-07,20.445152499138135
2020-05-08,19.18977550506972
2020-05-09,20.736136055478244
2020-05-10,19.89774780525676
2020-05-11,21.034229655557002
2020-05-12,20.28899565536012
2020-05-13,20.68024350546348
2020-05-14,19.8714008891157
2020-05-15,19.363446265685887
2020-05-16,20.17400913262158
2020-05-17,20.155996624467452
2020-05-18,20.444196754933472
2020-05-19,18.94915857814098
2020-05-20,18.19263323566767
2020-05-21,18.96717108629511
2020-05-22,17.847453225469213
2020-05-23,18.342229833898934
2020-05-24,19.149287946590484
2020-05-25,20.781746401807492
2020-05-26,20.5983241034685
2020-05-27,20.433244034963405
2020-05-28,19.90131936978034
2020-05-29,19.79998323789561
2020-05-30,19.18668800893868
2020-05-31,20.027694720849354
2020-06-01,18.9324301658029
2020-06-02,20.066811312101002
2020-06-03,19.480062443326116
2020-06-04,18.28700641015053
2020-06-05,18.09142345389223
2020-06-06,18.324097982230946
2020-06-07,18.05908003620694
2020-06-08,18.664835341404654
2020-06-09,18.816274167704083
2020-06-10,18.589115928254937
2020-06-11,17.661553117170936
2020-06-12,17.320815757997217
2020-06-13,16.654089737512336
2020-06-14,18.189795295576168
2020-06-15,19.632240442599194
2020-06-16,17.646536733710356
2020-06-17,18.583189426582447
2020-06-18,20.11929984289268
2020-06-19,19.22011325773548
2020-06-20,19.267083572977374
2020-06-21,20.868616850900615
2020-06-22,22.558094383869772
2020-06-23,23.152980839140593
2020-06-24,24.414140124314756
2020-06-25,23.676480919778918
2020-06-26,20.96379868374395
2020-06-27,21.772844262912272
2020-06-28,23.843095717357656
2020-06-29,26.747659254992165
2020-06-30,25.57557081572846
2020-07-01,24.133000428942367
2020-07-02,24.133000428942367
2020-07-03,25.395249517380204
2020-07-04,26.17664181022267
2020-07-05,27.729273152721152
2020-07-06,28.2526316842543
2020-07-07,30.713344766431288
2020-07-08,29.4070402907077
2020-07-09,30.682965592577258
2020-07-10,28.191873336546227
2020-07-11,30.531069723307056
2020-07-12,34.616720096001
2020-07-13,36.581621609408025
2020-07-14,38.27914465392812
2020-07-15,34.7143462604359
2020-07-16,33.65339435761086
2020-07-17,31.998309389203758
2020-07-18,37.557697360007076
2020-07-19,36.921126218312054
2020-07-20,38.208832984093625
2020-07-21,37.458630912415366
2020-07-22,36.446235482350076
2020-07-23,34.84976576570868
2020-07-24,33.136481191752054
2020-07-25,33.3701109063825
2020-07-26,34.07100005027385
2020-07-27,33.418012561375676
2020-07-28,34.07981358289137
2020-07-29,34.00399642252899
2020-07-30,33.54909346035468
2020-07-31,30.13732124404744
2020-08-01,30.402681305315777
2020-08-02,30.630132786402918
2020-08-03,30.592224206221726
2020-08-04,30.97182743254794
