date,/m/0m7pl
2020-02-02,3.336443541311822
2020-02-03,0.0
2020-02-04,9.949751274983473
2020-02-05,1.7873804685599048
2020-02-06,7.089942525287623
2020-02-07,9.771013228127485
2020-02-08,23.990617844670727
2020-02-09,3.0867776980844077
2020-02-10,16.4628143897835
2020-02-11,11.575416367816523
2020-02-12,6.430786871009181
2020-02-13,33.18286025440739
2020-02-14,0.0
2020-02-15,5.144629496807345
2020-02-16,14.514422793120298
2020-02-17,3.0703586677754466
2020-02-18,4.745099759289328
2020-02-19,0.0
2020-02-20,32.936574799772984
2020-02-21,12.83968170160642
2020-02-22,0.0
2020-02-23,11.343110454258179
2020-02-24,11.343110454258179
2020-02-25,11.343110454258179
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.6567063947202084
2020-03-05,0.6567063947202084
2020-03-06,0.6567063947202084
2020-03-07,0.0
2020-03-08,5.154150188864682
2020-03-09,5.154150188864682
2020-03-10,5.154150188864682
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,8.334854025360551
2020-03-19,7.320176144012308
2020-03-20,34.93390991498942
2020-03-21,81.46413847395877
2020-03-22,61.388011821568554
2020-03-23,51.821048940285166
2020-03-24,35.249932784609896
2020-03-25,20.613395134465062
2020-03-26,14.058335481705168
2020-03-27,16.820530429723483
2020-03-28,14.594283755201255
2020-03-29,17.438932283757428
2020-03-30,11.213686953148986
2020-03-31,20.716223932313348
2020-04-01,16.012165378770174
2020-04-02,19.45945249250942
2020-04-03,13.789148454957006
2020-04-04,10.53516716067977
2020-04-05,11.21173752879682
2020-04-06,6.926791864055508
2020-04-07,5.960262766745438
2020-04-08,7.096405227046368
2020-04-09,8.856160701138723
2020-04-10,7.421577434215606
2020-04-11,7.880644079631003
2020-04-12,6.388677482030957
2020-04-13,4.380260908338593
2020-04-14,5.221883091600157
2020-04-15,6.128994116131855
2020-04-16,4.767960426313434
2020-04-17,4.767960426313434
2020-04-18,3.8293855392438596
2020-04-19,4.955675403727348
2020-04-20,6.232137250141967
2020-04-21,6.044422272728053
2020-04-22,2.639313838478632
2020-04-23,1.9375486152235362
2020-04-24,4.6960924063892495
2020-04-25,2.3152063961569374
2020-04-26,5.385728354180677
2020-04-27,3.02126224746721
2020-04-28,2.118167553930815
2020-04-29,1.1493932463190466
2020-04-30,2.808990021556937
2020-05-01,1.9297533074923676
2020-05-02,3.745320028742584
2020-05-03,2.2152197730977474
2020-05-04,1.5415189142690513
2020-05-05,1.6328681832627725
2020-05-06,2.877501973302229
2020-05-07,2.0016492503764955
2020-05-08,1.9362785854875422
2020-05-09,1.5042164217837102
2020-05-10,3.136451262442629
2020-05-11,2.4163476562695774
2020-05-12,3.7285364497404734
2020-05-13,4.672672288945142
2020-05-14,4.541634917194261
2020-05-15,1.9546006660535573
2020-05-16,1.7961195309681344
2020-05-17,3.1696227017084713
2020-05-18,6.849906838692197
2020-05-19,4.085291482202031
2020-05-20,5.282704502847453
2020-05-21,3.046359596642032
2020-05-22,4.207703621771723
2020-05-23,2.314914592072797
2020-05-24,3.5795438599644154
2020-05-25,4.479788423548282
2020-05-26,3.0651183950593515
2020-05-27,4.908476310969169
2020-05-28,3.7081502261906816
2020-05-29,2.9952581467389106
2020-05-30,2.7905729116030717
2020-05-31,2.2154166626467138
2020-06-01,3.0035937445498706
2020-06-02,3.1101041610232714
2020-06-03,3.1953124942019913
2020-06-04,0.937291664965917
2020-06-05,3.8769791596317487
2020-06-06,1.6607453535782282
2020-06-07,1.8805498856694647
2020-06-08,2.369004401427768
2020-06-09,4.933390609158854
2020-06-10,2.5888089335190037
2020-06-11,1.4653635472749076
2020-06-12,1.099022660456181
2020-06-13,1.8883891103485904
2020-06-14,0.5265623896170323
2020-06-15,0.8069397659066208
2020-06-16,1.4018868814479426
2020-06-17,1.524979388111664
2020-06-18,1.230925066637218
2020-06-19,1.8395491273633984
2020-06-20,2.032105318960437
2020-06-21,1.2783232800056317
2020-06-22,1.1735426832838582
2020-06-23,2.9967250662427096
2020-06-24,2.2423047698459433
2020-06-25,2.0956119344354613
2020-06-26,1.7184017862370777
2020-06-27,1.005893728529021
2020-06-28,1.4385361924124718
2020-06-29,2.800007945945703
2020-06-30,2.9284486774111027
2020-07-01,1.541288777584791
2020-07-02,4.264232284651253
2020-07-03,0.5394510721546767
2020-07-04,0.6422036573269961
2020-07-05,2.0550517034463875
2020-07-06,2.8770723848249427
2020-07-07,1.1816547294816726
2020-07-08,3.41652345697962
2020-07-09,3.082577555169582
2020-07-10,3.031201262583422
2020-07-11,2.2348687274979477
2020-07-12,3.262394579221139
2020-07-13,2.387976521143401
2020-07-14,1.2562833002537028
2020-07-15,1.8688511904600544
2020-07-16,2.3983590277570688
2020-07-17,2.6890692129397444
2020-07-18,0.892895568775359
2020-07-19,1.3185783399357052
2020-07-20,4.79979610346366
2020-07-21,5.443344184374987
2020-07-22,3.7004014652401374
2020-07-23,4.3439495461514674
2020-07-24,3.4590709348983912
2020-07-25,5.577416701231515
2020-07-26,4.451207559636688
2020-07-27,4.149475992364168
2020-07-28,5.199053798010597
2020-07-29,1.7834941831363205
2020-07-30,0.8749216747461194
2020-07-31,1.5984145980938718
2020-08-01,4.021274620467742
2020-08-02,3.903496702713457
2020-08-03,0.8258475423485007
2020-08-04,3.2599245092703972
2020-08-05,7.606490521630929
2020-08-06,2.651405267539923
2020-08-07,5.433207515450662
2020-08-08,3.2599245092703986
2020-08-09,3.3033901693940027
2020-08-10,4.824688273720189
2020-08-11,5.740716699337039
2020-08-12,2.185844410412317
2020-08-13,5.5329186638561785
2020-08-14,4.508304096475402
2020-08-15,4.6790731910388645
2020-08-16,5.60122630168156
2020-08-17,3.176305158880396
2020-08-18,6.062191880685915
2020-08-19,4.2769118910356205
2020-08-20,3.2378880982981517
2020-08-21,2.4404977457321886
2020-08-22,6.572429572664908
2020-08-23,1.9813942094063324
2020-08-24,4.97764886753298
2020-08-25,5.581732467961741
2020-08-26,8.626313814122689
2020-08-27,5.895855940184693
2020-08-28,2.44049774573219
2020-08-29,5.1951189636873325
2020-08-30,8.19137362181398
2020-08-31,3.407031506418206
2020-09-01,4.349401923087069
2020-09-02,15.168456831729738
2020-09-03,5.570337254590017
2020-09-04,6.4273122168346335
2020-09-05,7.884169652650483
2020-09-06,25.023668897542827
2020-09-07,7.79847215642602
2020-09-08,13.368809411016038
2020-09-09,6.4273122168346335
2020-09-10,15.421264445591893
2020-09-11,7.752766825106312
2020-09-12,8.005574438968473
2020-09-13,16.938110128764865
2020-09-14,16.516764105661267
2020-09-15,20.983031950559468
2020-09-16,12.663565871099003
2020-09-17,8.792087015428528
2020-09-18,9.4898716991927
2020-09-19,5.303163596607685
2020-09-20,5.442720533360519
2020-09-21,22.887337627464746
2020-09-22,9.768985572698366
2020-09-23,15.63037691631739
2020-09-24,12.146937847827777
2020-09-25,11.210078717253714
2020-09-26,12.16597690244589
2020-09-27,12.861175582585652
2020-09-28,12.513576242515775
2020-09-29,20.682160734158014
2020-09-30,24.59265330994419
2020-10-01,38.757326417791916
2020-10-02,17.646552051570378
2020-10-03,8.173944023887575
2020-10-04,18.868824055142355
2020-10-05,4.507128013171654
2020-10-06,14.285304041747448
2020-10-07,40.2585841176519
2020-10-08,27.11916007925317
2020-10-09,12.743307520554435
2020-10-10,16.694316139543854
2020-10-11,8.038004067187783
2020-10-12,28.26550880769332
2020-10-13,18.372580725000653
2020-10-14,35.15522657956854
2020-10-15,21.199131605769974
2020-10-16,23.868418205557358
2020-10-17,12.471080849518717
2020-10-18,27.796987435674254
2020-10-19,18.63149428120869
2020-10-20,24.79190771289866
2020-10-21,26.144193588147672
2020-10-22,36.51171863172346
2020-10-23,49.58381542579732
2020-10-24,39.523680858895666
2020-10-25,32.3932907635361
2020-10-26,31.329874652611927
2020-10-27,29.775651105876616
2020-10-28,29.939253584480337
2020-10-29,28.71223499495246
2020-10-30,40.88057078824488
2020-10-31,32.127262230580534
2020-11-01,27.25278106456141
2020-11-02,38.109580025240355
2020-11-03,61.595716552423355
2020-11-04,18.16852070970761
2020-11-05,30.797858276211677
2020-11-06,40.98995525970619
2020-11-07,34.12935323383087
2020-11-08,59.90049751243783
2020-11-09,92.53731343283584
2020-11-10,100.0
2020-11-11,71.044776119403
2020-11-12,74.72636815920401
2020-11-13,98.50746268656718
2020-11-14,98.50746268656718
2020-11-15,17.850738442130062
2020-11-16,26.285702760938776
2020-11-17,23.343273347400853
2020-11-18,9.023450201516296
2020-11-19,13.633256282725704
2020-11-20,11.083150790992839
2020-11-21,15.987199813556042
2020-11-22,9.130547749293251
2020-11-23,21.27002600687633
2020-11-24,4.046492752527692
2020-11-25,11.205672237768992
2020-11-26,8.19674172947917
2020-11-27,12.035722033159288
2020-11-28,7.366691934088876
2020-11-29,10.168109993531122
2020-11-30,15.71797005073892
2020-12-01,9.72151904872292
2020-12-02,9.358097775873466
2020-12-03,11.811191367607282
2020-12-04,6.35987227486546
2020-12-05,7.904412684475643
2020-12-06,9.35809777587346
2020-12-07,0.0
2020-12-08,22.014251063173784
2020-12-09,46.937003409030766
2020-12-10,84.48761215638515
2020-12-11,62.47336109321133
2020-12-12,37.55060874735435
2020-12-13,72.06956468943196
2020-12-14,91.4410435385788
2020-12-15,34.619848741096156
2020-12-16,59.901448808607164
2020-12-17,32.34222711339246
2020-12-18,56.71277852982198
2020-12-19,39.402854159273915
2020-12-20,29.609081160148026
