date,/g/121j1nlf
2020-02-01,0.57078177905799
2020-02-02,0.41586846907133007
2020-02-03,0.6583815674433035
2020-02-04,0.5670933669154503
2020-02-05,0.4011148205011722
2020-02-06,0.40388112960807676
2020-02-07,0.3697633172895864
2020-02-08,0.3015276926526052
2020-02-09,0.28768356754640373
2020-02-10,0.4521795561690911
2020-02-11,0.34743323157527223
2020-02-12,0.29948597031753826
2020-02-13,0.28768356754640373
2020-02-14,0.3245660762061991
2020-02-15,0.28803682284616466
2020-02-16,0.23593349946978645
2020-02-17,0.3791068196608534
2020-02-18,0.47287526175781985
2020-02-19,0.3700324542966309
2020-02-20,0.4396025887556706
2020-02-21,0.2571070186529724
2020-02-22,0.33675978129448153
2020-02-23,0.23858121738684895
2020-02-24,0.4152088954727477
2020-02-25,0.4746410771290907
2020-02-26,0.5061531954248989
2020-02-27,0.5552990379484132
2020-02-28,0.5389715155153519
2020-02-29,0.5409308182073194
2020-03-01,0.4654976645665763
2020-03-02,0.40737168470487833
2020-03-03,0.4130863175564497
2020-03-04,0.3949627676557517
2020-03-05,0.34908242961884967
2020-03-06,0.32704027433421695
2020-03-07,0.3288363018018538
2020-03-08,0.339285916159013
2020-03-09,0.39545259332874366
2020-03-10,0.33732661346704546
2020-03-11,0.33602041167240077
2020-03-12,0.3281832009045312
2020-03-13,0.3565930899380578
2020-03-14,0.391044162271817
2020-03-15,0.4617423344069722
2020-03-16,0.4215766292216415
2020-03-17,0.4658242150152375
2020-03-18,0.33731944716872453
2020-03-19,0.24861932382493324
2020-03-20,0.26804270849875617
2020-03-21,0.3994742781249577
2020-03-22,0.5283160631279832
2020-03-23,0.3505787254507638
2020-03-24,0.3957528123494896
2020-03-25,0.39229343461916183
2020-03-26,0.4697834957785025
2020-03-27,0.3383271420260495
2020-03-28,0.4386490962055529
2020-03-29,0.384682803612441
2020-03-30,0.48500475779194435
2020-03-31,0.5646752371385346
2020-04-01,0.8917468680005952
2020-04-02,0.6277428610267348
2020-04-03,0.620409416388572
2020-04-04,0.6013424603293488
2020-04-05,0.4605403232766232
2020-04-06,0.5412082142964139
2020-04-07,0.4282731668687069
2020-04-08,0.4994065089048544
2020-04-09,0.4239927743386852
2020-04-10,0.38377211590339494
2020-04-11,0.4248307047227538
2020-04-12,0.3787445335989836
2020-04-13,0.3963410716644231
2020-04-14,0.3561204132291328
2020-04-15,0.39017479443808667
2020-04-16,0.4817957457771124
2020-04-17,0.32346230605064247
2020-04-18,0.2969601423196025
2020-04-19,0.3649144082966283
2020-04-20,0.4138414798000868
2020-04-21,0.5912021140001241
2020-04-22,0.48096339800303006
2020-04-23,0.4880901156065408
2020-04-24,0.3683858040070092
2020-04-25,0.3540550061394596
2020-04-26,0.4139071619392255
2020-04-27,0.38861751864354965
2020-04-28,0.47375931773899105
2020-04-29,0.3877745305336939
2020-04-30,0.5468263112978954
2020-05-01,0.4019727772690965
2020-05-02,0.3827364562446678
2020-05-03,0.5001443466351463
2020-05-04,0.5313204531230136
2020-05-05,0.38870634897638706
2020-05-06,0.40993263424472215
2020-05-07,0.3779536542497311
2020-05-08,0.444457548824108
2020-05-09,0.46012125098531
2020-05-10,0.5756410544241749
2020-05-11,0.6578754907704859
2020-05-12,0.6617914163107862
2020-05-13,0.5149442085495173
2020-05-14,0.5984680956552402
2020-05-15,0.5295257814290215
2020-05-16,0.29484958284115964
2020-05-17,0.4633350587503938
2020-05-18,0.33970610564816367
2020-05-19,0.35228781326476233
2020-05-20,0.33095361339313845
2020-05-21,0.42176072053902447
2020-05-22,0.41641044592593496
2020-05-23,0.34401978033326147
2020-05-24,0.39788764629291806
2020-05-25,0.37340225267489224
2020-05-26,0.5392907944370164
2020-05-27,0.35809888166362613
2020-05-28,0.3678930391108364
2020-05-29,0.3012236283660372
2020-05-30,0.2835790028400575
2020-05-31,0.2708414116959414
2020-06-01,0.35799335110305125
2020-06-02,0.3573229515691503
2020-06-03,0.41363651241682114
2020-06-04,0.4163181105524246
2020-06-05,0.510174045298543
2020-06-06,0.32069251529920556
2020-06-07,0.25951995457739185
2020-06-08,0.4309884959945973
2020-06-09,0.41523192732382685
2020-06-10,0.3262536571830068
2020-06-11,0.31605823039603803
2020-06-12,0.3438639398150442
2020-06-13,0.24398942153668102
2020-06-14,0.23384373696597674
2020-06-15,0.37615614525358204
2020-06-16,0.28525174348396626
2020-06-17,0.47583752374578103
2020-06-18,0.3134634543779849
2020-06-19,0.36988687616602217
2020-06-20,0.23805059360526734
2020-06-21,0.25785266398444656
2020-06-22,0.4119513697951853
2020-06-23,0.27054829599726304
2020-06-24,0.42333366056529664
2020-06-25,0.3550399159446284
2020-06-26,0.22983471747340312
2020-06-27,0.25391264025633103
2020-06-28,0.20606530314671392
2020-06-29,0.42045001294220824
2020-06-30,0.4390086893125644
2020-07-01,0.40893083450543544
2020-07-02,0.48124567691406467
2020-07-03,0.28093996298573726
2020-07-04,0.2771002368401464
2020-07-05,0.2571616438967511
2020-07-06,0.3371775205371022
2020-07-07,0.37771990777603237
2020-07-08,0.3256905108194055
2020-07-09,0.38650409167780064
2020-07-10,0.29731083975215433
2020-07-11,0.36758431096629995
2020-07-12,0.2486201577369217
2020-07-13,0.2623363215169968
2020-07-14,0.16928796949151742
2020-07-15,0.42922304321430826
2020-07-16,0.4706445676643606
2020-07-17,0.35058217795406454
2020-07-18,0.27494287243657806
2020-07-19,0.21806604400200047
2020-07-20,0.3512015907373428
2020-07-21,0.4024832389423529
2020-07-22,0.3372156866814307
2020-07-23,0.35741754809552584
