date,/g/121j1nlf
2020-02-01,1.9017578102853208
2020-02-02,2.4451171846525552
2020-02-03,3.531835933387024
2020-02-04,2.173437497468938
2020-02-05,3.260156246203407
2020-02-06,0.8150390615508517
2020-02-07,2.4451171846525552
2020-02-08,1.9017578102853208
2020-02-09,0.0
2020-02-10,4.346874994937876
2020-02-11,0.8150390615508517
2020-02-12,4.618554682121493
2020-02-13,4.075195307754258
2020-02-14,2.4451171846525552
2020-02-15,2.7167968718361726
2020-02-16,1.6300781231017034
2020-02-17,1.6300781231017034
2020-02-18,1.6300781231017034
2020-02-19,2.98847655901979
2020-02-20,0.0
2020-02-21,1.6300781231017034
2020-02-22,1.9017578102853208
2020-02-23,2.4451171846525552
2020-02-24,2.98847655901979
2020-02-25,2.173437497468938
2020-02-26,2.173437497468938
2020-02-27,0.8150390615508517
2020-02-28,4.618554682121493
2020-02-29,2.7167968718361726
2020-03-01,1.6300781231017034
2020-03-02,2.98847655901979
2020-03-03,2.98847655901979
2020-03-04,5.161914056488728
2020-03-05,1.6300781231017034
2020-03-06,4.075195307754258
2020-03-07,1.9017578102853208
2020-03-08,1.6300781231017034
2020-03-09,3.531835933387024
2020-03-10,3.531835933387024
2020-03-11,6.520312492406814
2020-03-12,2.98847655901979
2020-03-13,2.98847655901979
2020-03-14,2.4451171846525552
2020-03-15,0.8150390615508517
2020-03-16,2.173437497468938
2020-03-17,2.7167968718361726
2020-03-18,1.3583984359180863
2020-03-19,2.98847655901979
2020-03-20,2.173437497468938
2020-03-21,0.0
2020-03-22,1.6300781231017034
2020-03-23,1.3583984359180863
2020-03-24,2.173437497468938
2020-03-25,1.9017578102853208
2020-03-26,3.260156246203407
2020-03-27,1.9017578102853208
2020-03-28,2.4451171846525552
2020-03-29,1.3583984359180863
2020-03-30,4.346874994937876
2020-03-31,4.346874994937876
2020-04-01,3.8035156205706415
2020-04-02,1.9017578102853208
2020-04-03,5.433593743672345
2020-04-04,4.8902343693051105
2020-04-05,6.791992179590431
2020-04-06,4.075195307754258
2020-04-07,1.3583984359180863
2020-04-08,2.98847655901979
2020-04-09,3.8035156205706415
2020-04-10,1.6300781231017034
2020-04-11,0.8150390615508517
2020-04-12,1.6300781231017034
2020-04-13,0.8150390615508517
2020-04-14,3.260156246203407
2020-04-15,2.7167968718361726
2020-04-16,4.618554682121493
2020-04-17,4.8902343693051105
2020-04-18,7.063671866774048
2020-04-19,3.8035156205706415
2020-04-20,5.97695311803958
2020-04-21,2.7167968718361726
2020-04-22,7.063671866774048
2020-04-23,4.8902343693051105
2020-04-24,2.173437497468938
2020-04-25,3.260156246203407
2020-04-26,3.8035156205706415
2020-04-27,2.7167968718361726
2020-04-28,3.531835933387024
2020-04-29,2.7167968718361726
2020-04-30,2.7167968718361726
2020-05-01,0.8150390615508517
2020-05-02,3.531835933387024
2020-05-03,2.4451171846525552
2020-05-04,2.7167968718361726
2020-05-05,3.531835933387024
2020-05-06,5.161914056488728
2020-05-07,3.531835933387024
2020-05-08,1.6300781231017034
2020-05-09,4.8902343693051105
2020-05-10,1.6300781231017034
2020-05-11,1.9017578102853208
2020-05-12,2.7167968718361726
2020-05-13,4.075195307754258
2020-05-14,4.075195307754258
2020-05-15,4.346874994937876
2020-05-16,0.8150390615508517
2020-05-17,2.4451171846525552
2020-05-18,2.173437497468938
2020-05-19,6.791992179590431
2020-05-20,4.8902343693051105
2020-05-21,2.173437497468938
2020-05-22,2.173437497468938
2020-05-23,7.063671866774048
2020-05-24,0.8150390615508517
2020-05-25,1.9017578102853208
2020-05-26,3.531835933387024
2020-05-27,4.8902343693051105
2020-05-28,2.173437497468938
2020-05-29,4.346874994937876
2020-05-30,0.8150390615508517
2020-05-31,0.8150390615508517
2020-06-01,3.531835933387024
2020-06-02,0.8150390615508517
2020-06-03,4.075195307754258
2020-06-04,2.7167968718361726
2020-06-05,4.075195307754258
2020-06-06,3.8035156205706415
2020-06-07,0.8150390615508517
2020-06-08,1.9017578102853208
2020-06-09,5.433593743672345
2020-06-10,2.173437497468938
