date,/m/0405g08
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,25.9772225223602
2020-09-05,0.0
2020-09-06,25.165434318536445
2020-09-07,0.0
2020-09-08,48.70729222942538
2020-09-09,49.51908043324914
2020-09-10,0.0
2020-09-11,24.35364611471269
2020-09-12,26.789010726183957
2020-09-13,77.11987936325684
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,22.730069707065176
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,45.46013941413035
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,0.0
2020-09-29,25.9772225223602
2020-09-30,24.35364611471269
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,24.35364611471269
2020-10-04,23.541857910888933
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,25.165434318536445
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,25.165434318536445
2020-10-13,25.165434318536445
2020-10-14,24.35364611471269
2020-10-15,25.165434318536445
2020-10-16,0.0
2020-10-17,26.789010726183957
2020-10-18,27.600798930007713
2020-10-19,0.0
2020-10-20,25.165434318536445
2020-10-21,0.0
2020-10-22,25.165434318536445
2020-10-23,0.0
2020-10-24,26.789010726183957
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,24.35364611471269
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,22.55770978667457
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,45.84308763098381
2020-11-14,22.55770978667457
2020-11-15,0.0
2020-11-16,21.83004172903991
2020-11-17,22.55770978667457
2020-11-18,22.55770978667457
2020-11-19,0.0
2020-11-20,21.83004172903991
2020-11-21,0.0
2020-11-22,45.84308763098381
2020-11-23,0.0
2020-11-24,21.102373671405246
2020-11-25,21.102373671405246
2020-11-26,0.0
2020-11-27,21.83004172903991
2020-11-28,0.0
2020-11-29,21.102373671405246
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,42.93241540044515
2020-12-03,21.83004172903991
2020-12-04,42.93241540044515
2020-12-05,21.83004172903991
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,22.55770978667457
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,23.285377844309235
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,22.55770978667457
2020-12-15,0.0
2020-12-16,23.285377844309235
2020-12-17,50.20909597679179
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,23.285377844309235
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
