date,/g/11j2cc_qll
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.5046713696841347
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.5046713696841347
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.5046713696841347
2020-02-16,0.5046713696841347
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.5046713696841347
2020-02-22,0.0
2020-02-23,1.0093427393682695
2020-02-24,1.0093427393682695
2020-02-25,1.0093427393682695
2020-02-26,1.5140141090524042
2020-02-27,1.5140141090524042
2020-02-28,2.018685478736539
2020-02-29,2.018685478736539
2020-03-01,2.5233568484206734
2020-03-02,4.037370957473078
2020-03-03,2.5233568484206734
2020-03-04,1.0093427393682695
2020-03-05,2.018685478736539
2020-03-06,3.0280282181048084
2020-03-07,3.0280282181048084
2020-03-08,3.532699587788943
2020-03-09,4.542042327157213
2020-03-10,5.046713696841347
2020-03-11,5.551385066525482
2020-03-12,13.121455611787503
2020-03-13,16.654155199576447
2020-03-14,16.654155199576447
2020-03-15,17.663497938944715
2020-03-16,24.728897114522603
2020-03-17,29.270939441679815
2020-03-18,28.261596702311543
2020-03-19,24.224225744838467
2020-03-20,19.682183417681255
2020-03-21,20.691526157049523
2020-03-22,22.710211635786063
2020-03-23,21.70086889641779
2020-03-24,19.682183417681255
2020-03-25,25.233568484206735
2020-03-26,24.224225744838467
2020-03-27,26.74758259325914
2020-03-28,25.233568484206735
2020-03-29,20.691526157049523
2020-03-30,18.672840678312983
2020-03-31,20.186854787365387
2020-04-01,20.186854787365387
2020-04-02,20.186854787365387
2020-04-03,18.16816930862885
2020-04-04,22.710211635786063
2020-04-05,18.16816930862885
2020-04-06,22.205540266101927
2020-04-07,20.186854787365387
2020-04-08,20.691526157049523
2020-04-09,22.205540266101927
2020-04-10,18.672840678312983
2020-04-11,16.654155199576447
2020-04-12,14.130798351155772
2020-04-13,21.70086889641779
2020-04-14,18.672840678312983
2020-04-15,21.19619752673366
2020-04-16,19.682183417681255
2020-04-17,18.672840678312983
2020-04-18,19.17751204799712
2020-04-19,18.672840678312983
2020-04-20,19.17751204799712
2020-04-21,17.15882656926058
2020-04-22,19.682183417681255
2020-04-23,15.140141090524041
2020-04-24,17.15882656926058
2020-04-25,17.663497938944715
2020-04-26,16.14948382989231
2020-04-27,18.16816930862885
2020-04-28,22.205540266101927
2020-04-29,21.19619752673366
2020-04-30,22.710211635786063
2020-05-01,19.17751204799712
2020-05-02,20.186854787365387
2020-05-03,16.654155199576447
2020-05-04,18.16816930862885
2020-05-05,20.186854787365387
2020-05-06,21.70086889641779
2020-05-07,22.710211635786063
2020-05-08,19.682183417681255
2020-05-09,21.19619752673366
2020-05-10,16.654155199576447
2020-05-11,18.672840678312983
2020-05-12,19.17751204799712
2020-05-13,14.635469720839907
2020-05-14,16.654155199576447
2020-05-15,19.17751204799712
2020-05-16,14.130798351155772
2020-05-17,17.15882656926058
2020-05-18,15.140141090524041
2020-05-19,15.644812460208176
2020-05-20,14.635469720839907
2020-05-21,11.607441502735098
2020-05-22,9.084084654314426
2020-05-23,11.102770133050964
2020-05-24,11.607441502735098
2020-05-25,12.616784242103368
2020-05-26,13.626126981471637
2020-05-27,13.121455611787503
2020-05-28,12.112112872419234
2020-05-29,11.607441502735098
2020-05-30,10.093427393682694
2020-05-31,10.093427393682694
2020-06-01,8.57941328463029
2020-06-02,13.626126981471637
2020-06-03,11.607441502735098
2020-06-04,9.084084654314426
2020-06-05,9.084084654314426
2020-06-06,7.570070545262021
2020-06-07,8.57941328463029
2020-06-08,9.084084654314426
2020-06-09,8.57941328463029
2020-06-10,6.560727805893752
2020-06-11,8.074741914946156
2020-06-12,9.58875602399856
2020-06-13,8.074741914946156
2020-06-14,9.58875602399856
2020-06-15,9.084084654314426
2020-06-16,9.58875602399856
2020-06-17,11.607441502735098
2020-06-18,8.074741914946156
2020-06-19,9.58875602399856
2020-06-20,7.065399175577886
2020-06-21,9.58875602399856
2020-06-22,12.112112872419234
2020-06-23,11.102770133050964
2020-06-24,11.102770133050964
2020-06-25,10.59809876336683
2020-06-26,11.102770133050964
2020-06-27,9.084084654314426
2020-06-28,8.074741914946156
2020-06-29,9.084084654314426
2020-06-30,11.102770133050964
2020-07-01,10.59809876336683
2020-07-02,8.57941328463029
2020-07-03,8.57941328463029
2020-07-04,8.074741914946156
2020-07-05,12.112112872419234
2020-07-06,11.102770133050964
2020-07-07,8.57941328463029
2020-07-08,13.121455611787503
2020-07-09,9.58875602399856
2020-07-10,11.102770133050964
2020-07-11,8.074741914946156
2020-07-12,10.093427393682694
2020-07-13,11.102770133050964
2020-07-14,9.58875602399856
2020-07-15,11.607441502735098
2020-07-16,15.644812460208176
2020-07-17,15.140141090524041
2020-07-18,14.130798351155772
2020-07-19,12.616784242103368
2020-07-20,14.130798351155772
2020-07-21,13.626126981471637
2020-07-22,16.14948382989231
2020-07-23,14.635469720839907
2020-07-24,15.140141090524041
2020-07-25,11.102770133050964
2020-07-26,13.121455611787503
2020-07-27,16.14948382989231
2020-07-28,17.15882656926058
2020-07-29,18.672840678312983
2020-07-30,13.121455611787503
2020-07-31,15.140141090524041
2020-08-01,10.59809876336683
2020-08-02,14.635469720839907
2020-08-03,17.15882656926058
2020-08-04,13.121455611787503
2020-08-05,29.270939441679815
2020-08-06,10.093427393682694
2020-08-07,14.130798351155772
