date,/m/05sfr2
2020-02-01,1.8793449252641254
2020-02-02,1.7230505197147763
2020-02-03,1.6163128769005866
2020-02-04,1.235107009707052
2020-02-05,1.3418446525212417
2020-02-06,1.177926129628022
2020-02-07,1.6582455222918753
2020-02-08,1.843782653475715
2020-02-09,1.5665528043695909
2020-02-10,0.8951730310683375
2020-02-11,1.5292539280750765
2020-02-12,1.0443685362463937
2020-02-13,5.147244928642941
2020-02-14,1.305460670307992
2020-02-15,1.4919550517805629
2020-02-16,1.8889077072060259
2020-02-17,1.4430521354022532
2020-02-18,1.188154037410972
2020-02-19,1.3402706442767365
2020-02-20,1.6897277141034928
2020-02-21,1.48416473185246
2020-02-22,1.5006097704325427
2020-02-23,1.5893578649974731
2020-02-24,0.0
2020-02-25,0.602329519658281
2020-02-26,1.3251249432482186
2020-02-27,1.8471438602853956
2020-02-28,1.3652802445587708
2020-02-29,1.2448143406271144
2020-03-01,1.8471438602853956
2020-03-02,2.409318078633125
2020-03-03,3.935219528434106
2020-03-04,2.810871091738646
2020-03-05,2.6301722358411626
2020-03-06,0.6224071703135575
2020-03-07,0.9838048821085265
2020-03-08,1.3050472925929426
2020-03-09,1.1845813886612866
2020-03-10,3.3128123581205475
2020-03-11,4.216306637607969
2020-03-12,6.123683449859194
2020-03-13,5.862673991340606
2020-03-14,12.668997563479186
2020-03-15,13.452025939034947
2020-03-16,17.50771137140071
2020-03-17,14.355520218522367
2020-03-18,25.949367088607595
2020-03-19,37.57911392405064
2020-03-20,71.59810126582279
2020-03-21,100.0
2020-03-22,98.97151898734178
2020-03-23,98.73417721518986
2020-03-24,74.9349070261884
2020-03-25,59.147970593580865
2020-03-26,51.61863575424054
2020-03-27,48.5913774167738
2020-03-28,46.88369322640797
2020-03-29,52.70534387538241
2020-03-30,37.879540222660715
2020-03-31,33.98870503831724
2020-04-01,35.41471811540535
2020-04-02,34.743638185569935
2020-04-03,25.989095464535193
2020-04-04,25.836577298663506
2020-04-05,24.372402906295335
2020-04-06,20.528945126328864
2020-04-07,18.790238035391642
2020-04-08,18.112649164605276
2020-04-09,17.69934039172166
2020-04-10,17.26171933808019
2020-04-11,18.20989828763671
2020-04-12,14.076810558800606
2020-04-13,13.517628101369837
2020-04-14,14.587368454715653
2020-04-15,12.01249442204835
2020-04-16,10.863483628001807
2020-04-17,10.066828161948342
2020-04-18,10.018546012490553
2020-04-19,9.463301293726015
2020-04-20,8.654575290308106
2020-04-21,9.463301293726019
2020-04-22,7.4665931773629435
2020-04-23,8.729004011938825
2020-04-24,7.714586042115229
2020-04-25,7.338875682921305
2020-04-26,9.780993017681809
2020-04-27,6.612502321813053
2020-04-28,5.485371244231283
2020-04-29,6.274362998538524
2020-04-30,7.147218711049316
2020-05-01,6.806457055520238
2020-05-02,6.333325284587735
2020-05-03,6.449533087974665
2020-05-04,6.2337185959703625
2020-05-05,6.109210235198651
2020-05-06,4.814323283172852
2020-05-07,4.978562570610393
2020-05-08,5.216675816949669
2020-05-09,5.158804611373365
2020-05-10,4.538755980198681
2020-05-11,6.572515490451645
2020-05-12,6.481575024546023
2020-05-13,5.621774255983797
2020-05-14,8.338197663610229
2020-05-15,5.425778061162731
