date,/m/01cdt5
2020-11-11,48.27348957626735
2020-11-12,11.840667254556141
2020-11-13,7.286564464342241
2020-11-14,18.216411160855603
2020-11-15,18.216411160855603
2020-11-16,9.108205580427802
2020-11-17,9.108205580427802
2020-11-18,11.840667254556141
2020-11-19,16.39477004477004
2020-11-20,4.554102790213901
2020-11-21,8.19738502238502
2020-11-22,10.019026138470583
2020-11-23,7.286564464342241
2020-11-24,2.7324616741283405
2020-11-25,9.108205580427802
2020-11-26,15.483949486727262
2020-11-27,9.108205580427802
2020-11-28,2.7324616741283405
2020-11-29,14.573128928684483
2020-11-30,15.483949486727262
2020-12-01,4.554102790213901
2020-12-02,9.108205580427802
2020-12-03,11.840667254556141
2020-12-04,7.286564464342241
2020-12-05,12.751487812598922
2020-12-06,15.483949486727262
2020-12-07,0.0
2020-12-08,7.286564464342241
2020-12-09,11.840667254556141
2020-12-10,11.840667254556141
2020-12-11,7.286564464342241
2020-12-12,0.0
2020-12-13,5.464923348256681
2020-12-14,13.662308370641703
2020-12-15,11.840667254556141
2020-12-16,7.286564464342241
2020-12-17,4.554102790213901
2020-12-18,5.464923348256681
2020-12-19,0.0
2020-12-20,8.19738502238502
2020-12-21,12.751487812598922
2020-12-22,12.751487812598922
2020-12-23,2.7324616741283405
2020-12-24,6.375743906299461
2020-12-25,9.108205580427802
2020-12-26,8.19738502238502
2020-12-27,5.464923348256681
2020-12-28,4.554102790213901
2020-12-29,4.554102790213901
2020-12-30,0.0
2020-12-31,6.375743906299461
2021-01-01,0.0
2021-01-02,2.7324616741283405
2021-01-03,5.464923348256681
2021-01-04,7.286564464342241
2021-01-05,7.286564464342241
2021-01-06,7.286564464342241
2021-01-07,13.662308370641703
2021-01-08,7.286564464342241
2021-01-09,15.483949486727262
2021-01-10,2.7324616741283405
2021-01-11,13.662308370641703
2021-01-12,4.554102790213901
2021-01-13,11.840667254556141
2021-01-14,4.554102790213901
2021-01-15,2.7324616741283405
2021-01-16,5.464923348256681
2021-01-17,10.019026138470583
2021-01-18,9.108205580427802
2021-01-19,7.286564464342241
2021-01-20,6.375743906299461
2021-01-21,9.108205580427802
