date,/m/0405g08
2020-02-01,36.325093488608346
2020-02-02,46.48461831655683
2020-02-03,32.10793223927122
2020-02-04,46.005395447314
2020-02-05,27.124014399145544
2020-02-06,37.7627620963369
2020-02-07,40.446410164096875
2020-02-08,53.58619669562185
2020-02-09,56.12449073284973
2020-02-10,25.770185590359254
2020-02-11,38.407488139477735
2020-02-12,29.734829527337606
2020-02-13,55.00943462557458
2020-02-14,25.646290467328683
2020-02-15,50.6731053195045
2020-02-16,50.75662701882709
2020-02-17,40.64247078690423
2020-02-18,43.24169856978765
2020-02-19,48.55830085295826
2020-02-20,43.24169856978765
2020-02-21,43.59613872199902
2020-02-22,42.769111700172495
2020-02-23,54.57030874905056
2020-02-24,28.617835748878143
2020-02-25,26.235379650854608
2020-02-26,29.18508720078852
2020-02-27,28.50438545849609
2020-02-28,26.121929360472528
2020-02-29,28.192397159945386
2020-03-01,34.46052570355497
2020-03-02,35.935379478521945
2020-03-03,43.59327407931193
2020-03-04,53.60526220552992
2020-03-05,55.93099315836245
2020-03-06,54.541227101182045
2020-03-07,45.43684129802061
2020-03-08,42.40204603030015
2020-03-09,24.362272838299663
2020-03-10,40.445179516708436
2020-03-11,39.96935387533538
2020-03-12,34.25944617885891
2020-03-13,38.16121643811785
2020-03-14,53.67313234687895
2020-03-15,39.39836310568774
2020-03-16,52.40035080072809
2020-03-17,48.40371387524883
2020-03-18,43.27398308797654
2020-03-19,56.97515014717913
2020-03-20,65.38576754985799
2020-03-21,50.19239417727686
2020-03-22,65.52142266925601
2020-03-23,60.50218325152835
2020-03-24,49.21205572803364
2020-03-25,54.61277839007159
2020-03-26,43.295681727490205
2020-03-27,41.011497079996744
2020-03-28,45.268386650325496
2020-03-29,61.56915890743811
2020-03-30,51.60180771837562
2020-03-31,39.6297484080688
2020-04-01,37.6682522282281
2020-04-02,38.593762110985544
2020-04-03,37.02039531029788
2020-04-04,40.81498582960341
2020-04-05,49.69988070407487
2020-04-06,41.46284274753361
2020-04-07,33.13325380271659
2020-04-08,37.29580407787801
2020-04-09,36.62178352225369
2020-04-10,36.996239386489435
2020-04-11,39.16808339905663
2020-04-12,54.89522969695701
2020-04-13,40.665906855999516
2020-04-14,41.864165621553816
2020-04-15,40.91548889442306
2020-04-16,39.993781506767604
2020-04-17,38.63176417991176
2020-04-18,43.646464337881056
2020-04-19,37.45547648853622
2020-04-20,32.87414548002105
2020-04-21,46.86577801954037
2020-04-22,32.988361268677565
2020-04-23,40.07442309208729
2020-04-24,30.592528342620195
2020-04-25,41.95291167452885
2020-04-26,40.79003779016026
2020-04-27,41.863459837269744
2020-04-28,24.95706259529543
2020-04-29,34.17060183298515
2020-04-30,22.95783270027708
2020-05-01,37.646007546028045
2020-05-02,28.592629780012164
2020-05-03,27.561232312997703
2020-05-04,33.06201880374154
2020-05-05,26.128735831033165
2020-05-06,25.444048400281133
2020-05-07,26.66904473680931
2020-05-08,36.13225415954809
2020-05-09,41.00724083186807
2020-05-10,41.8675325975716
2020-05-11,21.650676103538743
2020-05-12,26.812426697759893
2020-05-13,37.27930984715281
2020-05-14,29.01774390758524
2020-05-15,24.992922574996992
2020-05-16,34.54620186042056
2020-05-17,38.88860153561308
2020-05-18,23.834949328279
2020-05-19,31.458273202505872
2020-05-20,24.220940410518327
2020-05-21,33.291730843142716
2020-05-22,42.85894257328273
2020-05-23,36.752579927241946
2020-05-24,36.66828501915195
2020-05-25,42.14745404500222
2020-05-26,30.851936360941632
2020-05-27,34.81379704117185
2020-05-28,30.514756728581627
2020-05-29,29.86580619373698
2020-05-30,38.29503734673641
2020-05-31,62.83771321536305
2020-06-01,31.842006191623373
2020-06-02,51.624249240904305
2020-06-03,24.754250660597563
2020-06-04,33.64039192337616
2020-06-05,34.592478487245316
2020-06-06,32.08220129397538
2020-06-07,28.935173374130397
2020-06-08,32.78154083171873
2020-06-09,43.446468782304564
2020-06-10,27.186824529772057
2020-06-11,17.133818674711648
2020-06-12,29.459678027437892
2020-06-13,17.794448545520495
2020-06-14,23.07992831151668
2020-06-15,25.934087385154623
2020-06-16,26.180743107567775
2020-06-17,31.783351659523728
2020-06-18,33.827070502375584
2020-06-19,34.81369339202821
2020-06-20,40.87437685703718
2020-06-21,31.73630600181331
2020-06-22,25.77993185484542
2020-06-23,31.27096427158144
2020-06-24,30.06107577297859
