date,/m/07mf1
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,31.021897810218977
2020-01-06,22.14111922141119
2020-01-07,27.25060827250608
2020-01-08,21.167883211678827
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,19.221411192214116
2020-01-12,0.0
2020-01-13,13.990267639902676
2020-01-14,27.858880778588805
2020-01-15,2.3114355231143557
2020-01-16,0.0
2020-01-17,12.89537712895377
2020-01-18,7.420924574209246
2020-01-19,0.0
2020-01-20,11.67883211678832
2020-01-21,5.5961070559610695
2020-01-22,0.0
2020-01-23,27.73722627737226
2020-01-24,0.0
2020-01-25,37.8345498783455
2020-01-26,0.0
2020-01-27,64.72019464720195
2020-01-28,20.194647201946477
2020-01-29,16.909975669099754
2020-01-30,9.854014598540145
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,2.18978102189781
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,9.97566909975669
2020-02-07,32.481751824817515
2020-02-08,0.0
2020-02-09,19.95133819951338
2020-02-10,9.732360097323602
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,21.167883211678827
2020-02-14,17.883211678832115
2020-02-15,19.343065693430656
2020-02-16,8.02919708029197
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,11.19221411192214
2020-02-20,0.0
2020-02-21,24.574209245742093
2020-02-22,0.0
2020-02-23,18.369829683698292
2020-02-24,6.56934306569343
2020-02-25,0.0
2020-02-26,27.858880778588805
2020-02-27,16.30170316301703
2020-02-28,35.76642335766423
2020-02-29,22.26277372262773
2020-03-01,30.048661800486617
2020-03-02,23.96593673965937
2020-03-03,29.927007299270077
2020-03-04,49.270072992700726
2020-03-05,22.62773722627737
2020-03-06,6.934306569343065
2020-03-07,21.65450121654501
2020-03-08,8.150851581508515
2020-03-09,18.613138686131386
2020-03-10,3.0413625304136254
2020-03-11,0.0
2020-03-12,51.0948905109489
2020-03-13,25.425790754257907
2020-03-14,32.846715328467155
2020-03-15,0.0
2020-03-16,58.27250608272506
2020-03-17,39.29440389294403
2020-03-18,36.61800486618005
2020-03-19,36.982968369829685
2020-03-20,48.78345498783455
2020-03-21,29.318734793187343
2020-03-22,46.10705596107056
2020-03-23,44.16058394160584
2020-03-24,100.0
2020-03-25,22.871046228710465
2020-03-26,0.0
2020-03-27,9.489051094890511
2020-03-28,0.0
2020-03-29,19.464720194647203
2020-03-30,56.56934306569343
2020-03-31,30.65693430656934
2020-04-01,27.73722627737226
2020-04-02,29.440389294403893
2020-04-03,9.24574209245742
2020-04-04,0.0
2020-04-05,46.4720194647202
2020-04-06,19.70802919708029
2020-04-07,23.844282238442823
2020-04-08,22.871046228710465
2020-04-09,35.03649635036496
2020-04-10,35.03649635036496
2020-04-11,15.206812652068129
2020-04-12,14.11192214111922
2020-04-13,22.871046228710465
2020-04-14,29.805352798053526
2020-04-15,52.06812652068126
2020-04-16,10.705596107055962
2020-04-17,23.844282238442823
2020-04-18,12.89537712895377
2020-04-19,14.11192214111922
2020-04-20,7.907542579075425
2020-04-21,0.0
2020-04-22,24.939172749391727
2020-04-23,14.355231143552311
2020-04-24,0.0
2020-04-25,20.559610705596103
2020-04-26,24.69586374695864
2020-04-27,0.0
2020-04-28,39.1727493917275
2020-04-29,52.31143552311436
2020-04-30,8.150851581508515
2020-05-01,30.413625304136254
2020-05-02,17.396593673965935
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,25.425790754257907
2020-05-06,29.318734793187343
2020-05-07,27.25060827250608
2020-05-08,15.693430656934304
2020-05-09,0.0
2020-05-10,21.289537712895378
2020-05-11,0.0
2020-05-12,10.827250608272506
2020-05-13,22.871046228710465
2020-05-14,5.839416058394161
2020-05-15,22.62773722627737
2020-05-16,24.45255474452555
2020-05-17,0.0
2020-05-18,21.776155717761554
2020-05-19,7.907542579075425
2020-05-20,9.732360097323602
2020-05-21,24.087591240875916
2020-05-22,16.05839416058394
2020-05-23,8.75912408759124
2020-05-24,29.56204379562044
2020-05-25,34.42822384428224
2020-05-26,5.839416058394161
2020-05-27,39.41605839416058
2020-05-28,10.21897810218978
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,9.732360097323602
2020-06-02,12.89537712895377
2020-06-03,27.858880778588805
2020-06-04,21.046228710462287
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,29.927007299270077
2020-06-08,11.19221411192214
2020-06-09,8.51581508515815
2020-06-10,0.0
2020-06-11,35.15815085158151
2020-06-12,0.0
2020-06-13,8.637469586374696
2020-06-14,0.0
2020-06-15,17.51824817518248
2020-06-16,15.693430656934304
2020-06-17,0.0
2020-06-18,54.01459854014598
2020-06-19,0.0
2020-06-20,25.425790754257907
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,26.155717761557177
2020-06-24,37.22627737226277
2020-06-25,10.705596107055962
2020-06-26,42.33576642335765
2020-06-27,27.73722627737226
2020-06-28,0.0
2020-06-29,17.883211678832115
2020-06-30,0.0
2020-07-01,6.690997566909975
2020-07-02,9.489051094890511
2020-07-03,0.0
2020-07-04,19.464720194647203
2020-07-05,18.613138686131386
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,3.6496350364963503
2020-07-12,0.0
2020-07-13,23.72262773722628
2020-07-14,21.532846715328468
2020-07-15,0.0
2020-07-16,28.83211678832117
2020-07-17,19.58637469586375
2020-07-18,23.96593673965937
2020-07-19,7.78588807785888
2020-07-20,0.0
