date,/m/02gy9__0,/m/02gy9_,batch_id
2020-02-01,9.0,9.0,1
2020-02-02,14.0,14.0,1
2020-02-03,18.0,18.0,1
2020-02-04,12.0,12.0,1
2020-02-05,20.0,20.0,1
2020-02-06,12.0,12.0,1
2020-02-07,25.0,25.0,1
2020-02-08,24.0,24.0,1
2020-02-09,14.0,14.0,1
2020-02-10,26.0,26.0,1
2020-02-11,8.0,8.0,1
2020-02-12,17.0,17.0,1
2020-02-13,11.0,11.0,1
2020-02-14,6.0,6.0,1
2020-02-15,18.0,18.0,1
2020-02-16,22.0,22.0,1
2020-02-17,10.0,10.0,1
2020-02-18,14.0,14.0,1
2020-02-19,24.0,24.0,1
2020-02-20,22.0,22.0,1
2020-02-21,9.0,9.0,1
2020-02-22,10.0,10.0,1
2020-02-23,30.0,30.0,1
2020-02-24,35.0,35.0,1
2020-02-25,23.0,23.0,1
2020-02-26,13.0,13.0,1
2020-02-27,34.0,34.0,1
2020-02-28,22.0,22.0,1
2020-02-29,18.0,18.0,1
2020-03-01,24.0,24.0,1
2020-03-02,28.0,28.0,1
2020-03-03,30.0,30.0,1
2020-03-04,23.0,23.0,1
2020-03-05,23.0,23.0,1
2020-03-06,17.0,17.0,1
2020-03-07,24.0,24.0,1
2020-03-08,34.0,34.0,1
2020-03-09,28.0,28.0,1
2020-03-10,26.0,26.0,1
2020-03-11,26.0,26.0,1
2020-03-12,43.0,43.0,1
2020-03-13,36.0,36.0,1
2020-03-14,36.0,36.0,1
2020-03-15,57.0,57.0,1
2020-03-16,55.0,55.0,1
2020-03-17,57.0,57.0,1
2020-03-18,71.0,71.0,1
2020-03-19,66.0,66.0,1
2020-03-20,66.0,66.0,1
2020-03-21,92.0,92.0,1
2020-03-22,64.0,64.0,1
2020-03-23,87.0,87.0,1
2020-03-24,60.0,60.0,1
2020-03-25,62.0,62.0,1
2020-03-26,58.0,58.0,1
2020-03-27,100.0,100.0,1
2020-03-28,85.0,85.0,1
2020-03-29,74.0,74.0,1
2020-03-30,66.0,66.0,1
2020-03-31,89.0,89.0,1
2020-04-01,50.0,50.0,1
2020-04-02,70.0,70.0,1
2020-04-03,64.0,64.0,1
2020-04-04,39.0,39.0,1
2020-04-05,49.0,49.0,1
2020-04-06,63.0,63.0,1
2020-04-07,55.0,55.0,1
2020-04-08,35.0,35.0,1
2020-04-09,57.0,57.0,1
2020-04-10,40.0,40.0,1
2020-04-11,50.0,50.0,1
2020-04-12,58.0,58.0,1
2020-04-13,46.0,46.0,1
2020-04-14,34.0,34.0,1
2020-04-15,37.0,37.0,1
2020-04-16,31.0,31.0,1
2020-04-17,43.0,43.0,1
2020-04-18,39.0,39.0,1
2020-04-19,25.0,25.0,1
2020-04-20,33.0,33.0,1
2020-04-21,27.0,27.0,1
2020-04-22,40.0,40.0,1
2020-04-23,29.0,29.0,1
2020-04-24,36.0,36.0,1
2020-04-25,27.0,27.0,1
2020-04-26,46.0,46.0,1
2020-04-27,29.0,29.0,1
2020-04-28,17.0,17.0,1
2020-04-29,25.0,25.0,1
2020-04-30,24.0,24.0,1
2020-05-01,25.0,25.0,1
2020-05-02,24.0,24.0,1
2020-05-03,31.0,31.0,1
2020-05-04,30.0,30.0,1
2020-05-05,24.0,24.0,1
2020-05-06,18.0,18.0,1
2020-05-07,38.0,38.0,1
2020-05-08,29.0,29.0,1
2020-05-09,32.0,32.0,1
2020-05-10,38.0,38.0,1
2020-05-11,28.0,28.0,1
2020-05-12,31.0,31.0,1
2020-05-13,14.0,14.0,1
2020-05-14,28.0,28.0,1
2020-05-15,33.0,33.0,1
2020-05-16,22.0,22.0,1
2020-05-17,56.0,56.0,1
2020-05-18,27.0,27.0,1
2020-05-19,25.0,25.0,1
2020-05-20,20.0,20.0,1
2020-05-21,11.0,11.0,1
2020-05-22,28.0,28.0,1
2020-05-23,14.0,14.0,1
2020-05-24,19.0,19.0,1
2020-05-25,15.0,15.0,1
2020-05-26,25.0,25.0,1
2020-05-27,32.0,32.0,1
2020-05-28,24.0,24.0,1
2020-05-29,20.0,20.0,1
2020-05-30,9.0,9.0,1
2020-05-31,21.0,21.0,1
2020-06-01,14.0,14.0,1
2020-06-02,17.0,17.0,1
2020-06-03,38.0,38.0,1
2020-06-04,35.0,35.0,1
2020-06-05,30.0,30.0,1
2020-06-06,9.0,9.0,1
2020-06-07,23.0,23.0,1
2020-06-08,25.0,25.0,1
2020-06-09,22.0,22.0,1
2020-06-10,13.0,13.0,1
2020-06-11,21.0,21.0,1
2020-06-12,27.0,27.0,1
2020-06-13,31.0,31.0,1
2020-06-14,12.0,12.0,1
2020-06-15,18.0,18.0,1
2020-06-16,18.0,18.0,1
2020-06-17,11.0,11.0,1
2020-06-18,19.0,19.0,1
2020-06-19,30.0,30.0,1
2020-06-20,10.0,10.0,1
2020-06-21,14.0,14.0,1
2020-06-22,16.0,16.0,1
2020-06-23,24.0,24.0,1
2020-06-24,24.0,24.0,1
2020-06-25,18.0,18.0,1
2020-06-26,10.0,10.0,1
2020-06-27,19.0,19.0,1
2020-06-28,15.0,15.0,1
2020-06-29,11.0,11.0,1
2020-06-30,11.0,11.0,1
2020-07-01,19.0,19.0,1
2020-07-02,13.0,13.0,1
2020-07-03,14.0,14.0,1
2020-07-04,22.0,22.0,1
2020-07-05,10.0,10.0,1
2020-07-06,11.0,11.0,1
2020-07-07,18.0,18.0,1
2020-07-08,20.0,20.0,1
2020-07-09,19.0,19.0,1
2020-07-10,9.0,9.0,1
2020-07-11,5.0,5.0,1
2020-07-12,17.0,17.0,1
2020-07-13,16.0,16.0,1
2020-07-14,22.0,22.0,1
2020-07-15,19.0,19.0,1
2020-07-16,19.0,19.0,1
2020-07-17,7.0,7.0,1
2020-07-18,27.0,27.0,1
2020-07-19,24.0,24.0,1
2020-07-20,11.0,11.0,1
2020-07-21,24.0,24.0,1
2020-07-22,29.0,29.0,1
2020-07-23,19.0,19.0,1
2020-07-24,16.0,16.0,1
2020-07-25,24.0,24.0,1
2020-07-26,30.0,30.0,1
2020-07-27,9.0,9.0,1
2020-07-28,13.0,13.0,1
2020-07-29,20.0,20.0,1
2020-07-30,21.0,21.0,1
2020-07-31,19.0,19.0,1
2020-08-01,23.0,23.0,1
2020-08-02,18.0,18.0,1
2020-08-03,12.0,12.0,1
2020-08-04,2.0,2.0,1
2020-08-05,14.0,14.0,1
2020-08-06,12.0,12.0,1
2020-08-07,26.0,26.0,1
2020-08-08,15.0,15.0,1
2020-08-09,33.0,33.0,1
2020-08-10,18.0,18.0,1
2020-08-11,25.0,25.0,1
2020-08-12,27.0,27.0,1
2020-08-13,18.0,18.0,1
2020-08-14,13.0,13.0,1
2020-08-15,18.0,18.0,1
2020-08-16,27.0,27.0,1
2020-08-17,12.0,12.0,1
2020-08-18,12.0,12.0,1
2020-08-19,5.0,5.0,1
2020-08-20,28.0,28.0,1
2020-08-21,35.0,35.0,1
2020-08-22,11.0,11.0,1
2020-08-23,17.0,17.0,1
2020-08-24,20.0,20.0,1
2020-08-25,16.0,16.0,1
2020-08-26,20.0,20.0,1
2020-08-27,15.0,15.0,1
2020-08-28,13.0,13.0,1
2020-08-29,15.0,15.0,1
2020-08-30,15.0,15.0,1
2020-08-31,26.0,26.0,1
2020-09-01,14.0,14.0,1
2020-09-02,22.0,22.0,1
2020-09-03,16.0,16.0,1
2020-09-04,10.0,10.0,1
2020-09-05,14.0,14.0,1
2020-09-06,26.0,26.0,1
2020-09-07,18.0,18.0,1
2020-09-08,25.0,25.0,1
2020-09-09,26.0,26.0,1
2020-09-10,18.0,18.0,1
2020-09-11,14.0,14.0,1
2020-09-12,14.0,14.0,1
2020-09-13,30.0,30.0,1
2020-09-14,29.0,29.0,1
2020-09-15,12.0,12.0,1
2020-09-16,17.0,17.0,1
2020-09-17,27.0,27.0,1
2020-09-18,18.0,18.0,1
2020-09-19,21.0,21.0,1
2020-09-20,23.0,23.0,1
2020-09-21,17.0,17.0,1
2020-09-22,21.0,21.0,1
2020-09-23,28.0,28.0,1
2020-09-24,17.0,17.0,1
2020-09-25,21.0,21.0,1
2020-09-26,10.0,10.0,1
2020-09-27,12.0,12.0,1
2020-09-28,6.0,6.0,1
2020-09-29,18.0,18.0,1
2020-09-30,29.0,29.0,1
2020-10-01,10.0,10.0,1
2020-10-02,27.0,27.0,1
2020-10-03,24.0,24.0,1
