date,/m/01b_06_0,/m/01b_06,batch_id
2020-08-05,21.0,21.0,1
2020-08-06,21.0,21.0,1
2020-08-07,20.0,20.0,1
2020-08-08,19.0,19.0,1
2020-08-09,20.0,20.0,1
2020-08-10,20.0,20.0,1
2020-08-11,19.0,19.0,1
2020-08-12,20.0,20.0,1
2020-08-13,18.0,18.0,1
2020-08-14,18.0,18.0,1
2020-08-15,20.0,20.0,1
2020-08-16,22.0,22.0,1
2020-08-17,24.0,24.0,1
2020-08-18,22.0,22.0,1
2020-08-19,23.0,23.0,1
2020-08-20,25.0,25.0,1
2020-08-21,22.0,22.0,1
2020-08-22,21.0,21.0,1
2020-08-23,24.0,24.0,1
2020-08-24,22.0,22.0,1
2020-08-25,26.0,26.0,1
2020-08-26,23.0,23.0,1
2020-08-27,22.0,22.0,1
2020-08-28,22.0,22.0,1
2020-08-29,28.0,28.0,1
2020-08-30,30.0,30.0,1
2020-08-31,29.0,29.0,1
2020-09-01,30.0,30.0,1
2020-09-02,30.0,30.0,1
2020-09-03,30.0,30.0,1
2020-09-04,28.0,28.0,1
2020-09-05,27.0,27.0,1
2020-09-06,29.0,29.0,1
2020-09-07,34.0,34.0,1
2020-09-08,31.0,31.0,1
2020-09-09,29.0,29.0,1
2020-09-10,27.0,27.0,1
2020-09-11,29.0,29.0,1
2020-09-12,30.0,30.0,1
2020-09-13,30.0,30.0,1
2020-09-14,34.0,34.0,1
2020-09-15,30.0,30.0,1
2020-09-16,31.0,31.0,1
2020-09-17,33.0,33.0,1
2020-09-18,27.0,27.0,1
2020-09-19,29.0,29.0,1
2020-09-20,37.0,37.0,1
2020-09-21,33.0,33.0,1
2020-09-22,31.0,31.0,1
2020-09-23,29.0,29.0,1
2020-09-24,32.0,32.0,1
2020-09-25,29.0,29.0,1
2020-09-26,26.0,26.0,1
2020-09-27,27.0,27.0,1
2020-09-28,34.0,34.0,1
2020-09-29,30.0,30.0,1
2020-09-30,29.0,29.0,1
2020-10-01,28.0,28.0,1
2020-10-02,32.0,32.0,1
2020-10-03,28.0,28.0,1
2020-10-04,29.0,29.0,1
2020-10-05,32.0,32.0,1
2020-10-06,33.0,33.0,1
2020-10-07,31.0,31.0,1
2020-10-08,31.0,31.0,1
2020-10-09,29.0,29.0,1
2020-10-10,29.0,29.0,1
2020-10-11,29.0,29.0,1
2020-10-12,31.0,31.0,1
2020-10-13,32.0,32.0,1
2020-10-14,31.0,31.0,1
2020-10-15,34.0,34.0,1
2020-10-16,33.0,33.0,1
2020-10-17,29.0,29.0,1
2020-10-18,36.0,36.0,1
2020-10-19,34.0,34.0,1
2020-10-20,37.0,37.0,1
2020-10-21,36.0,36.0,1
2020-10-22,39.0,39.0,1
2020-10-23,36.0,36.0,1
2020-10-24,39.0,39.0,1
2020-10-25,38.0,38.0,1
2020-10-26,39.0,39.0,1
2020-10-27,38.0,38.0,1
2020-09-28,72.0,72.0,2
2020-09-29,73.0,73.0,2
2020-09-30,67.0,67.0,2
2020-10-01,65.0,65.0,2
2020-10-02,73.0,73.0,2
2020-10-03,68.0,68.0,2
2020-10-04,64.0,64.0,2
2020-10-05,83.0,83.0,2
2020-10-06,78.0,78.0,2
2020-10-07,71.0,71.0,2
2020-10-08,83.0,83.0,2
2020-10-09,66.0,66.0,2
2020-10-10,72.0,72.0,2
2020-10-11,76.0,76.0,2
2020-10-12,81.0,81.0,2
2020-10-13,76.0,76.0,2
2020-10-14,76.0,76.0,2
2020-10-15,79.0,79.0,2
2020-10-16,74.0,74.0,2
2020-10-17,78.0,78.0,2
2020-10-18,88.0,88.0,2
2020-10-19,91.0,91.0,2
2020-10-20,87.0,87.0,2
2020-10-21,84.0,84.0,2
2020-10-22,98.0,98.0,2
2020-10-23,85.0,85.0,2
2020-10-24,95.0,95.0,2
2020-10-25,92.0,92.0,2
2020-10-26,94.0,94.0,2
2020-10-27,92.0,92.0,2
2020-10-28,89.0,89.0,2
2020-10-29,83.0,83.0,2
2020-10-30,83.0,83.0,2
2020-10-31,80.0,80.0,2
2020-11-01,89.0,89.0,2
2020-11-02,100.0,100.0,2
2020-11-03,89.0,89.0,2
2020-11-04,71.0,71.0,2
2020-11-05,72.0,72.0,2
2020-11-06,69.0,69.0,2
2020-11-07,71.0,71.0,2
2020-11-08,78.0,78.0,2
2020-11-09,89.0,89.0,2
2020-11-10,87.0,87.0,2
2020-11-11,81.0,81.0,2
2020-11-12,84.0,84.0,2
2020-11-13,86.0,86.0,2
2020-11-14,77.0,77.0,2
2020-11-15,85.0,85.0,2
2020-11-16,90.0,90.0,2
2020-11-17,84.0,84.0,2
2020-11-18,75.0,75.0,2
2020-11-19,75.0,75.0,2
2020-11-20,72.0,72.0,2
2020-11-21,71.0,71.0,2
2020-11-22,82.0,82.0,2
2020-11-23,83.0,83.0,2
2020-11-24,72.0,72.0,2
2020-11-25,62.0,62.0,2
2020-11-26,70.0,70.0,2
2020-11-27,64.0,64.0,2
2020-11-28,63.0,63.0,2
2020-11-29,68.0,68.0,2
2020-11-30,70.0,70.0,2
2020-12-01,72.0,72.0,2
2020-12-02,68.0,68.0,2
2020-12-03,73.0,73.0,2
2020-12-04,76.0,76.0,2
2020-12-05,68.0,68.0,2
2020-12-06,71.0,71.0,2
2020-12-07,78.0,78.0,2
2020-12-08,76.0,76.0,2
2020-12-09,80.0,80.0,2
2020-12-10,82.0,82.0,2
2020-12-11,73.0,73.0,2
2020-12-12,72.0,72.0,2
2020-12-13,68.0,68.0,2
2020-12-14,72.0,72.0,2
2020-12-15,85.0,85.0,2
2020-12-16,78.0,78.0,2
2020-12-17,86.0,86.0,2
2020-12-18,76.0,76.0,2
2020-12-19,76.0,76.0,2
2020-12-20,83.0,83.0,2
2020-12-21,82.0,82.0,2
2020-12-22,79.0,79.0,2
2020-12-23,84.0,84.0,2
2020-12-24,69.0,69.0,2
2020-12-25,75.0,75.0,2
2020-12-26,73.0,73.0,2
2020-12-27,72.0,72.0,2
2020-12-28,66.0,66.0,2
2020-12-29,74.0,74.0,2
2020-12-30,68.0,68.0,2
2020-12-31,54.0,54.0,2
2021-01-01,81.0,81.0,2
2021-01-02,75.0,75.0,2
2021-01-03,76.0,76.0,2
2021-01-04,69.0,69.0,2
