date,/m/0405g08_0,/m/0405g08,batch_id
2020-08-05,48.0,48.0,1
2020-08-06,35.0,35.0,1
2020-08-07,27.0,27.0,1
2020-08-08,21.0,21.0,1
2020-08-09,43.0,43.0,1
2020-08-10,32.0,32.0,1
2020-08-11,32.0,32.0,1
2020-08-12,18.0,18.0,1
2020-08-13,27.0,27.0,1
2020-08-14,14.0,14.0,1
2020-08-15,59.0,59.0,1
2020-08-16,27.0,27.0,1
2020-08-17,40.0,40.0,1
2020-08-18,39.0,39.0,1
2020-08-19,13.0,13.0,1
2020-08-20,14.0,14.0,1
2020-08-21,9.0,9.0,1
2020-08-22,31.0,31.0,1
2020-08-23,25.0,25.0,1
2020-08-24,25.0,25.0,1
2020-08-25,40.0,40.0,1
2020-08-26,8.0,8.0,1
2020-08-27,31.0,31.0,1
2020-08-28,32.0,32.0,1
2020-08-29,27.0,27.0,1
2020-08-30,27.0,27.0,1
2020-08-31,37.0,37.0,1
2020-09-01,22.0,22.0,1
2020-09-02,29.0,29.0,1
2020-09-03,33.0,33.0,1
2020-09-04,19.0,19.0,1
2020-09-05,34.0,34.0,1
2020-09-06,30.0,30.0,1
2020-09-07,35.0,35.0,1
2020-09-08,14.0,14.0,1
2020-09-09,35.0,35.0,1
2020-09-10,25.0,25.0,1
2020-09-11,29.0,29.0,1
2020-09-12,34.0,34.0,1
2020-09-13,13.0,13.0,1
2020-09-14,25.0,25.0,1
2020-09-15,28.0,28.0,1
2020-09-16,24.0,24.0,1
2020-09-17,28.0,28.0,1
2020-09-18,36.0,36.0,1
2020-09-19,29.0,29.0,1
2020-09-20,53.0,53.0,1
2020-09-21,14.0,14.0,1
2020-09-22,10.0,10.0,1
2020-09-23,30.0,30.0,1
2020-09-24,45.0,45.0,1
2020-09-25,26.0,26.0,1
2020-09-26,18.0,18.0,1
2020-09-27,30.0,30.0,1
2020-09-28,22.0,22.0,1
2020-09-29,11.0,11.0,1
2020-09-30,32.0,32.0,1
2020-10-01,18.0,18.0,1
2020-10-02,26.0,26.0,1
2020-10-03,35.0,35.0,1
2020-10-04,25.0,25.0,1
2020-10-05,25.0,25.0,1
2020-10-06,7.0,7.0,1
2020-10-07,22.0,22.0,1
2020-10-08,25.0,25.0,1
2020-10-09,20.0,20.0,1
2020-10-10,46.0,46.0,1
2020-10-11,26.0,26.0,1
2020-10-12,38.0,38.0,1
2020-10-13,26.0,26.0,1
2020-10-14,15.0,15.0,1
2020-10-15,27.0,27.0,1
2020-10-16,37.0,37.0,1
2020-10-17,19.0,19.0,1
2020-10-18,44.0,44.0,1
2020-10-19,20.0,20.0,1
2020-10-20,35.0,35.0,1
2020-10-21,43.0,43.0,1
2020-10-22,36.0,36.0,1
2020-10-23,33.0,33.0,1
2020-10-24,37.0,37.0,1
2020-10-25,19.0,19.0,1
2020-10-26,44.0,44.0,1
2020-10-27,27.0,27.0,1
2020-09-28,27.0,27.0,2
2020-09-29,38.0,38.0,2
2020-09-30,16.0,16.0,2
2020-10-01,27.0,27.0,2
2020-10-02,45.0,45.0,2
2020-10-03,33.0,33.0,2
2020-10-04,44.0,44.0,2
2020-10-05,71.0,71.0,2
2020-10-06,39.0,39.0,2
2020-10-07,50.0,50.0,2
2020-10-08,44.0,44.0,2
2020-10-09,24.0,24.0,2
