,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-06,22.0,0.0,0.0,0.0,0.0,0.0,30.0,28.0,0.0,0.0,0.0,0.0,32.142857142857146,0.0,0.0,21.0,24.0,0.0,0.0,0.0,11.731735820370561
2020-10-07,42.0,22.0,0.0,27.0,31.0,0.0,0.0,55.0,26.0,23.0,18.0,34.523809523809526,32.142857142857146,0.0,18.0,43.0,47.0,52.0,27.0,0.0,37.1540518359675
2020-10-08,22.0,23.0,0.0,0.0,32.0,30.0,0.0,29.0,0.0,49.0,0.0,75.0,32.142857142857146,0.0,19.0,22.0,25.0,27.0,29.0,0.0,30.918456493867502
2020-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,27.0,0.0,30.0,38.297872340425535,11.593995711222304
2020-10-10,0.0,0.0,28.0,33.0,76.0,71.0,0.0,34.0,64.0,29.0,45.0,42.857142857142854,38.095238095238095,32.0,0.0,0.0,29.0,32.0,0.0,0.0,41.356146302536594
2020-10-11,0.0,24.0,26.0,61.0,0.0,0.0,33.0,31.0,30.0,26.0,41.0,0.0,0.0,0.0,20.0,24.0,0.0,58.0,30.0,38.297872340425535,33.02041140497181
2020-10-12,23.0,24.0,0.0,0.0,67.0,0.0,64.0,29.0,28.0,25.0,0.0,0.0,33.333333333333336,0.0,0.0,23.0,25.0,28.0,0.0,0.0,27.57313424933154
2020-10-13,0.0,0.0,25.0,59.0,0.0,62.0,32.0,61.0,29.0,0.0,20.0,77.38095238095238,33.333333333333336,58.0,20.0,23.0,0.0,28.0,0.0,38.297872340425535,42.2564870599181
2020-10-14,0.0,0.0,0.0,29.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,0.0,0.0,37.234042553191486,10.842665395917722
2020-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-16,25.0,25.0,0.0,31.0,36.0,0.0,34.0,32.0,30.0,0.0,0.0,40.476190476190474,0.0,31.0,42.0,25.0,27.0,30.0,0.0,0.0,30.49540299004202
2020-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,26.0,0.0,0.0,33.0,0.0,7.604297854476555
