,/g/1213j0cz_0,/g/1213j0cz_1,/g/1213j0cz_2,/g/1213j0cz_3,/g/1213j0cz_4,/g/1213j0cz_5,/g/1213j0cz_6,/g/1213j0cz_7,/g/1213j0cz_8,/g/1213j0cz_9,/g/1213j0cz_10,/g/1213j0cz_11,/g/1213j0cz_12,/g/1213j0cz_13,/g/1213j0cz_14,/g/1213j0cz_15,/g/1213j0cz_16,/g/1213j0cz_17,/g/1213j0cz_18,/g/1213j0cz_19,/g/1213j0cz
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-06,29.0,29.0,0.0,0.0,21.0,33.0,0.0,59.0,43.0,65.33333333333333,29.0,50.0,67.0,40.0,47.0,0.0,28.395061728395063,0.0,95.0,0.0,51.93461199674392
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,44.0,32.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.437031499651924
2020-10-08,0.0,0.0,26.0,0.0,0.0,36.0,0.0,0.0,46.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,24.0,34.0,0.0,16.50200259235492
2020-10-09,0.0,0.0,28.0,0.0,0.0,39.0,0.0,34.0,50.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.521685606670468
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,51.0,38.666666666666664,34.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,44.57831325301205,18.482649728424878
2020-10-11,68.0,100.0,28.0,0.0,25.0,39.0,0.0,0.0,50.0,0.0,33.0,0.0,39.0,47.0,27.0,40.0,100.0,26.0,36.0,86.74698795180723,60.8406768605408
2020-10-12,32.0,31.0,26.0,0.0,24.0,37.0,0.0,0.0,0.0,0.0,0.0,28.0,37.0,0.0,0.0,0.0,32.098765432098766,0.0,35.0,0.0,23.045517616141662
2020-10-13,64.0,31.0,26.0,35.0,24.0,0.0,28.0,97.0,95.0,70.66666666666667,32.0,0.0,36.0,44.0,52.0,38.0,32.098765432098766,49.0,34.0,42.16867469879518,67.79987515770847
2020-10-14,31.0,60.0,75.0,33.0,0.0,0.0,80.0,31.0,0.0,68.0,0.0,26.0,69.0,42.0,99.0,36.0,29.62962962962963,23.0,65.0,79.51807228915662,69.20610679787785
2020-10-15,33.0,32.0,0.0,35.0,0.0,37.0,0.0,33.0,0.0,0.0,32.0,28.0,0.0,0.0,26.0,38.0,0.0,0.0,68.0,0.0,29.572895734814264
2020-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-17,0.0,34.0,28.0,76.0,79.0,82.0,61.0,36.0,53.0,38.666666666666664,69.0,30.0,81.0,49.0,28.0,0.0,0.0,27.0,38.0,0.0,66.14416550632029
2020-10-18,73.0,35.0,29.0,0.0,0.0,83.0,31.0,0.0,53.0,81.33333333333333,0.0,31.0,42.0,100.0,29.0,43.0,0.0,27.0,39.0,46.98795180722892,60.724206803674
2020-10-19,0.0,31.0,26.0,35.0,0.0,0.0,0.0,0.0,0.0,36.0,32.0,0.0,37.0,0.0,0.0,0.0,0.0,24.0,35.0,0.0,20.913429027934946
