date,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751,batch_id
2020-01-01,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9063444108761329,0
2020-01-02,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7049345417925479,0
2020-01-03,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4028197381671702,0
2020-01-04,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7049345417925479,0
2020-01-05,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0070493454179255,0
2020-01-06,4.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,2.2155085599194364,0
2020-01-07,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6042296072507553,0
2020-01-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10070493454179255,0
2020-01-09,0.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.2084592145015105,0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-11,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.9063444108761329,0
2020-01-12,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6042296072507553,0
2020-01-13,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.1077542799597182,0
2020-01-14,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4028197381671702,0
2020-01-15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5035246727089627,0
2020-01-16,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.8056394763343404,0
2020-01-17,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3021148036253776,0
2020-01-18,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1.2084592145015105,0
2020-01-19,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.2084592145015105,0
2020-01-20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.7049345417925479,0
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10070493454179255,0
2020-01-22,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8056394763343404,0
2020-01-23,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.2084592145015105,0
2020-01-24,6.0,5.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,3.7260825780463245,0
2020-01-25,6.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,6.0,6.445115810674723,0
2020-01-26,5.0,3.0,3.0,6.0,6.0,3.0,1.0,2.0,4.0,5.0,3.826787512588117,0
2020-01-27,5.0,4.0,6.0,4.0,5.0,11.0,4.0,3.0,3.0,6.0,5.135951661631419,0
2020-01-28,8.0,8.0,7.0,8.0,7.0,8.0,6.0,10.0,9.0,6.0,7.754279959718026,0
2020-01-29,7.0,4.0,5.0,6.0,6.0,7.0,9.0,8.0,8.0,6.0,6.646525679758309,0
2020-01-30,8.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,6.0,5.337361530715005,0
2020-01-31,13.0,9.0,5.0,7.0,8.0,5.0,8.0,7.0,9.0,7.0,7.854984894259819,0
2020-02-01,10.0,7.0,5.0,8.0,8.0,11.0,9.0,5.0,4.0,7.0,7.452165156092649,0
2020-02-02,4.0,10.0,4.0,6.0,5.0,7.0,6.0,4.0,7.0,4.0,5.740181268882175,0
2020-02-03,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,2.5176233635448138,0
