date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-01-29,30.0,6.0,5.0,17.0,6.0,5.0,37.0,24.0,20.0,16.0,30.0,30.0,34.0,26.0,13.0,30.0,27.0,26.0,14.0,22.0,22.594594594594593
2020-01-30,38.0,19.0,29.0,17.0,24.0,19.0,31.0,12.0,21.0,22.0,18.0,13.0,24.0,39.0,32.0,12.0,23.0,0.0,14.0,17.0,22.91891891891892
2020-01-31,7.0,26.0,26.0,18.0,12.0,20.0,39.0,26.0,10.0,17.0,13.0,13.0,12.0,20.0,14.0,6.0,12.0,12.0,43.0,0.0,18.702702702702698
2020-02-01,33.0,13.0,0.0,6.0,6.0,10.0,24.0,7.0,14.0,17.0,20.0,6.0,6.0,14.0,21.0,19.0,12.0,11.0,15.0,12.0,14.378378378378383
2020-02-02,7.0,7.0,0.0,0.0,12.0,5.0,8.0,20.0,7.0,17.0,19.0,20.0,19.0,7.0,34.0,7.0,6.0,17.0,15.0,6.0,12.594594594594595
2020-02-03,11.0,0.0,4.0,10.0,5.0,17.0,7.0,11.0,6.0,14.0,5.0,11.0,15.0,6.0,0.0,11.0,5.0,5.0,6.0,10.0,8.594594594594595
2020-02-04,25.0,6.0,0.0,11.0,29.0,9.0,22.0,24.0,13.0,10.0,6.0,12.0,17.0,19.0,13.0,0.0,6.0,0.0,0.0,23.0,13.243243243243244
2020-02-05,0.0,6.0,5.0,11.0,6.0,0.0,15.0,6.0,17.0,5.0,6.0,0.0,6.0,25.0,13.0,6.0,0.0,11.0,27.0,17.0,9.83783783783784
2020-02-06,13.0,0.0,10.0,6.0,0.0,14.0,8.0,13.0,17.0,16.0,19.0,12.0,6.0,20.0,7.0,12.0,11.0,17.0,7.0,18.0,12.216216216216214
2020-02-07,7.0,6.0,0.0,12.0,12.0,0.0,24.0,0.0,7.0,11.0,13.0,13.0,0.0,7.0,14.0,6.0,0.0,11.0,22.0,18.0,9.891891891891893
2020-02-08,20.0,13.0,5.0,6.0,19.0,15.0,8.0,27.0,7.0,18.0,13.0,13.0,13.0,14.0,21.0,13.0,18.0,12.0,15.0,12.0,15.243243243243244
2020-02-09,13.0,7.0,5.0,19.0,19.0,10.0,16.0,20.0,18.0,6.0,19.0,0.0,19.0,7.0,7.0,13.0,12.0,12.0,15.0,6.0,13.135135135135135
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.351351351351351
2020-02-11,6.0,12.0,0.0,6.0,0.0,5.0,7.0,6.0,0.0,0.0,0.0,18.0,6.0,6.0,0.0,0.0,22.0,5.0,14.0,6.0,6.4324324324324325
2020-02-12,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,21.0,5.0,12.0,13.0,6.0,7.0,0.0,0.0,0.0,5.0,0.0,6.0,4.864864864864865
2020-02-13,6.0,0.0,5.0,0.0,0.0,0.0,8.0,6.0,7.0,0.0,0.0,0.0,6.0,0.0,7.0,6.0,6.0,5.0,0.0,0.0,3.3513513513513518
2020-02-14,6.0,6.0,0.0,0.0,6.0,5.0,8.0,6.0,20.0,6.0,6.0,0.0,6.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,5.081081081081081
2020-02-15,14.0,7.0,16.0,19.0,13.0,16.0,8.0,35.0,22.0,24.0,0.0,0.0,39.0,22.0,29.0,27.0,6.0,18.0,23.0,0.0,18.270270270270267
2020-02-16,0.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,14.0,5.0,12.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2432432432432434
2020-02-17,12.0,0.0,9.0,11.0,0.0,13.0,7.0,12.0,16.0,0.0,0.0,0.0,6.0,18.0,12.0,12.0,0.0,15.0,26.0,5.0,9.405405405405405
2020-02-18,0.0,0.0,5.0,6.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,5.0,6.0,0.0,12.0,5.0,0.0,7.0,0.0,3.72972972972973
2020-02-19,0.0,0.0,5.0,6.0,0.0,5.0,0.0,0.0,7.0,10.0,6.0,6.0,6.0,6.0,6.0,0.0,5.0,5.0,7.0,6.0,4.648648648648648
2020-02-20,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,1.5135135135135136
