,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-01-29,23.0,26.0,23.0,29.0,0.0,30.0,22.0,31.0,35.0,19.0,11.0,32.0,42.0,13.0,25.0,19.0,39.0,24.0,10.0,13.0,29.606099110546378
2020-01-30,0.0,40.0,23.0,0.0,33.0,20.0,22.0,32.0,24.0,10.0,12.0,33.0,0.0,27.0,26.0,20.0,10.0,25.0,20.0,13.0,24.777636594663278
2020-01-31,24.0,0.0,25.0,11.0,12.0,11.0,0.0,0.0,0.0,0.0,25.0,23.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,8.958068614993646
2020-02-01,0.0,0.0,13.0,11.0,0.0,11.0,12.0,0.0,0.0,11.0,0.0,0.0,12.0,15.0,0.0,21.0,0.0,13.0,11.0,0.0,8.259212198221093
2020-02-02,13.0,73.0,0.0,34.0,73.0,22.0,25.0,35.0,52.0,33.0,13.0,37.0,12.0,61.0,28.0,11.0,22.0,54.0,11.0,74.0,43.39263024142313
2020-02-03,11.0,0.0,22.0,9.0,10.0,28.0,21.0,20.0,11.0,18.0,0.0,10.0,10.0,13.0,8.0,9.0,18.0,0.0,9.0,0.0,14.421855146124523
2020-02-04,0.0,0.0,35.0,20.0,22.0,10.0,0.0,21.0,0.0,20.0,0.0,11.0,33.0,27.0,9.0,0.0,0.0,0.0,10.0,0.0,13.850063532401524
2020-02-05,12.0,27.0,24.0,20.0,34.0,41.0,23.0,32.0,36.0,20.0,0.0,34.0,22.0,0.0,17.0,10.0,20.0,12.0,21.0,41.0,28.335451080050824
2020-02-06,24.0,0.0,37.0,10.0,11.0,21.0,35.0,0.0,0.0,10.0,0.0,0.0,22.0,14.0,9.0,0.0,10.0,25.0,21.0,0.0,15.819567979669632
2020-02-07,37.0,14.0,38.0,21.0,12.0,22.0,36.0,34.0,25.0,21.0,37.0,36.0,12.0,29.0,18.0,31.0,0.0,13.0,22.0,14.0,29.987293519695044
2020-02-08,39.0,15.0,13.0,23.0,38.0,23.0,0.0,12.0,13.0,11.0,27.0,25.0,0.0,0.0,0.0,0.0,22.0,28.0,0.0,31.0,20.330368487928844
2020-02-09,26.0,15.0,13.0,23.0,12.0,12.0,0.0,12.0,13.0,22.0,13.0,0.0,24.0,16.0,10.0,11.0,22.0,0.0,34.0,15.0,18.614993646759846
2020-02-10,0.0,13.0,35.0,10.0,11.0,10.0,11.0,21.0,12.0,0.0,23.0,11.0,11.0,0.0,8.0,10.0,20.0,24.0,10.0,13.0,16.07369758576874
2020-02-11,11.0,39.0,23.0,10.0,21.0,20.0,22.0,31.0,35.0,19.0,23.0,11.0,21.0,0.0,16.0,0.0,20.0,0.0,20.0,0.0,21.728081321473955
2020-02-12,12.0,27.0,0.0,10.0,22.0,11.0,34.0,11.0,0.0,0.0,36.0,34.0,22.0,14.0,9.0,0.0,20.0,13.0,21.0,41.0,21.410419313850067
2020-02-13,12.0,14.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,22.0,14.0,9.0,0.0,10.0,13.0,21.0,0.0,11.626429479034307
2020-02-14,25.0,0.0,13.0,11.0,23.0,0.0,24.0,11.0,25.0,10.0,12.0,24.0,12.0,15.0,9.0,10.0,21.0,13.0,11.0,14.0,17.97966963151207
2020-02-15,55.0,47.0,0.0,59.0,26.0,12.0,53.0,38.0,56.0,23.0,41.0,52.0,26.0,49.0,49.0,23.0,35.0,71.0,36.0,32.0,49.74587039390089
2020-02-16,27.0,45.0,41.0,0.0,25.0,23.0,0.0,12.0,26.0,0.0,27.0,25.0,25.0,47.0,39.0,22.0,11.0,0.0,35.0,15.0,28.27191867852605
2020-02-17,23.0,13.0,11.0,40.0,32.0,10.0,11.0,10.0,12.0,10.0,34.0,22.0,11.0,13.0,17.0,29.0,10.0,24.0,0.0,0.0,21.092757306226176
2020-02-18,35.0,65.0,23.0,30.0,43.0,20.0,22.0,32.0,71.0,29.0,23.0,44.0,32.0,41.0,8.0,39.0,20.0,60.0,10.0,26.0,42.757306226175345
2020-02-19,12.0,13.0,24.0,10.0,11.0,10.0,11.0,11.0,12.0,20.0,23.0,11.0,0.0,27.0,17.0,20.0,30.0,0.0,30.0,27.0,20.266836086404066
2020-02-20,24.0,0.0,73.0,0.0,0.0,11.0,23.0,11.0,12.0,21.0,0.0,23.0,11.0,0.0,9.0,20.0,21.0,38.0,74.0,28.0,25.349428208386275
2020-02-21,24.0,41.0,37.0,11.0,34.0,42.0,34.0,33.0,37.0,10.0,85.0,12.0,22.0,29.0,17.0,10.0,20.0,62.0,21.0,55.0,40.406607369758575
2020-02-22,40.0,45.0,0.0,45.0,25.0,23.0,63.0,24.0,13.0,11.0,66.0,12.0,24.0,31.0,29.0,55.0,33.0,27.0,11.0,45.0,39.51715374841169
2020-02-23,13.0,0.0,39.0,0.0,24.0,11.0,12.0,12.0,26.0,11.0,26.0,25.0,0.0,44.0,0.0,32.0,11.0,13.0,0.0,59.0,22.74459974587039
2020-02-24,34.0,51.0,34.0,10.0,53.0,30.0,11.0,21.0,47.0,58.0,34.0,32.0,31.0,27.0,25.0,9.0,28.0,35.0,10.0,26.0,38.50063532401525
2020-02-25,11.0,12.0,11.0,10.0,10.0,0.0,10.0,10.0,33.0,9.0,11.0,20.0,30.0,39.0,16.0,18.0,18.0,34.0,19.0,0.0,20.393900889453622
2020-02-26,31.0,12.0,10.0,9.0,20.0,9.0,0.0,19.0,11.0,0.0,10.0,10.0,19.0,12.0,7.0,9.0,18.0,0.0,18.0,12.0,14.993646759847522
2020-02-27,42.0,24.0,32.0,36.0,10.0,37.0,41.0,29.0,22.0,9.0,21.0,30.0,0.0,74.0,15.0,44.0,18.0,22.0,9.0,24.0,34.243964421855146
2020-02-28,22.0,0.0,11.0,10.0,32.0,20.0,0.0,31.0,0.0,0.0,23.0,32.0,0.0,40.0,25.0,0.0,0.0,0.0,10.0,13.0,17.090216010165182
2020-02-29,12.0,27.0,12.0,10.0,11.0,0.0,23.0,11.0,48.0,30.0,24.0,22.0,22.0,28.0,26.0,20.0,0.0,25.0,10.0,27.0,24.650571791613718
2020-03-01,23.0,26.0,35.0,20.0,11.0,0.0,22.0,11.0,23.0,10.0,12.0,0.0,32.0,14.0,17.0,29.0,20.0,0.0,20.0,13.0,21.473951715374838
2020-03-02,61.0,46.0,11.0,36.0,49.0,37.0,30.0,38.0,52.0,53.0,53.0,20.0,29.0,36.0,22.0,52.0,53.0,22.0,27.0,36.0,48.47522236340534
2020-03-03,0.0,0.0,11.0,18.0,0.0,9.0,21.0,0.0,32.0,0.0,11.0,0.0,10.0,12.0,31.0,0.0,27.0,0.0,18.0,0.0,12.706480304955527
2020-03-04,31.0,0.0,0.0,9.0,20.0,0.0,10.0,29.0,10.0,9.0,21.0,30.0,20.0,37.0,8.0,17.0,27.0,33.0,36.0,12.0,22.80813214739517
2020-03-05,22.0,61.0,0.0,9.0,41.0,29.0,31.0,50.0,33.0,9.0,0.0,31.0,10.0,13.0,16.0,9.0,37.0,34.0,0.0,38.0,30.050825921219822
2020-03-06,0.0,12.0,33.0,0.0,10.0,0.0,10.0,39.0,11.0,9.0,11.0,10.0,0.0,0.0,16.0,9.0,9.0,22.0,29.0,25.0,16.200762388818298
2020-03-07,37.0,28.0,12.0,21.0,23.0,0.0,24.0,11.0,0.0,21.0,25.0,0.0,35.0,29.0,27.0,31.0,11.0,26.0,11.0,28.0,25.412960609911053
2020-03-08,0.0,14.0,12.0,11.0,23.0,11.0,12.0,11.0,0.0,10.0,0.0,12.0,0.0,14.0,9.0,0.0,10.0,13.0,0.0,0.0,10.292249047013977
2020-03-09,31.0,72.0,64.0,28.0,10.0,46.0,60.0,39.0,32.0,9.0,32.0,40.0,30.0,12.0,0.0,18.0,18.0,22.0,37.0,12.0,38.88182973316391
2020-03-10,44.0,0.0,34.0,10.0,32.0,10.0,11.0,10.0,34.0,9.0,45.0,21.0,21.0,0.0,25.0,19.0,9.0,23.0,19.0,13.0,24.7141041931385
2020-03-11,55.0,87.0,11.0,39.0,42.0,49.0,53.0,20.0,68.0,66.0,45.0,52.0,62.0,65.0,48.0,46.0,28.0,47.0,0.0,38.0,58.5133418043202
2020-03-12,65.0,61.0,21.0,37.0,60.0,38.0,21.0,49.0,33.0,18.0,43.0,20.0,70.0,51.0,55.0,45.0,18.0,45.0,9.0,37.0,50.57179161372299
2020-03-13,46.0,13.0,35.0,20.0,55.0,41.0,67.0,11.0,36.0,49.0,23.0,33.0,43.0,54.0,33.0,49.0,39.0,37.0,10.0,13.0,44.91740787801779
2020-03-14,37.0,55.0,100.0,43.0,23.0,11.0,35.0,56.0,25.0,32.0,87.0,72.0,46.0,44.0,45.0,31.0,21.0,65.0,32.0,56.0,58.19567979669631
2020-03-15,11.0,37.0,44.0,38.0,41.0,38.0,21.0,30.0,33.0,47.0,55.0,31.0,0.0,38.0,24.0,45.0,19.0,46.0,19.0,63.0,43.20203303684879
2020-03-16,66.0,32.0,68.0,42.0,62.0,17.0,55.0,18.0,29.0,24.0,28.0,73.0,36.0,57.0,49.0,40.0,41.0,50.0,66.0,77.0,59.0851334180432
2020-03-17,48.0,33.0,80.0,26.0,37.0,51.0,28.0,36.0,50.0,17.0,10.0,28.0,27.0,46.0,43.0,50.0,25.0,10.0,68.0,45.0,48.15756035578145
2020-03-18,42.0,48.0,43.0,36.0,30.0,37.0,20.0,38.0,54.0,9.0,31.0,30.0,10.0,25.0,0.0,45.0,36.0,56.0,37.0,48.0,42.8843710292249
2020-03-19,21.0,97.0,33.0,28.0,62.0,28.0,82.0,49.0,88.0,28.0,54.0,62.0,71.0,100.0,39.0,54.0,46.0,78.0,56.0,73.0,72.9987293519695
2020-03-20,82.0,24.0,63.0,36.0,49.0,36.0,50.0,47.0,42.0,44.0,31.0,49.0,58.0,97.0,30.0,69.0,36.0,43.0,100.0,83.0,67.91613722998729
