date,/g/1213j0cz_0,/g/1213j0cz_1,/g/1213j0cz_2,/g/1213j0cz_3,/g/1213j0cz_4,/g/1213j0cz_5,/g/1213j0cz_6,/g/1213j0cz_7,/g/1213j0cz_8,/g/1213j0cz_9,/g/1213j0cz_10,/g/1213j0cz_11,/g/1213j0cz_12,/g/1213j0cz_13,/g/1213j0cz_14,/g/1213j0cz_15,/g/1213j0cz_16,/g/1213j0cz_17,/g/1213j0cz_18,/g/1213j0cz_19,/g/1213j0cz
2020-01-29,0.0,0.0,0.0,0.0,13.0,8.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,14.0,4.606060606060606
2020-01-30,9.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,14.0,4.0
2020-01-31,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0,0.0,12.0,8.0,0.0,30.0,6.909090909090909
2020-02-01,0.0,0.0,0.0,13.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.696969696969697
2020-02-02,0.0,9.0,0.0,12.0,0.0,0.0,11.0,11.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,6.7272727272727275
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,8.0,10.0,23.0,26.0,0.0,0.0,10.0,11.0,20.0,9.0,10.0,0.0,0.0,16.0,22.0,0.0,0.0,18.0,21.0,12.363636363636362
2020-02-05,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,14.0,3.212121212121212
2020-02-06,9.0,9.0,21.0,0.0,14.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,14.0,9.0,11.0,12.0,0.0,19.0,15.0,9.272727272727273
2020-02-07,9.0,0.0,22.0,24.0,14.0,0.0,21.0,0.0,12.0,0.0,10.0,11.0,0.0,14.0,9.0,0.0,12.0,0.0,0.0,0.0,9.575757575757576
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,8.0,0.0,0.0,14.0,0.0,0.0,10.0,11.0,10.0,9.0,0.0,0.0,13.0,0.0,11.0,12.0,0.0,0.0,0.0,5.93939393939394
2020-02-10,0.0,8.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362
2020-02-11,8.0,8.0,20.0,0.0,0.0,8.0,19.0,10.0,11.0,20.0,9.0,10.0,13.0,0.0,8.0,11.0,11.0,7.0,0.0,14.0,11.333333333333334
2020-02-12,8.0,0.0,0.0,11.0,0.0,0.0,10.0,10.0,11.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,7.0,0.0,0.0,4.7272727272727275
2020-02-13,8.0,0.0,10.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,14.0,4.363636363636363
2020-02-14,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,15.0,4.242424242424242
2020-02-15,10.0,10.0,23.0,13.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,13.0,0.0,9.0,11.0,24.0,9.333333333333334
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.6363636363636365
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.8484848484848485
2020-02-19,8.0,8.0,20.0,0.0,26.0,0.0,0.0,19.0,22.0,0.0,0.0,0.0,6.0,13.0,8.0,0.0,0.0,8.0,9.0,14.0,9.75757575757576
2020-02-20,34.0,25.0,31.0,22.0,26.0,0.0,10.0,20.0,22.0,20.0,9.0,10.0,6.0,0.0,0.0,22.0,34.0,15.0,9.0,14.0,19.939393939393938
