date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3,batch_id
2020-01-01,35.0,19.0,22.0,36.0,35.0,16.0,18.0,38.0,36.0,33.0,29.782833505687694,0
2020-01-02,40.0,30.0,29.0,18.0,34.0,25.0,36.0,34.0,36.0,25.0,31.747673216132366,0
2020-01-03,38.0,12.0,14.0,21.0,15.0,10.0,11.0,20.0,12.0,18.0,17.68355739400207,0
2020-01-04,31.0,34.0,43.0,25.0,31.0,25.0,40.0,21.0,12.0,25.0,29.6794208893485,0
2020-01-05,43.0,33.0,37.0,27.0,30.0,21.0,19.0,20.0,12.0,21.0,27.19751809720786,0
2020-01-06,4.0,29.0,12.0,6.0,10.0,18.0,14.0,36.0,24.0,22.0,18.097207859358843,0
2020-01-07,16.0,11.0,4.0,6.0,17.0,9.0,18.0,22.0,18.0,16.0,14.167528438469493,0
2020-01-08,39.0,34.0,34.0,19.0,34.0,38.0,25.0,34.0,32.0,16.0,31.54084798345398,0
2020-01-09,16.0,19.0,30.0,19.0,10.0,13.0,21.0,19.0,11.0,10.0,17.373319544984486,0
2020-01-10,4.0,12.0,17.0,10.0,7.0,6.0,11.0,12.0,7.0,0.0,8.89348500517063,0
2020-01-11,14.0,27.0,30.0,11.0,16.0,15.0,29.0,22.0,17.0,4.0,19.131334022750774,0
2020-01-12,31.0,29.0,42.0,21.0,30.0,21.0,16.0,21.0,24.0,32.0,27.611168562564632,0
2020-01-13,7.0,23.0,11.0,17.0,24.0,11.0,25.0,10.0,9.0,6.0,14.788004136504654,0
2020-01-14,17.0,13.0,14.0,11.0,6.0,13.0,15.0,9.0,12.0,11.0,12.512926577042398,0
2020-01-15,37.0,22.0,33.0,21.0,16.0,24.0,27.0,32.0,24.0,19.0,26.37021716649431,0
2020-01-16,23.0,11.0,29.0,9.0,10.0,12.0,17.0,37.0,7.0,22.0,18.304033092037226,0
2020-01-17,24.0,35.0,48.0,13.0,17.0,26.0,29.0,31.0,11.0,20.0,26.26680455015512,0
2020-01-18,13.0,26.0,24.0,25.0,23.0,14.0,20.0,25.0,25.0,11.0,21.302998965873837,0
2020-01-19,30.0,29.0,23.0,41.0,33.0,17.0,19.0,29.0,35.0,25.0,29.058945191313338,0
2020-01-20,19.0,15.0,41.0,27.0,23.0,27.0,27.0,32.0,14.0,15.0,24.81902792140641,0
2020-01-21,30.0,22.0,49.0,31.0,23.0,27.0,27.0,25.0,24.0,22.0,28.955532574974146,0
2020-01-22,23.0,22.0,45.0,25.0,23.0,31.0,24.0,22.0,21.0,22.0,26.680455015511892,0
