,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-11-19,42.0,19.0,19.0,24.0,27.0,18.0,29.0,14.0,17.0,41.0,19.0,18.0,0.0,12.0,14.0,14.0,37.0,25.263157894736842,25.0,7.0,25.813525978004964
2020-11-20,13.0,32.0,38.0,12.0,20.0,14.0,30.0,35.0,17.0,28.0,13.0,18.0,31.0,12.0,43.0,43.0,37.0,25.263157894736842,32.0,7.0,30.654368368432934
2020-11-21,24.0,43.0,25.0,35.0,47.0,18.0,29.0,41.0,44.0,34.0,25.0,41.0,39.0,24.0,58.0,28.0,18.0,25.263157894736842,6.0,34.0,39.11052343019318
2020-11-22,12.0,25.0,43.0,28.0,26.0,22.0,35.0,33.0,27.0,34.0,24.0,28.0,30.0,24.0,35.0,28.0,35.0,25.263157894736842,18.0,26.0,34.20840455381043
2020-11-23,31.0,19.0,19.0,35.0,13.0,14.0,22.0,35.0,33.0,55.0,43.0,23.0,46.0,24.0,28.0,34.0,18.0,42.10526315789474,18.0,33.0,35.853194439965165
2020-11-24,30.0,49.0,43.0,46.0,39.0,32.0,72.0,27.0,45.0,35.0,49.0,40.0,77.0,30.0,42.0,70.0,78.0,68.42105263157895,31.0,53.0,58.60612119843906
2020-11-25,12.0,18.0,30.0,34.0,50.0,26.0,29.0,46.0,33.0,39.0,29.0,17.0,30.0,29.0,27.0,46.0,17.0,32.63157894736842,12.0,38.0,36.436933595639694
2020-11-26,31.0,57.0,38.0,35.0,40.0,23.0,44.0,42.0,28.0,56.0,37.0,35.0,24.0,37.0,64.0,36.0,30.0,16.842105263157894,32.0,33.0,45.27364788596124
2020-11-27,42.0,18.0,30.0,34.0,26.0,18.0,0.0,20.0,38.0,27.0,47.0,28.0,22.0,12.0,34.0,27.0,12.0,41.05263157894737,36.0,45.0,34.13422775502306
2020-11-28,42.0,12.0,24.0,11.0,0.0,4.0,14.0,13.0,22.0,40.0,12.0,29.0,15.0,17.0,7.0,14.0,12.0,16.842105263157894,18.0,25.0,21.31454187764053
2020-11-29,35.0,53.0,42.0,44.0,51.0,39.0,56.0,20.0,21.0,46.0,52.0,27.0,52.0,18.0,74.0,60.0,34.0,55.78947368421053,23.0,38.0,51.52062437514109
2020-11-30,42.0,44.0,31.0,23.0,33.0,23.0,14.0,26.0,33.0,40.0,18.0,28.0,31.0,53.0,42.0,27.0,29.0,32.63157894736842,12.0,59.0,39.25565194955978
2020-12-01,6.0,32.0,19.0,42.0,40.0,14.0,15.0,28.0,28.0,28.0,12.0,42.0,72.0,31.0,36.0,21.0,18.0,26.31578947368421,19.0,27.0,34.089076660109
2020-12-02,6.0,37.0,31.0,52.0,33.0,27.0,58.0,40.0,27.0,41.0,18.0,23.0,46.0,30.0,35.0,28.0,30.0,67.36842105263158,24.0,38.0,42.36462734221305
2020-12-03,25.0,6.0,31.0,40.0,33.0,22.0,29.0,54.0,28.0,61.0,43.0,34.0,63.0,30.0,43.0,62.0,36.0,50.526315789473685,31.0,33.0,46.234721191988896
2020-12-04,24.0,12.0,0.0,12.0,0.0,5.0,14.0,14.0,5.0,7.0,6.0,6.0,0.0,0.0,7.0,20.0,12.0,8.421052631578947,12.0,0.0,10.075144322249814
2020-12-05,61.0,12.0,43.0,29.0,40.0,27.0,58.0,21.0,16.0,27.0,30.0,39.0,31.0,18.0,35.0,48.0,24.0,32.63157894736842,30.0,26.0,39.68458735124327
2020-12-06,25.0,44.0,19.0,24.0,27.0,9.0,30.0,21.0,34.0,41.0,43.0,17.0,40.0,30.0,28.0,21.0,43.0,33.68421052631579,32.0,13.0,35.21462895475215
2020-12-07,31.0,19.0,13.0,29.0,27.0,18.0,22.0,41.0,17.0,21.0,42.0,23.0,39.0,30.0,57.0,28.0,12.0,49.473684210526315,18.0,13.0,33.66981649304996
2020-12-08,56.0,25.0,19.0,30.0,27.0,23.0,22.0,42.0,34.0,28.0,56.0,35.0,55.0,55.0,29.0,50.0,31.0,33.68421052631579,37.0,13.0,42.935466185054985
2020-12-09,30.0,37.0,31.0,36.0,33.0,22.0,43.0,48.0,33.0,54.0,25.0,41.0,62.0,24.0,70.0,42.0,30.0,58.94736842105263,51.0,26.0,48.834134227755015
2020-12-10,19.0,39.0,26.0,36.0,54.0,14.0,54.0,51.0,23.0,29.0,51.0,18.0,33.0,32.0,22.0,44.0,25.0,81.05263157894737,39.0,42.0,44.85761279711033
2020-12-11,0.0,26.0,26.0,12.0,41.0,33.0,47.0,22.0,17.0,22.0,32.0,12.0,8.0,26.0,51.0,44.0,19.0,26.31578947368421,32.0,21.0,31.69929370787241
2020-12-12,25.0,26.0,32.0,30.0,28.0,14.0,31.0,28.0,35.0,28.0,38.0,6.0,40.0,37.0,29.0,44.0,24.0,35.78947368421053,26.0,34.0,36.201502886445
2020-12-13,18.0,6.0,19.0,6.0,7.0,14.0,15.0,27.0,17.0,7.0,25.0,17.0,23.0,24.0,21.0,21.0,18.0,25.263157894736842,25.0,34.0,22.627148708356177
2020-12-14,19.0,38.0,51.0,41.0,34.0,23.0,45.0,14.0,28.0,35.0,25.0,29.0,48.0,37.0,29.0,28.0,19.0,43.1578947368421,38.0,34.0,40.32960299287257
2020-12-15,13.0,13.0,33.0,6.0,42.0,15.0,39.0,22.0,12.0,29.0,26.0,18.0,16.0,13.0,30.0,37.0,25.0,9.473684210526315,32.0,28.0,28.09365627116457
2020-12-16,26.0,39.0,52.0,25.0,49.0,38.0,38.0,43.0,23.0,58.0,64.0,48.0,49.0,19.0,44.0,59.0,50.0,52.63157894736842,19.0,28.0,50.469248879285324
2020-12-17,21.0,34.0,14.0,26.0,30.0,31.0,16.0,31.0,24.0,31.0,34.0,26.0,17.0,26.0,8.0,0.0,27.0,29.473684210526315,35.0,15.0,29.13535653239591
2020-12-18,49.0,36.0,7.0,13.0,15.0,21.0,26.0,32.0,26.0,16.0,21.0,20.0,27.0,14.0,33.0,24.0,21.0,0.0,14.0,15.0,26.348888960557293
2020-12-19,27.0,21.0,21.0,32.0,30.0,25.0,32.0,46.0,26.0,31.0,28.0,20.0,53.0,20.0,24.0,16.0,47.0,36.8421052631579,28.0,30.0,36.38855742251749
2020-12-20,42.0,42.0,7.0,20.0,7.0,41.0,33.0,31.0,6.0,46.0,34.0,13.0,35.0,27.0,24.0,24.0,27.0,28.42105263157895,14.0,51.0,33.85042087270617
2020-12-21,46.0,27.0,41.0,13.0,22.0,20.0,24.0,15.0,30.0,45.0,33.0,25.0,68.0,20.0,61.0,39.0,39.0,36.8421052631579,27.0,51.0,41.842164672493304
2020-12-22,60.0,40.0,28.0,38.0,29.0,25.0,56.0,38.0,37.0,38.0,20.0,44.0,43.0,20.0,31.0,38.0,27.0,65.26315789473684,62.0,29.0,47.07646660431515
