date,/m/0cjf0,isPartial
2020-03-01,28,False
2020-03-02,29,False
2020-03-03,29,False
2020-03-04,24,False
2020-03-05,26,False
2020-03-06,28,False
2020-03-07,32,False
2020-03-08,31,False
2020-03-09,30,False
2020-03-10,40,False
2020-03-11,47,False
2020-03-12,58,False
2020-03-13,69,False
2020-03-14,84,False
2020-03-15,100,False
2020-03-16,97,False
2020-03-17,82,False
2020-03-18,88,False
2020-03-19,88,False
2020-03-20,63,False
2020-03-21,63,False
2020-03-22,70,False
2020-03-23,44,False
2020-03-24,55,False
2020-03-25,43,False
2020-03-26,37,False
2020-03-27,42,False
2020-03-28,48,False
2020-03-29,45,False
2020-03-30,41,False
2020-03-31,43,False
2020-04-01,35,False
2020-04-02,33,False
2020-04-03,35,False
2020-04-04,32,False
2020-04-05,34,False
2020-04-06,23,False
2020-04-07,18,False
2020-04-08,27,False
2020-04-09,28,False
2020-04-10,22,False
2020-04-11,20,False
