,/m/0m7pl_0,/m/0m7pl_1,/m/0m7pl_2,/m/0m7pl_3,/m/0m7pl_4,/m/0m7pl_5,/m/0m7pl_6,/m/0m7pl_7,/m/0m7pl_8,/m/0m7pl_9,/m/0m7pl_10,/m/0m7pl_11,/m/0m7pl_12,/m/0m7pl_13,/m/0m7pl_14,/m/0m7pl_15,/m/0m7pl_16,/m/0m7pl_17,/m/0m7pl_18,/m/0m7pl_19,/m/0m7pl
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,19.0,5.1020408163265305
2020-10-06,0.0,16.0,20.0,22.0,11.0,18.0,0.0,20.0,22.0,32.0,0.0,24.358974358974358,19.0,0.0,20.0,19.0,20.0,39.0,14.0,0.0,20.175954997383567
2020-10-07,76.0,48.0,100.0,44.0,100.0,74.0,97.0,59.0,66.0,65.0,82.0,50.0,75.0,100.0,100.0,94.0,81.0,100.0,100.0,57.0,100.0
2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-09,0.0,18.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,23.0,16.0,22.0,8.673469387755102
2020-10-10,0.0,38.0,47.0,27.0,13.0,43.0,0.0,47.0,26.0,19.0,48.0,29.487179487179485,0.0,0.0,47.0,22.0,0.0,0.0,17.0,45.0,29.87800889586604
2020-10-11,0.0,18.0,23.0,25.0,13.0,21.0,0.0,45.0,0.0,19.0,23.0,57.69230769230769,0.0,38.0,0.0,44.0,0.0,23.0,16.0,22.0,24.725274725274723
2020-10-12,81.0,52.0,44.0,48.0,24.0,40.0,18.0,22.0,48.0,35.0,44.0,26.923076923076923,21.0,18.0,66.0,0.0,22.0,22.0,16.0,21.0,42.66091051805338
2020-10-13,0.0,17.0,43.0,24.0,0.0,40.0,0.0,21.0,48.0,18.0,45.0,0.0,41.0,36.0,43.0,21.0,0.0,22.0,15.0,42.0,30.357142857142854
2020-10-14,52.0,66.0,42.0,23.0,34.0,19.0,0.0,20.0,90.0,50.0,63.0,25.641025641025642,58.0,17.0,62.0,79.0,63.0,21.0,29.0,40.0,54.441391941391934
2020-10-15,28.0,52.0,66.0,24.0,24.0,61.0,71.0,43.0,0.0,18.0,0.0,26.923076923076923,0.0,18.0,22.0,41.0,44.0,44.0,15.0,21.0,39.47213500784929
2020-10-16,28.0,18.0,0.0,100.0,0.0,21.0,18.0,22.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,22.0,16.0,21.0,18.303571428571427
2020-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,0.0,0.0,0.0,27.0,0.0,23.0,0.0,24.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,23.0,9.375
2020-10-19,83.0,0.0,22.0,24.0,0.0,20.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,55.0,22.0,41.0,0.0,44.0,16.0,42.0,25.063775510204078
2020-10-20,54.0,34.0,65.0,24.0,24.0,0.0,0.0,21.0,94.0,35.0,0.0,53.84615384615385,61.0,73.0,22.0,20.0,65.0,22.0,30.0,0.0,44.5054945054945
2020-10-21,55.0,34.0,22.0,48.0,36.0,100.0,69.0,43.0,71.0,35.0,22.0,80.76923076923077,82.0,0.0,87.0,62.0,0.0,43.0,46.0,0.0,59.67916012558869
2020-10-22,53.0,100.0,42.0,24.0,35.0,39.0,68.0,82.0,23.0,51.0,64.0,51.282051282051285,98.0,18.0,42.0,80.0,63.0,42.0,15.0,20.0,64.43125327053899
2020-10-23,54.0,34.0,42.0,71.0,35.0,58.0,68.0,21.0,92.0,34.0,43.0,78.2051282051282,60.0,53.0,64.0,61.0,64.0,85.0,45.0,80.0,72.84471480900052
2020-10-24,90.0,19.0,72.0,0.0,26.0,66.0,58.0,46.0,52.0,19.0,0.0,88.46153846153847,45.0,100.0,48.0,45.0,48.0,49.0,34.0,45.0,60.61616954474097
2020-10-25,57.0,37.0,23.0,50.0,38.0,21.0,37.0,23.0,100.0,18.0,70.0,28.205128205128204,0.0,96.0,68.0,44.0,23.0,46.0,0.0,22.0,51.09726582940868
2020-10-26,51.0,16.0,41.0,46.0,11.0,75.0,82.0,20.0,22.0,100.0,0.0,51.282051282051285,19.0,17.0,61.0,58.0,83.0,62.0,29.0,19.0,55.056253270538974
2020-10-27,54.0,99.0,42.0,0.0,35.0,58.0,68.0,83.0,23.0,68.0,43.0,78.2051282051282,100.0,71.0,42.0,100.0,63.0,63.0,75.0,100.0,80.68910256410255
2020-10-28,53.0,33.0,42.0,23.0,34.0,38.0,17.0,61.0,23.0,51.0,42.0,51.282051282051285,40.0,18.0,42.0,20.0,42.0,21.0,30.0,59.0,47.21186551543694
2020-10-29,77.0,33.0,20.0,0.0,0.0,19.0,49.0,0.0,44.0,17.0,21.0,25.641025641025642,19.0,17.0,41.0,39.0,0.0,40.0,29.0,19.0,32.50261643118785
2020-10-30,24.0,15.0,19.0,21.0,11.0,18.0,31.0,19.0,21.0,0.0,0.0,24.358974358974358,0.0,16.0,0.0,0.0,19.0,19.0,0.0,0.0,16.413199895342753
2020-10-31,77.0,65.0,41.0,0.0,34.0,95.0,100.0,100.0,44.0,33.0,62.0,75.64102564102564,38.0,34.0,41.0,58.0,62.0,62.0,72.0,38.0,72.17098377812663
2020-11-01,52.0,16.0,41.0,46.0,23.0,19.0,17.0,41.0,22.0,17.0,21.0,76.92307692307692,0.0,35.0,21.0,20.0,62.0,21.0,15.0,39.0,38.57927786499215
2020-11-02,99.0,16.0,98.0,44.0,11.0,18.0,79.0,78.0,43.0,16.0,100.0,48.717948717948715,56.0,50.0,58.0,74.0,79.0,79.0,84.0,37.0,74.4718079539508
2020-11-03,97.0,47.0,59.0,44.0,43.0,72.0,31.0,58.0,63.0,16.0,39.0,47.43589743589744,55.0,16.0,39.0,37.0,58.0,0.0,14.0,56.0,56.851779173207746
2020-11-04,66.0,14.0,17.0,39.0,19.0,48.0,14.0,52.0,57.0,14.0,53.0,87.17948717948718,16.0,30.0,35.0,66.0,35.0,18.0,25.0,33.0,47.07777341705913
2020-11-05,23.0,58.0,36.0,40.0,20.0,51.0,29.0,54.0,80.0,30.0,37.0,44.87179487179487,17.0,31.0,36.0,70.0,18.0,18.0,39.0,17.0,47.75968079539508
2020-11-06,24.0,15.0,19.0,42.0,11.0,18.0,0.0,56.0,21.0,15.0,39.0,0.0,18.0,16.0,19.0,0.0,39.0,19.0,27.0,0.0,25.382653061224485
2020-11-07,49.0,30.0,38.0,21.0,11.0,18.0,31.0,57.0,41.0,31.0,58.0,47.43589743589744,36.0,16.0,38.0,18.0,19.0,58.0,27.0,0.0,41.099228152799576
2020-11-08,24.0,0.0,19.0,43.0,21.0,36.0,47.0,19.0,0.0,48.0,59.0,71.7948717948718,55.0,0.0,58.0,19.0,19.0,19.0,28.0,18.0,38.50732600732601
2020-11-09,49.0,0.0,39.0,86.0,21.0,18.0,16.0,39.0,21.0,32.0,20.0,71.7948717948718,0.0,16.0,20.0,19.0,0.0,20.0,41.0,55.0,37.23181580324437
2020-11-10,100.0,63.0,40.0,22.0,33.0,55.0,47.0,78.0,86.0,64.0,81.0,48.717948717948715,92.0,50.0,99.0,56.0,99.0,99.0,14.0,56.0,81.80599162742018
2020-11-11,24.0,30.0,38.0,42.0,32.0,0.0,0.0,19.0,21.0,31.0,38.0,23.076923076923077,0.0,48.0,38.0,36.0,57.0,19.0,14.0,36.0,34.82633437990581
2020-11-12,25.0,15.0,20.0,22.0,0.0,18.0,32.0,19.0,0.0,16.0,40.0,0.0,19.0,33.0,39.0,0.0,0.0,0.0,14.0,18.0,21.04591836734694
2020-11-13,75.0,16.0,40.0,22.0,32.0,55.0,32.0,39.0,22.0,16.0,20.0,97.43589743589743,56.0,33.0,40.0,38.0,100.0,40.0,42.0,56.0,55.57626896912611
2020-11-14,0.0,16.0,0.0,45.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,20.0,0.0,0.0,20.0,14.0,0.0,9.566326530612244
2020-11-15,26.0,16.0,20.0,45.0,22.0,19.0,66.0,40.0,22.0,66.0,62.0,100.0,0.0,51.0,40.0,19.0,41.0,20.0,43.0,38.0,48.21428571428571
2020-11-16,51.0,16.0,20.0,22.0,33.0,0.0,16.0,58.0,22.0,32.0,0.0,24.358974358974358,19.0,17.0,59.0,38.0,20.0,40.0,14.0,38.0,34.397893772893774
2020-11-17,0.0,16.0,0.0,0.0,0.0,18.0,16.0,0.0,0.0,32.0,20.0,0.0,19.0,0.0,0.0,19.0,20.0,20.0,0.0,0.0,11.479591836734693
2020-11-18,25.0,0.0,0.0,0.0,11.0,0.0,16.0,19.0,0.0,0.0,0.0,0.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.696428571428571
2020-11-19,24.0,0.0,20.0,44.0,11.0,18.0,32.0,0.0,43.0,16.0,20.0,24.358974358974358,37.0,33.0,19.0,19.0,0.0,20.0,14.0,19.0,26.36217948717949
2020-11-20,0.0,16.0,40.0,22.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,19.0,17.0,0.0,0.0,20.0,20.0,14.0,19.0,14.732142857142856
2020-11-21,26.0,16.0,0.0,0.0,0.0,0.0,16.0,20.0,22.0,0.0,21.0,0.0,0.0,17.0,20.0,19.0,0.0,0.0,0.0,0.0,11.288265306122447
2020-11-22,52.0,0.0,0.0,0.0,11.0,38.0,0.0,20.0,0.0,17.0,21.0,0.0,39.0,17.0,21.0,0.0,20.0,20.0,15.0,19.0,19.770408163265305
2020-11-23,0.0,16.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,20.0,14.0,0.0,8.737244897959183
2020-11-24,0.0,15.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,24.358974358974358,18.0,0.0,0.0,18.0,20.0,0.0,0.0,0.0,7.293301936159079
2020-11-25,24.0,0.0,0.0,42.0,10.0,35.0,15.0,19.0,0.0,15.0,0.0,23.076923076923077,35.0,0.0,38.0,18.0,19.0,19.0,0.0,0.0,19.902864992150707
2020-11-26,0.0,0.0,0.0,22.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,14.0,19.0,5.739795918367347
2020-11-27,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,18.0,0.0,20.0,0.0,20.0,20.0,14.0,19.0,10.96938775510204
2020-11-28,25.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,21.0,0.0,0.0,0.0,19.0,0.0,20.0,19.0,20.0,0.0,0.0,0.0,9.948979591836734
2020-11-29,0.0,0.0,0.0,0.0,0.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3163265306122445
2020-11-30,48.0,15.0,19.0,0.0,0.0,0.0,16.0,19.0,21.0,0.0,19.0,0.0,18.0,0.0,19.0,36.0,0.0,19.0,0.0,0.0,15.880102040816325
2020-12-01,25.0,0.0,0.0,22.0,0.0,36.0,16.0,0.0,0.0,16.0,39.0,24.358974358974358,0.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,13.543301936159079
2020-12-02,0.0,15.0,19.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,23.076923076923077,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,6.76510989010989
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,24.0,0.0,38.0,0.0,11.0,35.0,15.0,19.0,0.0,16.0,19.0,23.076923076923077,18.0,16.0,19.0,36.0,19.0,19.0,13.0,18.0,22.836538461538456
2020-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,25.0,0.0,20.0,0.0,0.0,19.0,16.0,20.0,22.0,0.0,20.0,0.0,19.0,0.0,20.0,19.0,0.0,41.0,14.0,0.0,16.262755102040813
2020-12-07,0.0,0.0,20.0,22.0,0.0,0.0,16.0,0.0,21.0,16.0,20.0,0.0,38.0,0.0,40.0,0.0,20.0,40.0,0.0,19.0,17.346938775510203
