,/m/0m7pl_0,/m/0m7pl_1,/m/0m7pl_2,/m/0m7pl_3,/m/0m7pl_4,/m/0m7pl_5,/m/0m7pl_6,/m/0m7pl_7,/m/0m7pl_8,/m/0m7pl_9,/m/0m7pl_10,/m/0m7pl_11,/m/0m7pl_12,/m/0m7pl_13,/m/0m7pl_14,/m/0m7pl_15,/m/0m7pl_16,/m/0m7pl_17,/m/0m7pl_18,/m/0m7pl_19,/m/0m7pl
2020-10-05,47.0,33.0,0.0,0.0,36.0,23.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,32.0,90.0,45.0,54.0,0.0,0.0,32.0,31.673881673881674
2020-10-06,47.0,33.0,25.0,47.0,36.0,0.0,0.0,20.0,48.0,0.0,31.0,32.0,30.0,0.0,45.0,0.0,27.0,33.0,0.0,0.0,32.75613275613276
2020-10-07,0.0,100.0,100.0,48.0,0.0,47.0,100.0,100.0,0.0,100.0,94.0,97.0,92.0,33.0,93.0,46.0,55.0,100.0,84.0,97.0,100.0
2020-10-08,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,0.0,0.0,0.0,49.0,49.0,30.0,0.0,0.0,0.0,16.81096681096681
2020-10-09,55.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.988455988455989
2020-10-10,58.0,40.0,0.0,0.0,45.0,57.0,0.0,24.0,0.0,0.0,0.0,0.0,37.0,79.0,0.0,55.0,33.0,41.0,0.0,39.0,36.65223665223665
2020-10-11,0.0,39.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,10.173160173160174
2020-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-13,0.0,37.0,55.0,26.0,40.0,26.0,0.0,22.0,0.0,36.0,34.0,36.0,34.0,0.0,0.0,50.0,0.0,37.0,0.0,70.0,36.291486291486294
2020-10-14,0.0,35.0,28.0,25.0,39.0,100.0,0.0,0.0,51.0,70.0,33.0,0.0,33.0,71.0,98.0,48.0,59.0,0.0,0.0,0.0,49.78354978354979
2020-10-15,55.0,38.0,0.0,28.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,52.0,32.0,0.0,0.0,0.0,20.562770562770563
2020-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.401154401154401
2020-10-17,0.0,41.0,0.0,0.0,46.0,29.0,0.0,0.0,60.0,0.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,21.284271284271284
2020-10-18,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.236652236652237
2020-10-19,52.0,0.0,0.0,0.0,0.0,26.0,37.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,50.0,0.0,0.0,0.0,0.0,17.171717171717173
2020-10-20,48.0,34.0,0.0,49.0,0.0,24.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,46.0,47.0,0.0,0.0,0.0,33.0,22.51082251082251
2020-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-22,50.0,0.0,27.0,0.0,0.0,0.0,35.0,21.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,29.0,35.0,44.0,0.0,19.76911976911977
2020-10-23,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,6.926406926406926
2020-10-24,58.0,81.0,0.0,29.0,45.0,28.0,0.0,0.0,59.0,80.0,0.0,39.0,0.0,39.0,0.0,54.0,100.0,40.0,100.0,39.0,57.070707070707066
2020-10-25,0.0,0.0,82.0,0.0,0.0,0.0,36.0,22.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,36.0,90.0,0.0,26.40692640692641
2020-10-26,49.0,0.0,0.0,100.0,38.0,24.0,0.0,20.0,100.0,68.0,64.0,0.0,0.0,100.0,94.0,46.0,57.0,0.0,0.0,100.0,62.04906204906205
2020-10-27,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,35.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,35.0,0.0,68.0,26.695526695526695
2020-10-28,50.0,0.0,0.0,25.0,78.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,48.0,0.0,0.0,0.0,34.0,21.13997113997114
2020-10-29,50.0,35.0,0.0,25.0,39.0,0.0,0.0,0.0,51.0,0.0,0.0,34.0,0.0,0.0,0.0,48.0,29.0,0.0,44.0,0.0,25.613275613275615
2020-10-30,0.0,0.0,25.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,0.0,32.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.101010101010102
2020-10-31,52.0,72.0,27.0,53.0,40.0,25.0,0.0,22.0,52.0,36.0,100.0,0.0,0.0,70.0,50.0,49.0,30.0,36.0,45.0,0.0,54.76190476190477
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02,49.0,34.0,26.0,0.0,0.0,24.0,34.0,20.0,0.0,34.0,0.0,33.0,32.0,33.0,48.0,0.0,28.0,70.0,0.0,0.0,33.54978354978355
2020-11-03,0.0,0.0,25.0,24.0,37.0,23.0,33.0,0.0,0.0,0.0,31.0,33.0,0.0,0.0,0.0,45.0,0.0,0.0,42.0,0.0,21.13997113997114
2020-11-04,88.0,30.0,23.0,44.0,100.0,21.0,31.0,0.0,89.0,30.0,57.0,30.0,0.0,0.0,84.0,42.0,76.0,31.0,39.0,30.0,60.96681096681097
2020-11-05,46.0,32.0,0.0,0.0,36.0,23.0,0.0,0.0,46.0,0.0,30.0,0.0,0.0,31.0,44.0,44.0,53.0,0.0,0.0,31.0,30.014430014430015
2020-11-06,0.0,33.0,0.0,0.0,36.0,0.0,0.0,0.0,48.0,0.0,31.0,0.0,30.0,0.0,0.0,0.0,0.0,33.0,41.0,32.0,20.49062049062049
2020-11-07,0.0,63.0,47.0,23.0,0.0,23.0,32.0,38.0,46.0,32.0,0.0,0.0,0.0,31.0,44.0,43.0,0.0,0.0,39.0,31.0,35.497835497835496
2020-11-08,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,44.0,0.0,10.894660894660895
2020-11-09,0.0,0.0,50.0,24.0,0.0,0.0,34.0,20.0,49.0,0.0,0.0,0.0,62.0,33.0,0.0,0.0,28.0,34.0,0.0,33.0,26.479076479076483
2020-11-10,0.0,0.0,26.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,32.0,33.0,0.0,0.0,47.0,47.0,0.0,34.0,42.0,0.0,20.562770562770563
2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,33.0,31.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,9.956709956709958
2020-11-12,0.0,0.0,26.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,0.0,100.0,32.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,18.3982683982684
2020-11-13,0.0,0.0,0.0,49.0,38.0,0.0,0.0,0.0,49.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,33.0,16.666666666666668
2020-11-14,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,32.0,0.0,0.0,0.0,0.0,35.0,44.0,0.0,12.33766233766234
2020-11-15,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,5.627705627705628
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
