,/m/05sfr2_0,/m/05sfr2_1,/m/05sfr2_2,/m/05sfr2_3,/m/05sfr2_4,/m/05sfr2_5,/m/05sfr2_6,/m/05sfr2_7,/m/05sfr2_8,/m/05sfr2_9,/m/05sfr2_10,/m/05sfr2_11,/m/05sfr2_12,/m/05sfr2_13,/m/05sfr2_14,/m/05sfr2_15,/m/05sfr2_16,/m/05sfr2_17,/m/05sfr2_18,/m/05sfr2_19,/m/05sfr2
2020-10-05,24.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,6.3407181054239885
2020-10-06,25.0,0.0,17.0,31.0,50.0,46.0,48.0,35.0,19.0,17.0,51.0,45.0,19.0,13.0,98.0,19.0,67.0,16.0,41.0,55.0,54.39266615737204
2020-10-07,0.0,0.0,0.0,31.0,17.0,0.0,16.0,18.0,0.0,17.0,0.0,23.0,19.0,27.0,25.0,0.0,23.0,0.0,20.0,0.0,18.029029793735674
2020-10-08,79.0,24.0,54.0,0.0,54.0,25.0,53.0,19.0,21.0,36.0,27.0,49.0,20.0,29.0,26.0,21.0,49.0,35.0,65.0,0.0,52.40641711229946
2020-10-09,0.0,0.0,58.0,53.0,39.0,80.0,0.0,60.0,45.0,0.0,29.0,26.0,44.0,31.0,28.0,45.0,0.0,18.0,0.0,43.0,45.760122230710465
2020-10-10,29.0,52.0,0.0,18.0,0.0,27.0,0.0,21.0,0.0,40.0,30.0,0.0,22.0,16.0,58.0,0.0,0.0,19.0,0.0,44.0,28.724216959511075
2020-10-11,28.0,25.0,39.0,0.0,0.0,26.0,0.0,0.0,22.0,0.0,59.0,0.0,44.0,0.0,0.0,23.0,0.0,19.0,0.0,21.0,23.376623376623375
2020-10-12,0.0,24.0,36.0,17.0,37.0,0.0,18.0,0.0,22.0,18.0,28.0,51.0,21.0,15.0,0.0,0.0,0.0,18.0,22.0,20.0,26.508785332314748
2020-10-13,26.0,24.0,18.0,34.0,37.0,50.0,18.0,38.0,0.0,0.0,28.0,25.0,0.0,0.0,54.0,0.0,25.0,18.0,22.0,41.0,34.98854087089381
2020-10-14,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6669213139801373
2020-10-15,0.0,0.0,37.0,0.0,18.0,25.0,0.0,0.0,43.0,37.0,0.0,25.0,0.0,30.0,27.0,0.0,25.0,18.0,22.0,20.0,24.98090145148969
2020-10-16,54.0,0.0,0.0,34.0,0.0,0.0,0.0,39.0,66.0,0.0,57.0,51.0,0.0,15.0,28.0,0.0,77.0,37.0,23.0,21.0,38.349885408708936
