,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-10-05,0.0,34.0,33.0,98.0,0.0,48.0,97.0,24.0,63.0,23.0,47.76119402985075,0.0,33.0,47.19101123595506,35.632183908045974,66.0,73.0,67.0,89.0,0.0,86.772348037226
2020-10-06,27.0,37.0,0.0,67.0,27.0,48.0,65.0,0.0,94.0,47.0,0.0,33.0,67.0,71.91011235955057,0.0,32.0,49.0,68.0,30.0,90.0,84.23665845431695
2020-10-07,27.0,37.0,100.0,66.0,27.0,0.0,0.0,24.0,0.0,23.0,0.0,64.0,100.0,0.0,71.26436781609195,33.0,0.0,100.0,30.0,90.0,78.24705322419217
2020-10-08,0.0,38.0,0.0,0.0,29.0,0.0,67.0,50.0,34.0,0.0,0.0,34.0,0.0,0.0,39.08045977011494,0.0,0.0,0.0,31.0,0.0,31.809895663456828
2020-10-09,60.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.246713337046225
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,26.0,55.223880597014926,37.0,38.0,0.0,0.0,0.0,0.0,38.0,34.0,0.0,26.095759052206233
2020-10-11,0.0,38.0,35.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,49.25373134328358,0.0,0.0,24.719101123595507,0.0,0.0,0.0,0.0,0.0,0.0,17.87356775012226
2020-10-12,29.0,75.0,0.0,0.0,29.0,25.0,34.0,0.0,33.0,0.0,49.25373134328358,34.0,0.0,0.0,0.0,0.0,25.0,0.0,31.0,0.0,35.97508894927938
2020-10-13,27.0,0.0,0.0,0.0,29.0,0.0,33.0,0.0,0.0,24.0,50.74626865671642,0.0,0.0,24.719101123595507,0.0,0.0,0.0,0.0,0.0,0.0,18.61355933596689
2020-10-14,0.0,0.0,0.0,34.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,33.0,34.0,0.0,36.7816091954023,34.0,0.0,34.0,0.0,30.0,26.4471339092664
2020-10-15,28.0,38.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.382562637253157
2020-10-16,0.0,39.0,37.0,36.0,29.0,26.0,69.0,27.0,34.0,100.0,52.23880597014925,72.0,0.0,25.84269662921348,39.08045977011494,36.0,79.0,36.0,64.0,32.0,82.28625577798297
2020-10-17,0.0,0.0,40.0,37.0,0.0,55.0,37.0,28.0,37.0,27.0,0.0,0.0,38.0,0.0,82.75862068965517,0.0,28.0,38.0,0.0,35.0,47.67908418204871
2020-10-18,0.0,42.0,40.0,39.0,32.0,0.0,0.0,0.0,0.0,27.0,55.223880597014926,37.0,0.0,26.96629213483146,0.0,0.0,28.0,39.0,35.0,0.0,39.62307289586276
2020-10-19,28.0,0.0,0.0,34.0,0.0,25.0,0.0,25.0,67.0,0.0,0.0,0.0,35.0,24.719101123595507,37.93103448275862,35.0,0.0,35.0,0.0,31.0,37.29816897151333
2020-10-20,56.0,0.0,0.0,0.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,23.59550561797753,0.0,34.0,0.0,0.0,0.0,0.0,16.848663337837337
2020-10-21,27.0,35.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.703446940244756
2020-10-22,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,24.0,49.25373134328358,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.654466254340297
2020-10-23,27.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0615475302353
