date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-10-05,39.0,35.0,39.0,29.0,46.0,33.0,27.0,36.0,40.0,29.0,28.0,26.0,37.0,32.0,38.0,32.0,35.0,38.0,29.0,30.0,34.36391282311201
2020-10-06,26.0,24.0,18.0,23.0,30.0,29.0,30.0,24.0,31.0,22.0,23.0,24.0,24.0,18.0,25.0,16.0,23.0,23.0,35.0,23.0,24.885960466294982
2020-10-07,27.0,33.0,38.0,32.0,24.0,32.0,26.0,31.0,28.0,25.0,32.0,23.0,36.0,25.0,31.0,23.0,29.0,42.0,25.0,18.0,29.39685757729346
2020-10-08,31.0,28.0,34.0,31.0,34.0,45.0,27.0,27.0,29.0,31.0,33.0,27.0,32.0,30.0,34.0,21.0,46.0,31.0,33.0,22.0,31.728332488596045
2020-10-09,23.0,37.0,34.0,29.0,30.0,37.0,21.0,33.0,21.0,33.0,31.0,32.0,30.0,31.0,32.0,36.0,48.0,39.0,23.0,25.0,31.677648251393816
2020-10-10,30.0,33.0,16.0,35.0,46.0,32.0,26.0,33.0,26.0,41.0,37.0,32.0,38.0,34.0,50.0,39.0,29.0,49.0,32.0,31.0,34.92143943233655
2020-10-11,37.0,37.0,28.0,42.0,42.0,48.0,38.0,24.0,29.0,27.0,29.0,19.0,32.0,24.0,24.0,32.0,38.0,38.0,32.0,37.0,33.29954384186518
2020-10-12,29.0,36.0,21.0,24.0,21.0,34.0,20.0,35.0,28.0,28.0,38.0,24.0,26.0,25.0,30.0,23.0,34.0,28.0,21.0,35.0,28.383172833248857
2020-10-13,35.0,30.0,28.0,35.0,29.0,38.0,25.0,33.0,46.0,35.0,29.0,34.0,26.0,29.0,24.0,24.0,42.0,30.0,26.0,23.0,31.474911302584893
2020-10-14,34.0,45.0,44.0,37.0,45.0,38.0,34.0,43.0,44.0,41.0,48.0,41.0,42.0,44.0,33.0,37.0,46.0,46.0,32.0,32.0,40.85149518499746
2020-10-15,29.0,30.0,28.0,39.0,26.0,40.0,28.0,22.0,31.0,28.0,26.0,28.0,24.0,26.0,19.0,24.0,25.0,20.0,31.0,29.0,28.028383172833248
2020-10-16,31.0,28.0,26.0,26.0,32.0,31.0,29.0,39.0,30.0,27.0,26.0,28.0,24.0,29.0,29.0,30.0,46.0,14.0,34.0,27.0,29.700963000506842
2020-10-17,22.0,26.0,18.0,23.0,23.0,25.0,21.0,26.0,29.0,19.0,22.0,13.0,16.0,28.0,21.0,27.0,13.0,28.0,19.0,13.0,21.895590471363406
2020-10-18,31.0,45.0,22.0,16.0,29.0,34.0,29.0,22.0,26.0,32.0,21.0,25.0,22.0,29.0,29.0,32.0,32.0,41.0,28.0,28.0,29.042067916877848
2020-10-19,28.0,36.0,26.0,27.0,24.0,30.0,35.0,28.0,28.0,35.0,23.0,24.0,27.0,24.0,32.0,17.0,28.0,29.0,29.0,29.0,28.332488596046627
2020-10-20,30.0,30.0,33.0,28.0,27.0,37.0,27.0,32.0,30.0,36.0,30.0,25.0,25.0,25.0,27.0,26.0,29.0,33.0,29.0,29.0,29.802331474911302
2020-10-21,31.0,39.0,25.0,24.0,33.0,37.0,24.0,24.0,39.0,26.0,32.0,35.0,17.0,22.0,34.0,17.0,30.0,20.0,27.0,17.0,28.028383172833248
2020-10-22,28.0,37.0,35.0,29.0,36.0,37.0,37.0,29.0,39.0,43.0,40.0,40.0,33.0,25.0,32.0,35.0,42.0,44.0,26.0,44.0,36.0364926507856
2020-10-23,29.0,36.0,31.0,37.0,31.0,40.0,35.0,26.0,41.0,34.0,32.0,29.0,32.0,32.0,40.0,24.0,39.0,27.0,24.0,29.0,32.84338570704511
2020-10-24,36.0,28.0,25.0,28.0,31.0,31.0,29.0,37.0,32.0,18.0,36.0,25.0,36.0,33.0,42.0,41.0,44.0,34.0,37.0,28.0,32.995438418651794
2020-10-25,36.0,47.0,39.0,40.0,40.0,39.0,33.0,24.0,47.0,39.0,41.0,46.0,44.0,32.0,41.0,40.0,31.0,45.0,32.0,26.0,38.62138874809934
2020-10-26,43.0,40.0,55.0,32.0,44.0,45.0,26.0,45.0,50.0,46.0,42.0,33.0,46.0,34.0,47.0,41.0,47.0,40.0,35.0,45.0,42.37202230106437
2020-10-27,39.0,40.0,31.0,38.0,38.0,50.0,41.0,37.0,40.0,37.0,40.0,46.0,33.0,40.0,44.0,35.0,55.0,51.0,32.0,35.0,40.64875823618854
2020-10-28,38.0,48.0,27.0,38.0,43.0,34.0,39.0,31.0,36.0,47.0,32.0,41.0,38.0,30.0,26.0,36.0,36.0,38.0,24.0,40.0,36.594019260010135
2020-10-29,22.0,36.0,28.0,30.0,30.0,38.0,37.0,40.0,40.0,37.0,34.0,25.0,32.0,21.0,29.0,27.0,35.0,35.0,33.0,31.0,32.43791180942726
2020-10-30,36.0,29.0,29.0,20.0,27.0,33.0,33.0,30.0,33.0,30.0,37.0,30.0,37.0,23.0,32.0,31.0,32.0,37.0,34.0,37.0,31.931069437404965
2020-10-31,26.0,27.0,35.0,23.0,36.0,41.0,37.0,38.0,50.0,30.0,32.0,29.0,35.0,34.0,36.0,27.0,50.0,41.0,49.0,42.0,36.391282311201216
2020-11-01,43.0,50.0,37.0,28.0,45.0,54.0,32.0,35.0,36.0,42.0,36.0,44.0,32.0,36.0,46.0,45.0,48.0,48.0,44.0,39.0,41.561074505828685
2020-11-02,30.0,35.0,39.0,29.0,34.0,37.0,40.0,24.0,35.0,30.0,35.0,31.0,34.0,25.0,35.0,30.0,33.0,32.0,24.0,37.0,32.89406994424734
2020-11-03,38.0,48.0,26.0,49.0,38.0,41.0,29.0,54.0,39.0,32.0,32.0,33.0,33.0,37.0,41.0,41.0,47.0,57.0,27.0,44.0,39.83781044095286
2020-11-04,35.0,45.0,31.0,33.0,33.0,41.0,44.0,28.0,29.0,45.0,28.0,31.0,32.0,26.0,35.0,31.0,33.0,33.0,32.0,33.0,34.36391282311201
2020-11-05,33.0,36.0,32.0,37.0,22.0,32.0,31.0,28.0,34.0,25.0,31.0,21.0,32.0,21.0,34.0,30.0,34.0,28.0,35.0,34.0,30.917384693360365
2020-11-06,33.0,38.0,38.0,33.0,30.0,37.0,35.0,39.0,46.0,34.0,38.0,27.0,35.0,39.0,43.0,37.0,49.0,39.0,29.0,27.0,36.79675620881905
2020-11-07,34.0,43.0,31.0,36.0,23.0,35.0,26.0,33.0,39.0,33.0,32.0,33.0,28.0,29.0,34.0,20.0,28.0,37.0,23.0,27.0,31.626964014191586
2020-11-08,25.0,37.0,17.0,25.0,23.0,29.0,27.0,26.0,38.0,25.0,22.0,27.0,34.0,17.0,21.0,26.0,25.0,39.0,22.0,29.0,27.065382665990875
2020-11-09,37.0,48.0,32.0,38.0,40.0,46.0,32.0,51.0,48.0,37.0,40.0,35.0,41.0,32.0,40.0,39.0,51.0,53.0,51.0,25.0,41.35833755701976
2020-11-10,44.0,42.0,41.0,42.0,35.0,42.0,32.0,38.0,37.0,30.0,39.0,40.0,39.0,37.0,44.0,35.0,47.0,43.0,38.0,30.0,39.28028383172833
2020-11-11,22.0,35.0,24.0,32.0,29.0,31.0,33.0,25.0,36.0,34.0,31.0,23.0,25.0,30.0,33.0,26.0,28.0,21.0,28.0,33.0,29.34617334009123
2020-11-12,28.0,26.0,23.0,31.0,18.0,32.0,34.0,27.0,28.0,23.0,29.0,20.0,29.0,24.0,28.0,29.0,29.0,23.0,31.0,29.0,27.420172326406487
2020-11-13,41.0,35.0,27.0,30.0,26.0,34.0,24.0,33.0,34.0,29.0,37.0,32.0,29.0,27.0,37.0,31.0,36.0,47.0,25.0,33.0,32.792701469842875
2020-11-14,23.0,29.0,34.0,38.0,29.0,39.0,31.0,29.0,29.0,24.0,29.0,31.0,21.0,36.0,32.0,22.0,39.0,25.0,23.0,30.0,30.05575266092245
2020-11-15,37.0,21.0,34.0,27.0,31.0,40.0,35.0,27.0,25.0,28.0,32.0,27.0,27.0,25.0,28.0,22.0,33.0,25.0,35.0,30.0,29.853015712113532
2020-11-16,29.0,27.0,32.0,27.0,28.0,30.0,31.0,20.0,30.0,31.0,28.0,25.0,28.0,18.0,38.0,24.0,33.0,43.0,15.0,31.0,28.7886467308667
2020-11-17,27.0,35.0,27.0,27.0,21.0,34.0,24.0,24.0,35.0,18.0,25.0,13.0,23.0,20.0,24.0,17.0,47.0,43.0,28.0,23.0,27.116066903193104
2020-11-18,21.0,24.0,23.0,33.0,14.0,30.0,22.0,26.0,20.0,30.0,26.0,17.0,22.0,20.0,25.0,18.0,29.0,22.0,23.0,16.0,23.365433350228077
