,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-01-29,24.0,17.0,5.0,34.0,11.0,11.0,19.0,20.0,4.0,9.0,5.0,9.0,12.0,12.0,9.0,13.0,5.0,16.0,0.0,0.0,12.98342541436464
2020-01-30,20.0,6.0,16.0,10.0,12.0,17.0,10.0,5.0,7.0,9.0,10.0,10.0,9.0,24.0,19.0,22.0,10.0,34.0,16.0,19.0,15.74585635359116
2020-01-31,10.0,24.0,28.0,21.0,34.0,12.0,21.0,22.0,20.0,30.0,20.0,10.0,18.0,19.0,30.0,5.0,27.0,18.0,23.0,25.0,23.03867403314917
2020-02-01,11.0,12.0,17.0,5.0,4.0,12.0,5.0,0.0,4.0,0.0,15.0,0.0,5.0,0.0,0.0,18.0,16.0,24.0,11.0,15.0,9.613259668508286
2020-02-02,5.0,6.0,21.0,10.0,4.0,17.0,10.0,0.0,4.0,5.0,20.0,10.0,9.0,0.0,14.0,0.0,5.0,11.0,11.0,14.0,9.72375690607735
2020-02-03,13.0,11.0,15.0,14.0,25.0,11.0,23.0,15.0,10.0,9.0,31.0,9.0,23.0,33.0,18.0,4.0,14.0,16.0,10.0,22.0,18.011049723756905
2020-02-04,19.0,52.0,21.0,10.0,16.0,28.0,25.0,21.0,11.0,28.0,24.0,19.0,8.0,36.0,23.0,17.0,15.0,6.0,21.0,23.0,23.370165745856355
2020-02-05,20.0,11.0,16.0,10.0,4.0,23.0,5.0,21.0,7.0,14.0,10.0,14.0,8.0,0.0,14.0,17.0,5.0,17.0,21.0,14.0,13.867403314917127
2020-02-06,36.0,6.0,11.0,10.0,12.0,18.0,21.0,11.0,8.0,5.0,0.0,10.0,18.0,6.0,25.0,36.0,27.0,35.0,22.0,10.0,18.06629834254144
2020-02-07,26.0,19.0,6.0,32.0,9.0,6.0,5.0,11.0,4.0,15.0,16.0,16.0,9.0,19.0,0.0,14.0,5.0,18.0,6.0,5.0,13.314917127071823
2020-02-08,5.0,0.0,12.0,11.0,0.0,26.0,11.0,12.0,0.0,0.0,5.0,11.0,0.0,0.0,5.0,15.0,6.0,25.0,12.0,11.0,9.226519337016574
2020-02-09,5.0,12.0,6.0,21.0,8.0,12.0,5.0,11.0,4.0,5.0,10.0,0.0,4.0,12.0,5.0,9.0,5.0,12.0,6.0,10.0,8.950276243093922
2020-02-10,19.0,22.0,20.0,0.0,11.0,0.0,10.0,15.0,11.0,0.0,19.0,23.0,8.0,6.0,18.0,8.0,5.0,11.0,5.0,9.0,12.154696132596685
2020-02-11,5.0,22.0,10.0,10.0,11.0,6.0,14.0,15.0,0.0,13.0,9.0,14.0,8.0,23.0,5.0,0.0,14.0,0.0,10.0,0.0,10.441988950276242
2020-02-12,19.0,11.0,5.0,19.0,0.0,28.0,10.0,10.0,4.0,4.0,5.0,0.0,0.0,12.0,9.0,13.0,15.0,38.0,0.0,5.0,11.43646408839779
2020-02-13,5.0,11.0,15.0,5.0,12.0,11.0,10.0,20.0,4.0,5.0,19.0,5.0,8.0,6.0,14.0,12.0,20.0,16.0,15.0,23.0,13.03867403314917
2020-02-14,5.0,12.0,21.0,10.0,8.0,6.0,5.0,16.0,11.0,9.0,5.0,15.0,4.0,12.0,5.0,0.0,21.0,23.0,11.0,10.0,11.546961325966851
2020-02-15,16.0,32.0,23.0,11.0,13.0,0.0,27.0,17.0,4.0,15.0,21.0,10.0,9.0,13.0,21.0,5.0,28.0,6.0,23.0,15.0,17.07182320441989
2020-02-16,5.0,6.0,11.0,5.0,4.0,6.0,10.0,0.0,8.0,10.0,5.0,5.0,17.0,12.0,10.0,9.0,5.0,0.0,11.0,10.0,8.232044198895027
2020-02-17,9.0,33.0,25.0,0.0,4.0,16.0,23.0,10.0,3.0,22.0,14.0,23.0,28.0,17.0,9.0,0.0,24.0,11.0,20.0,18.0,17.07182320441989
2020-02-18,23.0,5.0,20.0,19.0,7.0,16.0,14.0,10.0,10.0,13.0,9.0,9.0,8.0,0.0,9.0,8.0,10.0,16.0,5.0,22.0,12.87292817679558
2020-02-19,18.0,11.0,10.0,18.0,11.0,21.0,5.0,5.0,10.0,0.0,0.0,4.0,8.0,0.0,13.0,8.0,9.0,16.0,10.0,13.0,10.497237569060774
2020-02-20,15.0,6.0,21.0,15.0,32.0,12.0,20.0,11.0,11.0,5.0,15.0,10.0,13.0,12.0,9.0,9.0,26.0,17.0,11.0,19.0,15.966850828729282
2020-02-21,15.0,12.0,27.0,5.0,16.0,18.0,36.0,22.0,27.0,5.0,25.0,10.0,4.0,31.0,20.0,9.0,31.0,6.0,11.0,34.0,20.11049723756906
2020-02-22,11.0,19.0,17.0,5.0,9.0,0.0,0.0,17.0,8.0,5.0,16.0,11.0,5.0,0.0,10.0,0.0,6.0,6.0,12.0,0.0,8.67403314917127
2020-02-23,0.0,26.0,24.0,11.0,4.0,6.0,28.0,18.0,17.0,16.0,16.0,16.0,24.0,7.0,5.0,5.0,6.0,19.0,12.0,11.0,14.972375690607734
2020-02-24,15.0,11.0,0.0,5.0,0.0,23.0,0.0,10.0,4.0,5.0,5.0,9.0,4.0,0.0,0.0,13.0,0.0,11.0,0.0,0.0,6.3535911602209945
2020-02-25,5.0,27.0,29.0,14.0,18.0,11.0,19.0,29.0,14.0,17.0,13.0,18.0,20.0,6.0,13.0,8.0,14.0,5.0,20.0,27.0,18.06629834254144
2020-02-26,18.0,16.0,24.0,18.0,18.0,20.0,18.0,19.0,13.0,17.0,35.0,22.0,8.0,11.0,21.0,15.0,18.0,15.0,24.0,9.0,19.834254143646408
2020-02-27,28.0,22.0,10.0,14.0,15.0,21.0,9.0,34.0,7.0,13.0,9.0,9.0,16.0,22.0,18.0,12.0,9.0,16.0,15.0,13.0,17.23756906077348
2020-02-28,40.0,35.0,32.0,25.0,24.0,29.0,5.0,27.0,7.0,24.0,34.0,34.0,13.0,30.0,19.0,26.0,21.0,23.0,32.0,14.0,27.29281767955801
2020-02-29,62.0,30.0,0.0,52.0,25.0,48.0,21.0,5.0,11.0,14.0,10.0,15.0,13.0,19.0,10.0,41.0,26.0,89.0,22.0,15.0,29.171270718232044
2020-03-01,16.0,30.0,22.0,21.0,12.0,18.0,16.0,0.0,16.0,29.0,25.0,30.0,9.0,13.0,15.0,37.0,16.0,30.0,6.0,5.0,20.22099447513812
2020-03-02,32.0,33.0,29.0,37.0,30.0,43.0,19.0,25.0,17.0,48.0,36.0,27.0,16.0,39.0,18.0,20.0,38.0,42.0,54.0,31.0,35.027624309392266
2020-03-03,30.0,17.0,42.0,20.0,20.0,6.0,25.0,16.0,7.0,23.0,15.0,29.0,8.0,24.0,38.0,9.0,20.0,40.0,43.0,19.0,24.917127071823206
2020-03-04,58.0,29.0,53.0,49.0,40.0,52.0,35.0,26.0,19.0,42.0,24.0,38.0,38.0,36.0,28.0,30.0,31.0,61.0,32.0,29.0,41.43646408839779
