date,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-10-05,7.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,9.0,9.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,8.0,9.0,0.0,5.198019801980198
2020-10-06,15.0,25.0,0.0,17.0,0.0,43.0,18.0,22.0,18.0,18.0,9.0,20.0,0.0,0.0,22.0,9.0,25.0,0.0,18.0,9.0,17.821782178217823
2020-10-07,15.0,38.0,9.0,9.0,65.0,22.0,9.0,22.0,27.0,36.0,0.0,10.0,18.0,26.0,44.0,27.0,9.0,44.0,19.0,18.0,28.898514851485146
2020-10-08,15.0,50.0,26.0,18.0,32.0,22.0,27.0,22.0,35.0,27.0,18.0,49.0,55.0,27.0,66.0,18.0,17.0,26.0,28.0,36.0,37.99504950495049
2020-10-09,25.0,28.0,10.0,29.0,24.0,0.0,30.0,36.0,39.0,10.0,40.0,44.0,40.0,20.0,25.0,10.0,19.0,10.0,20.0,20.0,29.64108910891089
2020-10-10,28.0,30.0,53.0,0.0,26.0,53.0,21.0,27.0,11.0,33.0,32.0,48.0,44.0,11.0,27.0,21.0,51.0,43.0,11.0,11.0,35.95297029702971
2020-10-11,44.0,73.0,50.0,41.0,12.0,25.0,30.0,63.0,62.0,21.0,21.0,11.0,10.0,21.0,50.0,51.0,19.0,30.0,64.0,21.0,44.492574257425744
2020-10-12,8.0,13.0,9.0,37.0,23.0,46.0,28.0,23.0,18.0,28.0,47.0,20.0,48.0,28.0,0.0,37.0,0.0,9.0,10.0,29.0,28.527227722772285
2020-10-13,24.0,0.0,28.0,56.0,23.0,46.0,37.0,23.0,37.0,28.0,28.0,0.0,58.0,56.0,23.0,37.0,18.0,37.0,39.0,48.0,39.97524752475247
2020-10-14,8.0,65.0,28.0,28.0,0.0,57.0,37.0,23.0,18.0,38.0,19.0,41.0,38.0,28.0,57.0,28.0,9.0,37.0,29.0,19.0,37.56188118811881
2020-10-15,49.0,82.0,57.0,19.0,58.0,47.0,29.0,47.0,48.0,68.0,29.0,85.0,40.0,67.0,59.0,67.0,64.0,47.0,50.0,39.0,65.0371287128713
2020-10-16,74.0,14.0,38.0,38.0,83.0,59.0,29.0,36.0,19.0,68.0,48.0,32.0,50.0,58.0,36.0,86.0,46.0,57.0,50.0,69.0,61.262376237623755
2020-10-17,37.0,61.0,32.0,85.0,13.0,66.0,42.0,39.0,43.0,22.0,43.0,36.0,55.0,54.0,79.0,43.0,51.0,11.0,45.0,44.0,55.754950495049506
2020-10-18,27.0,30.0,63.0,42.0,91.0,53.0,32.0,39.0,32.0,11.0,32.0,60.0,22.0,53.0,53.0,42.0,20.0,73.0,77.0,33.0,54.764851485148526
2020-10-19,24.0,27.0,47.0,38.0,46.0,35.0,10.0,70.0,19.0,29.0,67.0,32.0,30.0,48.0,36.0,38.0,18.0,19.0,49.0,48.0,45.173267326732685
2020-10-20,47.0,79.0,18.0,46.0,34.0,45.0,27.0,68.0,74.0,46.0,56.0,82.0,28.0,0.0,23.0,37.0,71.0,37.0,48.0,37.0,55.878712871287135
2020-10-21,8.0,26.0,18.0,27.0,45.0,11.0,18.0,23.0,0.0,0.0,9.0,10.0,9.0,18.0,34.0,27.0,9.0,36.0,19.0,19.0,22.648514851485146
2020-10-22,40.0,41.0,56.0,38.0,35.0,81.0,47.0,47.0,38.0,29.0,48.0,31.0,59.0,9.0,35.0,47.0,45.0,9.0,39.0,68.0,52.103960396039604
2020-10-23,24.0,54.0,9.0,47.0,23.0,23.0,28.0,12.0,9.0,10.0,38.0,52.0,59.0,19.0,23.0,47.0,37.0,9.0,30.0,0.0,34.22029702970297
2020-10-24,51.0,71.0,88.0,49.0,36.0,86.0,40.0,36.0,40.0,30.0,69.0,77.0,51.0,20.0,62.0,39.0,48.0,98.0,41.0,71.0,68.2549504950495
2020-10-25,41.0,80.0,56.0,57.0,58.0,93.0,47.0,70.0,47.0,67.0,38.0,74.0,49.0,95.0,71.0,66.0,72.0,66.0,39.0,78.0,78.21782178217822
2020-10-26,39.0,78.0,64.0,55.0,44.0,78.0,55.0,78.0,46.0,64.0,37.0,61.0,56.0,54.0,56.0,55.0,52.0,36.0,28.0,28.0,65.84158415841584
2020-10-27,62.0,89.0,62.0,45.0,100.0,100.0,45.0,89.0,90.0,100.0,63.0,80.0,47.0,63.0,90.0,72.0,44.0,80.0,66.0,74.0,90.40841584158414
2020-10-28,37.0,50.0,52.0,87.0,75.0,74.0,78.0,86.0,53.0,62.0,88.0,88.0,100.0,69.0,65.0,70.0,100.0,61.0,100.0,72.0,90.77970297029701
2020-10-29,100.0,64.0,99.0,71.0,77.0,76.0,72.0,100.0,44.0,45.0,90.0,59.0,64.0,71.0,77.0,63.0,51.0,54.0,75.0,100.0,89.85148514851484
2020-10-30,38.0,76.0,44.0,44.0,88.0,22.0,62.0,33.0,36.0,53.0,18.0,20.0,56.0,45.0,33.0,26.0,69.0,62.0,37.0,45.0,56.12623762376238
2020-10-31,68.0,100.0,100.0,100.0,61.0,99.0,100.0,74.0,100.0,51.0,51.0,100.0,52.0,100.0,100.0,70.0,87.0,100.0,31.0,72.0,100.0
2020-11-01,40.0,68.0,47.0,47.0,70.0,58.0,57.0,59.0,48.0,58.0,38.0,53.0,49.0,38.0,71.0,86.0,46.0,28.0,79.0,29.0,66.15099009900989
2020-11-02,53.0,76.0,86.0,18.0,33.0,86.0,62.0,44.0,62.0,89.0,80.0,77.0,46.0,62.0,87.0,53.0,76.0,61.0,18.0,63.0,76.23762376237623
2020-11-03,23.0,25.0,27.0,9.0,76.0,44.0,27.0,55.0,0.0,36.0,18.0,30.0,28.0,63.0,44.0,27.0,34.0,27.0,37.0,28.0,40.71782178217822
2020-11-04,7.0,23.0,24.0,16.0,10.0,10.0,16.0,20.0,8.0,16.0,8.0,18.0,8.0,8.0,20.0,16.0,0.0,16.0,17.0,17.0,17.202970297029704
2020-11-05,14.0,35.0,33.0,8.0,20.0,41.0,25.0,20.0,33.0,8.0,8.0,18.0,0.0,8.0,20.0,16.0,0.0,24.0,9.0,17.0,22.09158415841584
2020-11-06,15.0,37.0,26.0,26.0,42.0,11.0,35.0,43.0,35.0,26.0,26.0,39.0,18.0,18.0,43.0,35.0,17.0,26.0,27.0,27.0,35.396039603960396
