date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-10-05,43.0,58.0,31.0,61.0,36.0,24.0,40.0,21.0,53.0,30.0,30.0,16.0,46.0,26.0,31.0,20.73170731707317,18.0,45.0,46.0,48.0,44.31517794471244
2020-10-06,49.0,52.0,46.0,63.0,48.0,96.0,53.0,42.0,49.0,25.0,19.0,49.0,36.0,13.0,44.0,32.926829268292686,60.0,29.0,34.0,61.0,55.16510103197479
2020-10-07,24.0,30.0,38.0,28.0,43.0,56.0,13.0,62.0,30.0,36.0,48.0,16.0,48.0,32.0,22.0,58.53658536585366,36.0,47.0,48.0,12.0,44.54815633447333
2020-10-08,39.0,62.0,47.0,29.0,52.0,33.0,22.0,30.0,44.0,39.0,46.0,29.0,39.0,42.0,52.0,45.1219512195122,77.0,49.0,43.0,45.0,52.911483146403015
2020-10-09,28.0,33.0,58.0,38.0,34.0,54.0,22.0,55.0,40.0,48.0,81.0,49.0,34.0,44.0,36.0,35.36585365853659,27.0,32.0,62.0,54.0,52.92641765856718
2020-10-10,22.0,48.0,45.0,40.0,28.0,28.0,63.0,40.0,35.0,43.0,41.0,38.0,71.0,46.0,50.0,48.78048780487805,28.0,34.0,39.0,35.0,50.380083334577876
2020-10-11,40.0,32.0,28.0,66.0,59.0,53.0,43.0,38.0,19.0,20.0,64.0,35.0,46.0,65.0,40.0,17.073170731707318,6.0,25.0,29.0,32.0,46.35672575755313
2020-10-12,13.0,31.0,41.0,36.0,26.0,34.0,43.0,80.0,39.0,19.0,33.0,11.0,32.0,70.0,28.0,29.26829268292683,13.0,30.0,29.0,52.0,42.2049313759166
2020-10-13,32.0,38.0,34.0,22.0,40.0,34.0,21.0,65.0,25.0,39.0,38.0,34.0,45.0,63.0,23.0,34.146341463414636,26.0,49.0,57.0,39.0,46.42243761107543
2020-10-14,39.0,56.0,60.0,64.0,44.0,67.0,63.0,56.0,26.0,63.0,25.0,34.0,26.0,41.0,56.0,50.0,63.0,55.0,57.0,19.0,59.02716587762661
2020-10-15,47.0,62.0,89.0,95.0,47.0,69.0,100.0,67.0,71.0,91.0,52.0,48.0,85.0,43.0,100.0,23.170731707317074,52.0,60.0,67.0,46.0,80.46864499171136
2020-10-16,56.0,33.0,51.0,45.0,49.0,37.0,59.0,45.0,47.0,55.0,13.0,56.0,42.0,44.0,60.0,18.29268292682927,47.0,58.0,68.0,41.0,56.59582729730133
