date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-10-05,25.0,30.0,33.0,8.0,38.0,9.0,38.0,16.0,31.0,33.0,35.0,28.0,0.0,16.0,41.0,7.0,49.0,55.0,23.0,8.0,31.279904306220097
2020-10-06,49.0,45.0,16.0,38.0,22.0,9.0,46.0,31.0,54.0,56.0,35.0,21.0,32.0,33.0,30.0,35.0,58.0,27.0,31.0,33.0,41.92583732057416
2020-10-07,51.0,38.0,17.0,39.0,23.0,54.0,23.0,32.0,8.0,68.0,14.0,28.0,16.0,34.0,21.0,21.0,25.0,19.0,23.0,58.0,36.60287081339713
2020-10-08,36.0,8.0,63.0,17.0,17.0,58.0,42.0,34.0,59.0,61.0,15.0,30.0,35.0,55.0,56.0,30.0,18.0,20.0,34.0,45.0,43.83971291866029
2020-10-09,29.0,36.0,10.0,27.0,9.0,31.0,44.0,28.0,18.0,13.0,0.0,8.0,19.0,19.0,36.0,16.0,0.0,43.0,9.0,19.0,24.760765550239235
2020-10-10,20.0,18.0,31.0,38.0,28.0,32.0,28.0,19.0,19.0,27.0,17.0,0.0,0.0,10.0,38.0,9.0,20.0,0.0,38.0,10.0,24.043062200956943
2020-10-11,48.0,26.0,39.0,18.0,53.0,31.0,44.0,28.0,36.0,52.0,0.0,24.0,28.0,19.0,48.0,24.0,10.0,11.0,18.0,29.0,35.047846889952154
2020-10-12,47.0,34.0,19.0,26.0,25.0,40.0,43.0,9.0,26.0,38.0,8.0,24.0,36.0,28.0,35.0,32.0,19.0,21.0,35.0,46.0,35.34688995215311
2020-10-13,9.0,42.0,9.0,26.0,8.0,20.0,42.0,26.0,8.0,62.0,23.0,46.0,35.0,19.0,68.0,31.0,27.0,41.0,17.0,18.0,34.50956937799043
2020-10-14,18.0,16.0,27.0,42.0,25.0,58.0,66.0,43.0,17.0,48.0,30.0,37.0,52.0,27.0,55.0,38.0,27.0,30.0,41.0,46.0,44.437799043062206
2020-10-15,10.0,35.0,57.0,45.0,44.0,10.0,36.0,63.0,35.0,39.0,41.0,32.0,47.0,29.0,83.0,33.0,58.0,21.0,27.0,29.0,46.29186602870814
2020-10-16,59.0,35.0,60.0,45.0,53.0,72.0,27.0,37.0,27.0,79.0,16.0,49.0,38.0,49.0,84.0,58.0,78.0,44.0,46.0,39.0,59.50956937799044
2020-10-17,31.0,19.0,31.0,10.0,9.0,44.0,19.0,10.0,19.0,28.0,18.0,17.0,30.0,31.0,13.0,17.0,21.0,12.0,39.0,11.0,25.657894736842106
2020-10-18,31.0,38.0,31.0,19.0,19.0,34.0,19.0,10.0,10.0,28.0,9.0,17.0,20.0,32.0,0.0,9.0,21.0,23.0,29.0,21.0,25.119617224880386
2020-10-19,37.0,17.0,46.0,42.0,25.0,48.0,51.0,17.0,51.0,0.0,23.0,31.0,44.0,18.0,11.0,15.0,18.0,10.0,0.0,9.0,30.681818181818183
2020-10-20,43.0,8.0,0.0,16.0,16.0,37.0,16.0,16.0,24.0,12.0,22.0,14.0,32.0,26.0,21.0,7.0,17.0,9.0,24.0,26.0,23.086124401913878
2020-10-21,37.0,32.0,35.0,33.0,41.0,10.0,8.0,25.0,33.0,12.0,30.0,38.0,34.0,27.0,44.0,38.0,9.0,10.0,17.0,27.0,32.29665071770335
2020-10-22,62.0,48.0,45.0,49.0,40.0,57.0,64.0,74.0,25.0,95.0,15.0,44.0,51.0,54.0,98.0,45.0,52.0,40.0,24.0,79.0,63.45693779904307
