,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-10-05,32.0,32.0,32.0,25.0,0.0,32.0,48.0,19.0,36.0,28.0,42.0,33.0,74.0,29.0,54.0,36.0,34.0,22.0,29.0,22.0,38.6737089201878
2020-10-06,11.0,11.0,21.0,13.0,20.0,0.0,10.0,9.0,14.0,38.0,11.0,11.0,0.0,0.0,11.0,0.0,26.0,0.0,10.0,11.0,13.321596244131454
2020-10-07,53.0,43.0,75.0,37.0,41.0,43.0,47.0,48.0,50.0,47.0,62.0,53.0,74.0,49.0,43.0,48.0,42.0,75.0,48.0,33.0,59.33098591549295
2020-10-08,24.0,35.0,23.0,27.0,11.0,0.0,21.0,10.0,38.0,30.0,34.0,0.0,11.0,11.0,12.0,39.0,9.0,23.0,21.0,35.0,24.295774647887324
2020-10-09,12.0,50.0,38.0,57.0,48.0,37.0,33.0,33.0,17.0,32.0,60.0,25.0,49.0,44.0,37.0,14.0,20.0,12.0,33.0,100.0,44.07276995305163
2020-10-10,27.0,0.0,13.0,46.0,13.0,26.0,12.0,12.0,53.0,34.0,0.0,13.0,39.0,24.0,26.0,15.0,21.0,27.0,36.0,0.0,25.645539906103284
2020-10-11,13.0,75.0,37.0,100.0,48.0,87.0,67.0,45.0,33.0,54.0,37.0,62.0,98.0,56.0,76.0,71.0,20.0,37.0,80.0,76.0,68.77934272300469
2020-10-12,12.0,36.0,72.0,14.0,47.0,12.0,32.0,10.0,47.0,20.0,36.0,24.0,47.0,22.0,36.0,27.0,38.0,24.0,0.0,12.0,33.333333333333336
2020-10-13,71.0,83.0,59.0,14.0,23.0,83.0,53.0,32.0,24.0,30.0,35.0,24.0,72.0,75.0,48.0,40.0,28.0,48.0,75.0,60.0,57.335680751173705
2020-10-14,35.0,59.0,23.0,40.0,34.0,23.0,42.0,21.0,46.0,49.0,11.0,71.0,59.0,52.0,58.0,26.0,28.0,12.0,21.0,47.0,44.42488262910798
2020-10-15,49.0,24.0,37.0,55.0,35.0,36.0,11.0,21.0,24.0,21.0,24.0,24.0,24.0,33.0,24.0,41.0,38.0,60.0,54.0,36.0,39.377934272300465
2020-10-16,50.0,74.0,50.0,42.0,48.0,86.0,66.0,55.0,33.0,32.0,85.0,49.0,73.0,45.0,99.0,55.0,20.0,37.0,56.0,75.0,66.31455399061032
2020-10-17,27.0,0.0,13.0,0.0,0.0,27.0,24.0,25.0,27.0,58.0,13.0,0.0,14.0,0.0,14.0,0.0,11.0,13.0,0.0,14.0,16.431924882629108
2020-10-18,55.0,42.0,41.0,48.0,78.0,40.0,24.0,48.0,37.0,60.0,54.0,41.0,83.0,12.0,55.0,78.0,55.0,68.0,37.0,55.0,59.33098591549295
2020-10-19,70.0,35.0,58.0,81.0,45.0,36.0,52.0,62.0,32.0,31.0,46.0,47.0,70.0,42.0,59.0,93.0,28.0,23.0,52.0,59.0,59.917840375586856
2020-10-20,35.0,81.0,80.0,53.0,45.0,12.0,52.0,82.0,8.0,40.0,34.0,0.0,34.0,21.0,35.0,26.0,45.0,35.0,63.0,47.0,48.59154929577465
2020-10-21,57.0,91.0,68.0,78.0,65.0,33.0,30.0,79.0,23.0,20.0,55.0,34.0,34.0,41.0,67.0,39.0,27.0,23.0,41.0,46.0,55.809859154929576
2020-10-22,46.0,46.0,92.0,39.0,33.0,45.0,41.0,20.0,23.0,58.0,33.0,35.0,57.0,42.0,46.0,39.0,54.0,45.0,41.0,91.0,54.34272300469483
2020-10-23,64.0,50.0,37.0,42.0,12.0,50.0,33.0,44.0,41.0,32.0,62.0,38.0,25.0,34.0,25.0,0.0,30.0,63.0,46.0,25.0,44.190140845070424
2020-10-24,0.0,56.0,41.0,48.0,27.0,28.0,0.0,12.0,28.0,49.0,0.0,28.0,14.0,37.0,14.0,16.0,22.0,14.0,37.0,14.0,28.46244131455399
2020-10-25,13.0,52.0,39.0,60.0,37.0,52.0,35.0,47.0,9.0,79.0,38.0,53.0,64.0,46.0,39.0,73.0,62.0,79.0,35.0,39.0,55.809859154929576
2020-10-26,48.0,36.0,36.0,14.0,23.0,59.0,32.0,21.0,8.0,41.0,35.0,47.0,12.0,32.0,35.0,27.0,19.0,12.0,32.0,48.0,36.208920187793424
2020-10-27,49.0,74.0,49.0,85.0,35.0,86.0,98.0,76.0,25.0,43.0,49.0,50.0,74.0,44.0,49.0,70.0,48.0,50.0,11.0,50.0,65.43427230046949
2020-10-28,75.0,100.0,62.0,14.0,60.0,86.0,33.0,33.0,8.0,64.0,24.0,75.0,61.0,22.0,87.0,56.0,49.0,98.0,33.0,62.0,64.67136150234741
2020-10-29,49.0,62.0,37.0,70.0,58.0,60.0,88.0,54.0,8.0,21.0,24.0,87.0,49.0,33.0,60.0,83.0,48.0,62.0,66.0,62.0,63.43896713615023
2020-10-30,33.0,33.0,22.0,0.0,32.0,33.0,30.0,59.0,45.0,38.0,44.0,45.0,22.0,40.0,44.0,37.0,9.0,22.0,20.0,22.0,36.97183098591549
2020-10-31,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,63.0,72.0,0.0,12.0,12.0,11.0,0.0,13.0,9.0,23.0,11.0,0.0,14.553990610328638
2020-11-01,36.0,36.0,48.0,28.0,34.0,12.0,11.0,32.0,16.0,62.0,0.0,36.0,47.0,21.0,47.0,54.0,19.0,24.0,21.0,36.0,36.38497652582159
2020-11-02,69.0,69.0,80.0,26.0,33.0,46.0,51.0,51.0,38.0,69.0,67.0,58.0,34.0,31.0,79.0,52.0,18.0,69.0,41.0,46.0,60.26995305164319
2020-11-03,34.0,34.0,68.0,91.0,76.0,57.0,72.0,71.0,31.0,100.0,78.0,57.0,90.0,41.0,68.0,52.0,45.0,90.0,10.0,57.0,71.71361502347418
2020-11-04,21.0,31.0,31.0,24.0,50.0,31.0,19.0,28.0,21.0,18.0,31.0,31.0,41.0,19.0,62.0,47.0,25.0,63.0,47.0,21.0,38.79107981220657
2020-11-05,66.0,55.0,43.0,38.0,42.0,44.0,29.0,19.0,22.0,28.0,42.0,22.0,65.0,39.0,33.0,50.0,35.0,66.0,39.0,44.0,48.18075117370892
2020-11-06,67.0,56.0,66.0,64.0,54.0,88.0,60.0,40.0,37.0,58.0,97.0,55.0,88.0,100.0,77.0,50.0,71.0,79.0,60.0,79.0,78.9906103286385
2020-11-07,33.0,21.0,44.0,25.0,31.0,43.0,38.0,19.0,22.0,84.0,53.0,44.0,11.0,0.0,32.0,48.0,26.0,32.0,39.0,66.0,41.72535211267605
2020-11-08,46.0,58.0,23.0,26.0,45.0,79.0,41.0,30.0,23.0,30.0,34.0,57.0,68.0,21.0,34.0,52.0,27.0,57.0,52.0,35.0,49.178403755868544
2020-11-09,11.0,57.0,22.0,0.0,32.0,11.0,30.0,30.0,30.0,19.0,33.0,22.0,33.0,30.0,23.0,26.0,9.0,45.0,30.0,23.0,30.28169014084507
2020-11-10,23.0,23.0,11.0,53.0,67.0,35.0,41.0,41.0,31.0,41.0,45.0,12.0,35.0,42.0,58.0,53.0,18.0,58.0,42.0,47.0,45.53990610328638
2020-11-11,57.0,81.0,56.0,66.0,54.0,69.0,61.0,20.0,91.0,79.0,45.0,80.0,80.0,51.0,11.0,52.0,18.0,34.0,41.0,57.0,64.7300469483568
2020-11-12,23.0,35.0,12.0,27.0,0.0,34.0,41.0,20.0,39.0,71.0,33.0,35.0,34.0,20.0,0.0,52.0,27.0,34.0,31.0,12.0,34.03755868544601
2020-11-13,35.0,35.0,58.0,53.0,33.0,58.0,41.0,31.0,24.0,20.0,22.0,34.0,23.0,21.0,58.0,52.0,18.0,23.0,72.0,59.0,45.18779342723005
2020-11-14,34.0,47.0,23.0,39.0,56.0,11.0,31.0,0.0,31.0,70.0,23.0,35.0,46.0,41.0,35.0,66.0,18.0,34.0,62.0,58.0,44.60093896713615
2020-11-15,12.0,35.0,24.0,27.0,34.0,58.0,21.0,31.0,31.0,40.0,34.0,23.0,23.0,53.0,47.0,40.0,9.0,12.0,22.0,36.0,35.91549295774648
2020-11-16,47.0,69.0,46.0,93.0,88.0,46.0,21.0,41.0,39.0,70.0,34.0,34.0,12.0,41.0,23.0,66.0,9.0,46.0,73.0,47.0,55.45774647887324
2020-11-17,35.0,24.0,47.0,27.0,22.0,59.0,21.0,21.0,15.0,0.0,23.0,35.0,23.0,42.0,47.0,40.0,28.0,47.0,32.0,36.0,36.61971830985915
2020-11-18,23.0,94.0,69.0,66.0,100.0,58.0,52.0,51.0,31.0,30.0,34.0,35.0,34.0,52.0,58.0,65.0,46.0,58.0,52.0,47.0,61.913145539906104
2020-11-19,23.0,47.0,35.0,54.0,11.0,46.0,0.0,11.0,8.0,0.0,23.0,47.0,23.0,31.0,35.0,13.0,19.0,35.0,32.0,23.0,30.28169014084507
2020-11-20,24.0,35.0,23.0,27.0,22.0,35.0,10.0,10.0,39.0,61.0,34.0,23.0,12.0,21.0,35.0,26.0,27.0,23.0,0.0,35.0,30.633802816901408
2020-11-21,12.0,12.0,12.0,28.0,0.0,12.0,0.0,22.0,24.0,10.0,12.0,24.0,12.0,11.0,12.0,14.0,0.0,0.0,0.0,0.0,12.734741784037558
2020-11-22,48.0,74.0,49.0,41.0,35.0,24.0,21.0,11.0,33.0,73.0,24.0,24.0,12.0,33.0,24.0,55.0,9.0,60.0,22.0,36.0,41.54929577464789
2020-11-23,34.0,68.0,80.0,52.0,55.0,23.0,60.0,41.0,23.0,20.0,45.0,57.0,56.0,61.0,46.0,51.0,54.0,57.0,72.0,80.0,60.739436619718305
2020-11-24,33.0,43.0,53.0,86.0,41.0,21.0,29.0,19.0,22.0,47.0,63.0,75.0,96.0,58.0,87.0,37.0,60.0,55.0,67.0,32.0,60.093896713615024
2020-11-25,10.0,41.0,31.0,24.0,39.0,20.0,0.0,18.0,21.0,53.0,50.0,10.0,10.0,37.0,41.0,47.0,8.0,21.0,46.0,31.0,32.74647887323943
2020-11-26,11.0,44.0,32.0,36.0,31.0,53.0,47.0,38.0,36.0,46.0,62.0,43.0,43.0,29.0,42.0,24.0,25.0,53.0,19.0,11.0,42.54694835680751
2020-11-27,21.0,21.0,53.0,60.0,50.0,42.0,57.0,37.0,22.0,27.0,10.0,52.0,51.0,37.0,21.0,36.0,17.0,52.0,19.0,31.0,42.018779342723
2020-11-28,21.0,32.0,42.0,36.0,70.0,42.0,28.0,0.0,14.0,9.0,31.0,42.0,52.0,57.0,41.0,47.0,33.0,31.0,47.0,53.0,42.72300469483568
2020-11-29,22.0,33.0,22.0,39.0,43.0,33.0,30.0,30.0,23.0,19.0,22.0,33.0,33.0,41.0,34.0,38.0,0.0,34.0,41.0,45.0,36.09154929577465
2020-11-30,11.0,0.0,11.0,12.0,0.0,11.0,0.0,0.0,29.0,37.0,10.0,11.0,0.0,10.0,0.0,0.0,9.0,11.0,10.0,0.0,10.093896713615024
2020-12-01,12.0,25.0,61.0,28.0,71.0,49.0,33.0,55.0,25.0,0.0,24.0,0.0,36.0,89.0,61.0,56.0,39.0,0.0,11.0,37.0,41.78403755868545
2020-12-02,36.0,49.0,24.0,42.0,35.0,24.0,11.0,33.0,24.0,31.0,12.0,48.0,0.0,33.0,24.0,41.0,10.0,0.0,33.0,36.0,32.04225352112676
2020-12-03,50.0,25.0,62.0,28.0,36.0,38.0,33.0,33.0,33.0,42.0,37.0,12.0,25.0,56.0,13.0,71.0,39.0,25.0,23.0,38.0,42.194835680751176
2020-12-04,48.0,35.0,35.0,14.0,34.0,24.0,21.0,31.0,8.0,21.0,46.0,12.0,24.0,21.0,47.0,52.0,28.0,59.0,32.0,23.0,36.09154929577465
2020-12-05,38.0,26.0,13.0,29.0,36.0,25.0,23.0,11.0,17.0,11.0,25.0,13.0,13.0,0.0,13.0,57.0,10.0,25.0,23.0,38.0,26.173708920187792
2020-12-06,24.0,25.0,12.0,14.0,35.0,49.0,11.0,0.0,8.0,32.0,24.0,37.0,0.0,44.0,12.0,28.0,10.0,12.0,22.0,37.0,25.586854460093896
