,/m/05sfr2_0,/m/05sfr2_1,/m/05sfr2_2,/m/05sfr2_3,/m/05sfr2_4,/m/05sfr2_5,/m/05sfr2_6,/m/05sfr2_7,/m/05sfr2_8,/m/05sfr2_9,/m/05sfr2_10,/m/05sfr2_11,/m/05sfr2_12,/m/05sfr2_13,/m/05sfr2_14,/m/05sfr2_15,/m/05sfr2_16,/m/05sfr2_17,/m/05sfr2_18,/m/05sfr2_19,/m/05sfr2
2020-10-05,22.0,46.0,0.0,59.0,30.0,69.0,29.0,0.0,0.0,34.0,60.0,23.0,0.0,61.0,43.0,0.0,44.44444444444444,45.0,0.0,0.0,46.63401061321737
2020-10-06,0.0,0.0,44.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,35.0,31.0,43.0,0.0,45.45454545454545,0.0,0.0,0.0,21.975358008647188
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,22.0,34.0,30.0,0.0,0.0,0.0,42.0,0.0,45.45454545454545,0.0,0.0,0.0,17.109439432184537
2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-09,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,42.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,15.91732686876765
2020-10-10,0.0,0.0,0.0,38.0,39.0,0.0,0.0,43.0,0.0,0.0,0.0,29.0,45.0,40.0,55.0,0.0,0.0,0.0,0.0,0.0,23.83475370504586
2020-10-11,0.0,27.0,53.0,36.0,36.0,0.0,0.0,0.0,26.0,83.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,41.0,54.0,39.75208057381351
2020-10-12,26.0,0.0,53.0,34.0,35.0,0.0,0.0,40.0,26.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,53.535353535353536,53.0,40.0,0.0,31.96127925091012
2020-10-13,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,35.0,52.0,0.0,0.0,50.0,0.0,0.0,0.0,39.0,51.0,25.154324844425563
2020-10-14,0.0,25.0,49.0,32.0,0.0,0.0,0.0,74.0,49.0,38.0,33.0,0.0,0.0,34.0,46.0,51.0,98.98989898989899,98.0,37.0,98.0,62.92621564658153
2020-10-15,0.0,50.0,0.0,33.0,66.0,37.0,64.0,38.0,49.0,75.0,66.0,100.0,38.0,100.0,47.0,26.0,100.0,50.0,37.0,0.0,80.4938395021618
2020-10-16,26.0,26.0,52.0,68.0,35.0,39.0,100.0,0.0,26.0,79.0,0.0,0.0,40.0,35.0,100.0,27.0,52.525252525252526,53.0,40.0,0.0,65.85692983113822
2020-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,55.0,42.0,0.0,16.164746457401346
2020-10-18,0.0,27.0,0.0,69.0,0.0,40.0,34.0,40.0,52.0,0.0,0.0,26.0,40.0,0.0,51.0,0.0,53.535353535353536,54.0,0.0,0.0,40.126125675822024
2020-10-19,25.0,0.0,0.0,33.0,0.0,0.0,32.0,38.0,0.0,38.0,33.0,25.0,0.0,34.0,96.0,0.0,0.0,0.0,38.0,0.0,32.32949291480269
2020-10-20,24.0,0.0,0.0,32.0,33.0,37.0,31.0,37.0,0.0,0.0,0.0,0.0,0.0,34.0,47.0,25.0,0.0,0.0,0.0,0.0,24.741958863369405
2020-10-21,0.0,0.0,49.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,49.494949494949495,0.0,37.0,49.0,23.215788202167627
2020-10-22,50.0,0.0,0.0,66.0,100.0,38.0,32.0,0.0,25.0,75.0,66.0,25.0,38.0,0.0,48.0,0.0,50.505050505050505,0.0,0.0,0.0,50.59772240688443
2020-10-23,0.0,0.0,0.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,38.0,0.0,0.0,25.0,0.0,0.0,75.0,97.0,27.710993926973735
2020-10-24,100.0,0.0,100.0,33.0,34.0,77.0,32.0,77.0,100.0,77.0,100.0,25.0,0.0,68.0,96.0,52.0,51.515151515151516,100.0,39.0,51.0,100.00000000000001
2020-10-25,48.0,100.0,96.0,0.0,33.0,74.0,31.0,0.0,24.0,75.0,0.0,49.0,74.0,66.0,47.0,100.0,49.494949494949495,0.0,73.0,97.0,85.48305134164731
2020-10-26,23.0,0.0,46.0,0.0,31.0,0.0,60.0,71.0,23.0,0.0,31.0,0.0,0.0,32.0,89.0,24.0,47.474747474747474,95.0,35.0,0.0,50.10038404185306
2020-10-27,0.0,78.0,50.0,100.0,0.0,38.0,65.0,39.0,50.0,77.0,68.0,76.0,77.0,0.0,97.0,0.0,51.515151515151516,51.0,0.0,50.0,79.79406692824833
2020-10-28,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,51.0,38.0,100.0,21.855396995976307
2020-10-29,0.0,0.0,0.0,31.0,0.0,36.0,62.0,0.0,0.0,0.0,64.0,24.0,37.0,32.0,46.0,0.0,0.0,0.0,0.0,0.0,27.381101142128813
2020-10-30,0.0,64.0,42.0,27.0,28.0,0.0,0.0,32.0,21.0,32.0,0.0,42.0,32.0,57.0,79.0,64.0,0.0,41.0,62.0,41.0,54.762202284257626
2020-10-31,43.0,0.0,44.0,57.0,0.0,33.0,0.0,100.0,43.0,33.0,0.0,0.0,34.0,30.0,84.0,68.0,0.0,44.0,100.0,43.0,62.34973633569089
2020-11-01,0.0,0.0,43.0,0.0,30.0,0.0,28.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,42.0,23.0,44.44444444444444,44.0,0.0,44.0,29.562058997492485
2020-11-02,43.0,44.0,0.0,86.0,29.0,33.0,56.0,66.0,21.0,33.0,59.0,0.0,33.0,88.0,82.0,22.0,86.86868686868686,87.0,33.0,43.0,77.92634060596973
