,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2021-01-03,61.0,56.0,25.0,40.0,30.0,63.0,30.0,53.0,16.0,36.0,31.0,27.0,74.0,40.0,49.0,40.0,59.0,15.0,51.0,32.0,54.50954575378538
2021-01-04,50.0,40.0,40.0,25.0,25.0,39.0,33.0,37.0,20.0,12.0,13.0,60.0,30.0,33.0,16.0,24.0,49.0,31.0,42.0,26.0,42.46214614878209
2021-01-05,51.0,53.0,41.0,74.0,38.0,78.0,25.0,45.0,88.0,30.0,57.0,53.0,37.0,73.0,56.0,67.0,56.0,38.0,50.0,33.0,68.66359447004608
2021-01-06,50.0,59.0,20.0,90.0,50.0,32.0,41.0,58.0,47.0,30.0,57.0,67.0,36.0,46.0,80.0,49.0,70.0,50.0,63.0,26.0,67.21527320605661
2021-01-07,43.0,46.0,7.0,49.0,19.0,38.0,33.0,36.0,33.0,36.0,57.0,83.0,49.0,26.0,40.0,58.0,35.0,31.0,56.0,20.0,52.33706385780118
2021-01-08,82.0,75.0,41.0,68.0,77.0,59.0,51.0,53.0,56.0,37.0,59.0,54.0,51.0,82.0,75.0,59.0,44.0,52.0,51.0,54.0,77.68268597761686
2021-01-09,69.0,39.0,24.0,49.0,45.0,54.0,69.0,44.0,81.0,36.0,53.0,81.0,73.0,39.0,48.0,88.0,76.0,68.0,93.0,88.0,80.11849901250822
2021-01-10,26.0,55.0,48.0,29.0,59.0,38.0,39.0,53.0,49.0,64.0,15.0,53.0,29.0,55.0,48.0,39.0,25.0,7.0,50.0,78.0,56.55036208031599
2021-01-11,14.0,46.0,20.0,66.0,56.0,76.0,41.0,58.0,13.0,54.0,50.0,60.0,31.0,46.0,72.0,58.0,69.0,100.0,63.0,20.0,66.68861092824226
2021-01-12,43.0,72.0,40.0,33.0,38.0,39.0,97.0,58.0,60.0,36.0,37.0,37.0,42.0,52.0,56.0,57.0,76.0,44.0,70.0,33.0,67.14944042132981
2021-01-13,28.0,19.0,59.0,40.0,49.0,25.0,32.0,29.0,20.0,23.0,18.0,22.0,18.0,6.0,24.0,40.0,20.0,36.0,27.0,39.0,37.78801843317972
2021-01-14,57.0,39.0,40.0,24.0,43.0,32.0,0.0,58.0,13.0,24.0,31.0,44.0,36.0,32.0,31.0,24.0,62.0,37.0,35.0,45.0,46.54377880184332
2021-01-15,22.0,34.0,28.0,34.0,39.0,13.0,43.0,15.0,43.0,25.0,26.0,55.0,44.0,34.0,42.0,26.0,15.0,39.0,29.0,7.0,40.355497037524685
2021-01-16,59.0,23.0,16.0,38.0,37.0,52.0,10.0,43.0,47.0,28.0,52.0,44.0,50.0,31.0,65.0,48.0,33.0,37.0,41.0,39.0,52.205398288347595
2021-01-17,25.0,8.0,15.0,28.0,21.0,0.0,10.0,43.0,39.0,55.0,37.0,52.0,28.0,23.0,46.0,38.0,16.0,7.0,16.0,15.0,34.364713627386436
