,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-10-05,79.0,51.0,32.63157894736842,29.0,31.0,25.0,62.62626262626262,11.0,14.0,12.0,38.0,62.0,38.0,24.0,43.0,45.0,26.0,28.0,0.0,38.0,42.47176670918777
2020-10-06,26.0,69.0,33.68421052631579,44.0,30.0,25.0,32.323232323232325,35.0,43.0,51.0,13.0,31.0,26.0,35.0,29.0,23.0,13.0,14.0,45.0,26.0,39.683456932806834
2020-10-07,26.0,68.0,48.421052631578945,87.0,0.0,37.0,47.474747474747474,23.0,14.0,50.0,38.0,60.0,25.0,35.0,28.0,11.0,26.0,55.0,15.0,50.0,45.83853381475869
2020-10-08,27.0,34.0,16.842105263157894,0.0,47.0,0.0,48.484848484848484,35.0,29.0,0.0,13.0,62.0,13.0,36.0,15.0,23.0,40.0,43.0,45.0,13.0,33.294710545298734
2020-10-09,16.0,21.0,61.05263157894737,54.0,0.0,30.0,39.39393939393939,42.0,35.0,47.0,62.0,38.0,31.0,15.0,18.0,14.0,48.0,17.0,18.0,77.0,42.113678756680365
2020-10-10,34.0,44.0,21.05263157894737,38.0,79.0,16.0,41.41414141414141,15.0,37.0,16.0,81.0,39.0,33.0,31.0,37.0,43.0,50.0,53.0,19.0,33.0,46.85962991572436
2020-10-11,31.0,60.0,58.94736842105263,53.0,36.0,15.0,37.37373737373738,14.0,0.0,15.0,45.0,54.0,15.0,29.0,34.0,27.0,15.0,17.0,36.0,30.0,38.34715432932298
2020-10-12,31.0,79.0,76.84210526315789,34.0,18.0,100.0,18.181818181818183,40.0,50.0,44.0,45.0,18.0,15.0,42.0,67.0,68.0,31.0,49.0,87.0,87.0,61.62103674176982
2020-10-13,46.0,58.0,18.94736842105263,33.0,69.0,42.0,54.54545454545455,13.0,50.0,0.0,45.0,35.0,29.0,0.0,0.0,39.0,30.0,64.0,17.0,15.0,40.57603971955729
2020-10-14,14.0,19.0,17.894736842105264,32.0,50.0,27.0,17.171717171717173,13.0,16.0,42.0,0.0,33.0,14.0,0.0,31.0,13.0,0.0,30.0,16.0,27.0,25.39135465416061
2020-10-15,43.0,74.0,89.47368421052632,81.0,100.0,41.0,52.525252525252526,25.0,31.0,28.0,42.0,67.0,56.0,39.0,48.0,37.0,14.0,46.0,16.0,70.0,61.61949707167852
2020-10-16,31.0,39.0,0.0,34.0,35.0,14.0,36.36363636363637,39.0,66.0,0.0,58.0,17.0,0.0,41.0,34.0,13.0,15.0,16.0,17.0,29.0,32.927253536491165
2020-10-17,16.0,41.0,78.94736842105263,36.0,0.0,60.0,38.38383838383838,55.0,88.0,0.0,76.0,55.0,46.0,100.0,53.0,69.0,48.0,68.0,0.0,31.0,59.11356934182709
2020-10-18,0.0,0.0,37.89473684210526,34.0,72.0,44.0,37.37373737373738,27.0,50.0,15.0,30.0,53.0,30.0,14.0,0.0,27.0,31.0,0.0,35.0,15.0,34.03054181318102
2020-10-19,44.0,38.0,72.63157894736842,32.0,17.0,41.0,35.35353535353536,51.0,47.0,57.0,42.0,34.0,57.0,53.0,65.0,13.0,72.0,31.0,33.0,0.0,51.45141751201106
2020-10-20,29.0,56.0,17.894736842105264,48.0,49.0,40.0,34.343434343434346,25.0,46.0,28.0,42.0,33.0,28.0,52.0,63.0,0.0,44.0,31.0,49.0,28.0,45.798011008313566
2020-10-21,71.0,56.0,89.47368421052632,32.0,0.0,27.0,85.85858585858585,37.0,77.0,41.0,41.0,33.0,42.0,52.0,62.0,37.0,100.0,30.0,81.0,55.0,64.65939549276322
2020-10-22,0.0,37.0,0.0,49.0,50.0,54.0,35.35353535353536,13.0,0.0,14.0,83.0,33.0,56.0,13.0,32.0,50.0,29.0,15.0,16.0,42.0,38.28753306195829
2020-10-23,29.0,38.0,54.73684210526316,64.0,51.0,54.0,52.525252525252526,25.0,47.0,28.0,71.0,68.0,56.0,26.0,48.0,51.0,29.0,47.0,50.0,42.0,57.38396292736492
2020-10-24,30.0,38.0,91.57894736842105,65.0,17.0,42.0,35.35353535353536,38.0,64.0,43.0,56.0,51.0,57.0,26.0,65.0,38.0,45.0,93.0,67.0,14.0,60.13653270226515
2020-10-25,43.0,18.0,53.68421052631579,63.0,49.0,27.0,51.515151515151516,62.0,62.0,14.0,41.0,66.0,14.0,39.0,78.0,37.0,57.0,76.0,97.0,56.0,61.87832544170515
2020-10-26,27.0,18.0,33.68421052631579,75.0,48.0,52.0,48.484848484848484,47.0,44.0,39.0,0.0,48.0,27.0,13.0,60.0,24.0,41.0,72.0,61.0,13.0,48.75149135065758
2020-10-27,30.0,19.0,0.0,33.0,34.0,14.0,53.535353535353536,26.0,0.0,29.0,14.0,34.0,14.0,26.0,16.0,13.0,15.0,32.0,33.0,28.0,28.562845729643104
2020-10-28,0.0,19.0,37.89473684210526,49.0,34.0,70.0,18.181818181818183,26.0,49.0,43.0,0.0,68.0,14.0,13.0,32.0,38.0,0.0,63.0,68.0,14.0,40.42715034583611
2020-10-29,14.0,54.0,52.63157894736842,0.0,16.0,0.0,50.505050505050505,36.0,30.0,27.0,54.0,33.0,27.0,37.0,31.0,24.0,28.0,44.0,32.0,27.0,38.02768916485019
2020-10-30,36.0,31.0,0.0,27.0,71.0,23.0,14.141414141414142,11.0,13.0,12.0,24.0,0.0,35.0,22.0,53.0,21.0,36.0,26.0,28.0,23.0,31.18821254785262
2020-10-31,38.0,67.0,31.57894736842105,43.0,0.0,48.0,61.61616161616162,11.0,41.0,12.0,62.0,15.0,12.0,34.0,42.0,22.0,39.0,54.0,29.0,12.0,41.54360771564718
2020-11-01,52.0,100.0,96.84210526315789,100.0,45.0,61.0,31.31313131313131,45.0,70.0,25.0,63.0,30.0,38.0,58.0,57.0,68.0,52.0,68.0,88.0,100.0,76.91077972169316
2020-11-02,25.0,16.0,15.789473684210526,14.0,44.0,24.0,30.303030303030305,33.0,68.0,37.0,25.0,15.0,48.0,45.0,69.0,32.0,50.0,40.0,57.0,48.0,45.35769812114387
2020-11-03,63.0,49.0,64.21052631578948,84.0,44.0,35.0,30.303030303030305,55.0,27.0,24.0,24.0,44.0,85.0,56.0,55.0,54.0,38.0,40.0,14.0,36.0,56.78326227919656
2020-11-04,70.0,89.0,86.3157894736842,89.0,53.0,86.0,54.54545454545455,100.0,100.0,100.0,100.0,94.0,100.0,51.0,100.0,100.0,46.0,73.0,65.0,66.0,100.0
2020-11-05,36.0,78.0,29.473684210526315,80.0,41.0,11.0,100.0,41.0,65.0,35.0,34.0,41.0,35.0,43.0,39.0,52.0,36.0,26.0,41.0,46.0,56.04137060776348
2020-11-06,25.0,64.0,62.10526315789474,98.0,58.0,12.0,30.303030303030305,33.0,81.0,36.0,24.0,73.0,24.0,45.0,55.0,43.0,38.0,67.0,100.0,36.0,61.89119970438335
2020-11-07,12.0,16.0,15.789473684210526,14.0,14.0,24.0,0.0,33.0,13.0,12.0,24.0,29.0,12.0,22.0,41.0,22.0,12.0,13.0,42.0,12.0,23.58731993230693
2020-11-08,13.0,16.0,31.57894736842105,14.0,74.0,12.0,45.45454545454545,22.0,41.0,49.0,62.0,59.0,37.0,35.0,42.0,34.0,0.0,54.0,29.0,37.0,43.5670945639163
