date,/m/0cjf0,isPartial
2020-03-01,30,False
2020-03-02,28,False
2020-03-03,30,False
2020-03-04,25,False
2020-03-05,24,False
2020-03-06,28,False
2020-03-07,26,False
2020-03-08,29,False
2020-03-09,27,False
2020-03-10,39,False
2020-03-11,48,False
2020-03-12,64,False
2020-03-13,79,False
2020-03-14,69,False
2020-03-15,100,False
2020-03-16,90,False
2020-03-17,80,False
2020-03-18,78,False
2020-03-19,73,False
2020-03-20,61,False
2020-03-21,55,False
2020-03-22,56,False
2020-03-23,50,False
2020-03-24,42,False
2020-03-25,40,False
2020-03-26,42,False
2020-03-27,39,False
2020-03-28,42,False
2020-03-29,37,False
2020-03-30,37,False
2020-03-31,33,False
2020-04-01,31,False
