,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-10-05,51.0,63.0,34.0,38.0,58.0,38.0,41.0,34.0,50.0,37.0,41.0,49.0,32.0,39.0,33.0,40.0,26.0,37.0,49.0,33.0,41.94699286442406
2020-10-06,9.0,27.0,25.0,34.0,33.0,36.0,43.0,17.0,39.0,20.0,32.0,38.0,29.0,23.0,31.0,13.0,21.0,28.0,17.0,22.0,27.370030581039757
2020-10-07,26.0,29.0,22.0,31.0,48.0,55.0,33.0,34.0,24.0,39.0,29.0,41.0,27.0,27.0,20.0,31.0,27.0,35.0,36.0,29.0,32.772680937818556
2020-10-08,27.0,30.0,21.0,26.0,47.0,31.0,38.0,36.0,45.0,38.0,23.0,43.0,31.0,27.0,44.0,35.0,31.0,26.0,41.0,28.0,34.04689092762487
2020-10-09,48.0,33.0,14.0,16.0,31.0,56.0,37.0,55.0,30.0,34.0,14.0,35.0,37.0,34.0,41.0,35.0,19.0,28.0,44.0,25.0,33.944954128440365
2020-10-10,31.0,39.0,41.0,42.0,32.0,55.0,61.0,50.0,32.0,30.0,47.0,38.0,36.0,31.0,56.0,27.0,28.0,25.0,44.0,36.0,39.80632008154944
2020-10-11,32.0,60.0,36.0,53.0,57.0,48.0,37.0,36.0,51.0,59.0,35.0,50.0,40.0,36.0,45.0,34.0,37.0,40.0,53.0,38.0,44.699286442405715
2020-10-12,43.0,44.0,21.0,42.0,51.0,58.0,54.0,37.0,61.0,44.0,36.0,34.0,32.0,27.0,42.0,43.0,31.0,49.0,57.0,61.0,44.189602446483185
2020-10-13,49.0,69.0,52.0,72.0,83.0,42.0,72.0,66.0,61.0,86.0,48.0,80.0,61.0,39.0,71.0,51.0,59.0,74.0,65.0,61.0,64.27115188583079
2020-10-14,67.0,52.0,49.0,36.0,57.0,79.0,60.0,39.0,51.0,41.0,59.0,63.0,28.0,51.0,42.0,42.0,38.0,55.0,58.0,39.0,51.27420998980632
2020-10-15,100.0,100.0,100.0,100.0,93.0,100.0,100.0,89.0,100.0,100.0,100.0,87.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,96.0,100.0
2020-10-16,60.0,78.0,49.0,44.0,77.0,55.0,43.0,60.0,69.0,65.0,49.0,70.0,46.0,50.0,82.0,53.0,63.0,54.0,46.0,43.0,58.91946992864425
2020-10-17,42.0,42.0,36.0,30.0,50.0,43.0,67.0,48.0,49.0,40.0,63.0,56.0,50.0,34.0,42.0,35.0,38.0,45.0,40.0,30.0,44.85219164118247
2020-10-18,61.0,59.0,80.0,55.0,57.0,55.0,72.0,41.0,39.0,60.0,53.0,64.0,50.0,47.0,45.0,45.0,43.0,72.0,66.0,47.0,56.625891946992866
2020-10-19,45.0,46.0,46.0,32.0,33.0,53.0,70.0,35.0,29.0,37.0,38.0,45.0,43.0,28.0,47.0,42.0,30.0,61.0,65.0,43.0,44.240570846075435
2020-10-20,64.0,44.0,45.0,37.0,58.0,55.0,45.0,41.0,46.0,42.0,52.0,75.0,61.0,45.0,34.0,28.0,38.0,38.0,72.0,53.0,49.59225280326198
2020-10-21,69.0,57.0,74.0,62.0,65.0,88.0,79.0,44.0,73.0,70.0,70.0,88.0,71.0,59.0,62.0,56.0,51.0,55.0,71.0,51.0,67.02344546381244
2020-10-22,84.0,88.0,79.0,58.0,77.0,99.0,98.0,47.0,74.0,98.0,82.0,68.0,67.0,68.0,71.0,61.0,58.0,79.0,69.0,100.0,77.72680937818554
2020-10-23,67.0,79.0,45.0,52.0,54.0,55.0,58.0,63.0,73.0,56.0,44.0,70.0,80.0,40.0,75.0,47.0,63.0,66.0,72.0,56.0,61.92660550458716
2020-10-24,62.0,77.0,62.0,48.0,54.0,84.0,65.0,58.0,44.0,66.0,66.0,51.0,57.0,44.0,51.0,53.0,37.0,55.0,53.0,69.0,58.91946992864425
2020-10-25,91.0,75.0,63.0,26.0,63.0,69.0,67.0,45.0,56.0,55.0,50.0,73.0,55.0,48.0,59.0,46.0,49.0,47.0,82.0,54.0,59.78593272171254
2020-10-26,71.0,77.0,89.0,71.0,63.0,77.0,85.0,59.0,90.0,78.0,72.0,88.0,56.0,63.0,92.0,61.0,48.0,50.0,84.0,61.0,73.13965341488277
