date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3,batch_id
2020-01-01,9.0,4.0,10.0,12.0,14.0,5.0,9.0,14.0,8.0,0.0,9.06183368869936,0
2020-01-02,11.0,15.0,9.0,10.0,11.0,8.0,4.0,12.0,7.0,11.0,10.447761194029852,0
2020-01-03,15.0,19.0,17.0,7.0,20.0,8.0,23.0,8.0,11.0,8.0,14.498933901918978,0
2020-01-04,20.0,4.0,19.0,11.0,17.0,4.0,4.0,13.0,19.0,17.0,13.646055437100214,0
2020-01-05,4.0,4.0,5.0,11.0,12.0,8.0,8.0,0.0,8.0,8.0,7.249466950959489,0
2020-01-06,4.0,4.0,5.0,7.0,12.0,8.0,8.0,0.0,4.0,0.0,5.543710021321962,0
2020-01-07,15.0,4.0,4.0,7.0,11.0,4.0,7.0,4.0,7.0,0.0,6.7164179104477615,0
2020-01-08,7.0,4.0,4.0,0.0,4.0,8.0,4.0,8.0,3.0,4.0,4.904051172707889,0
2020-01-09,11.0,26.0,13.0,13.0,12.0,8.0,11.0,20.0,10.0,11.0,14.392324093816631,0
2020-01-10,15.0,8.0,13.0,10.0,23.0,20.0,12.0,8.0,14.0,4.0,13.539445628997868,0
2020-01-11,4.0,13.0,5.0,7.0,0.0,0.0,4.0,14.0,4.0,9.0,6.396588486140725,0
2020-01-12,4.0,12.0,14.0,14.0,8.0,16.0,0.0,4.0,11.0,16.0,10.554371002132196,0
2020-01-13,6.0,13.0,7.0,3.0,7.0,10.0,3.0,7.0,0.0,13.0,7.356076759061834,0
2020-01-14,13.0,6.0,4.0,0.0,3.0,3.0,6.0,3.0,0.0,10.0,5.11727078891258,0
2020-01-15,7.0,7.0,0.0,7.0,4.0,7.0,7.0,0.0,7.0,4.0,5.330490405117271,0
2020-01-16,22.0,15.0,17.0,10.0,8.0,16.0,19.0,8.0,14.0,15.0,15.35181236673774,0
2020-01-17,8.0,8.0,4.0,3.0,8.0,8.0,0.0,4.0,4.0,8.0,5.863539445628998,0
2020-01-18,8.0,4.0,0.0,7.0,13.0,0.0,0.0,9.0,8.0,17.0,7.036247334754798,0
2020-01-19,4.0,12.0,9.0,3.0,12.0,12.0,8.0,8.0,11.0,8.0,9.27505330490405,0
2020-01-20,14.0,11.0,8.0,16.0,7.0,18.0,11.0,11.0,7.0,4.0,11.40724946695096,0
2020-01-21,18.0,7.0,17.0,10.0,11.0,15.0,19.0,19.0,21.0,11.0,15.778251599147122,0
2020-01-22,4.0,7.0,4.0,0.0,4.0,8.0,4.0,0.0,4.0,4.0,4.157782515991471,0
2020-01-23,15.0,11.0,9.0,10.0,4.0,16.0,11.0,8.0,4.0,8.0,10.23454157782516,0
2020-01-24,11.0,12.0,9.0,10.0,4.0,8.0,12.0,8.0,11.0,20.0,11.194029850746269,0
2020-01-25,4.0,8.0,0.0,11.0,22.0,18.0,4.0,9.0,12.0,17.0,11.194029850746269,0
2020-01-26,0.0,8.0,0.0,7.0,4.0,12.0,8.0,4.0,4.0,8.0,5.863539445628998,0
2020-01-27,0.0,14.0,29.0,16.0,7.0,18.0,11.0,8.0,17.0,18.0,14.712153518123667,0
2020-01-28,14.0,7.0,8.0,3.0,18.0,11.0,11.0,15.0,17.0,11.0,12.260127931769723,0
2020-01-29,15.0,7.0,12.0,10.0,7.0,8.0,22.0,16.0,10.0,11.0,12.57995735607676,0
2020-01-30,7.0,11.0,22.0,10.0,12.0,12.0,11.0,8.0,0.0,11.0,11.087420042643924,0
2020-01-31,4.0,11.0,13.0,7.0,0.0,8.0,11.0,16.0,18.0,8.0,10.23454157782516,0
2020-02-01,30.0,9.0,25.0,8.0,9.0,9.0,9.0,24.0,8.0,31.0,17.27078891257996,0
2020-02-02,28.0,12.0,32.0,14.0,29.0,17.0,20.0,26.0,19.0,16.0,22.707889125799575,0
2020-02-03,6.0,10.0,7.0,9.0,7.0,7.0,13.0,3.0,3.0,7.0,7.67590618336887,0
2020-02-04,7.0,11.0,12.0,0.0,0.0,7.0,7.0,0.0,3.0,11.0,6.183368869936034,0
2020-02-05,18.0,4.0,12.0,7.0,4.0,11.0,11.0,12.0,3.0,7.0,9.488272921108742,0
2020-02-06,15.0,7.0,13.0,0.0,4.0,15.0,8.0,4.0,4.0,11.0,8.63539445628998,0
2020-02-07,16.0,23.0,22.0,14.0,28.0,16.0,32.0,13.0,18.0,8.0,20.25586353944563,0
2020-02-08,13.0,13.0,25.0,8.0,27.0,9.0,18.0,23.0,17.0,18.0,18.23027718550107,0
2020-02-09,24.0,12.0,9.0,14.0,20.0,12.0,24.0,17.0,19.0,24.0,18.65671641791045,0
2020-02-10,23.0,10.0,27.0,12.0,17.0,21.0,7.0,25.0,23.0,24.0,20.149253731343283,0
2020-02-11,14.0,14.0,4.0,3.0,14.0,7.0,18.0,15.0,10.0,7.0,11.300639658848615,0
2020-02-12,11.0,14.0,21.0,10.0,7.0,22.0,15.0,15.0,10.0,4.0,13.752665245202559,0
2020-02-13,15.0,15.0,13.0,7.0,12.0,16.0,19.0,0.0,4.0,8.0,11.620469083155651,0
2020-02-14,15.0,8.0,13.0,0.0,8.0,0.0,16.0,8.0,4.0,0.0,7.67590618336887,0
2020-02-15,13.0,4.0,10.0,8.0,0.0,5.0,4.0,5.0,13.0,4.0,7.036247334754798,0
2020-02-16,12.0,24.0,9.0,15.0,13.0,25.0,25.0,22.0,27.0,16.0,20.042643923240938,0
2020-02-17,22.0,4.0,8.0,7.0,7.0,0.0,11.0,12.0,7.0,7.0,9.06183368869936,0
2020-02-18,7.0,4.0,8.0,3.0,7.0,0.0,4.0,4.0,0.0,4.0,4.371002132196161,0
2020-02-19,7.0,15.0,17.0,6.0,11.0,19.0,7.0,12.0,10.0,15.0,12.686567164179104,0
2020-02-20,7.0,7.0,4.0,10.0,0.0,0.0,15.0,4.0,0.0,8.0,5.863539445628998,0
2020-02-21,15.0,11.0,9.0,7.0,12.0,8.0,15.0,8.0,11.0,11.0,11.40724946695096,0
2020-02-22,9.0,9.0,0.0,8.0,4.0,13.0,9.0,14.0,4.0,4.0,7.889125799573561,0
2020-02-23,11.0,8.0,13.0,7.0,16.0,12.0,15.0,16.0,4.0,12.0,12.153518123667379,0
2020-02-24,14.0,7.0,25.0,13.0,11.0,15.0,7.0,8.0,7.0,7.0,12.153518123667379,0
2020-02-25,11.0,14.0,21.0,10.0,18.0,22.0,7.0,4.0,0.0,11.0,12.57995735607676,0
2020-02-26,17.0,21.0,16.0,16.0,14.0,14.0,25.0,30.0,17.0,11.0,19.296375266524525,0
2020-02-27,7.0,14.0,20.0,16.0,22.0,11.0,22.0,15.0,10.0,15.0,16.204690831556505,0
2020-02-28,15.0,11.0,0.0,10.0,8.0,11.0,15.0,16.0,7.0,7.0,10.660980810234541,0
2020-02-29,0.0,4.0,4.0,3.0,8.0,8.0,4.0,8.0,11.0,0.0,5.330490405117271,0
2020-03-01,7.0,10.0,8.0,3.0,10.0,10.0,10.0,0.0,0.0,7.0,6.929637526652452,0
2020-03-02,18.0,21.0,20.0,9.0,11.0,7.0,11.0,15.0,10.0,7.0,13.752665245202559,0
2020-03-03,18.0,11.0,32.0,19.0,18.0,18.0,4.0,11.0,17.0,18.0,17.697228144989342,0
2020-03-04,18.0,4.0,8.0,6.0,15.0,15.0,11.0,23.0,14.0,4.0,12.57995735607676,0
2020-03-05,11.0,4.0,4.0,13.0,15.0,15.0,11.0,16.0,14.0,8.0,11.83368869936034,0
2020-03-06,18.0,4.0,4.0,7.0,4.0,8.0,7.0,8.0,7.0,0.0,7.142857142857143,0
2020-03-07,25.0,8.0,24.0,11.0,21.0,13.0,17.0,9.0,8.0,21.0,16.737739872068232,0
2020-03-08,8.0,12.0,14.0,7.0,8.0,8.0,4.0,8.0,4.0,4.0,8.208955223880597,0
2020-03-09,21.0,31.0,28.0,34.0,18.0,14.0,35.0,19.0,17.0,21.0,25.37313432835821,0
2020-03-10,21.0,11.0,24.0,22.0,11.0,22.0,4.0,15.0,17.0,22.0,18.017057569296373,0
2020-03-11,20.0,20.0,12.0,18.0,14.0,17.0,31.0,18.0,13.0,20.0,19.50959488272921,0
2020-03-12,38.0,55.0,23.0,25.0,24.0,25.0,39.0,49.0,32.0,25.0,35.714285714285715,0
2020-03-13,28.0,42.0,25.0,29.0,29.0,29.0,25.0,27.0,27.0,11.0,28.997867803837956,0
2020-03-14,67.0,44.0,55.0,46.0,58.0,49.0,64.0,64.0,71.0,65.0,62.15351812366738,0
2020-03-15,26.0,41.0,30.0,54.0,31.0,16.0,34.0,41.0,39.0,38.0,37.3134328358209,0
2020-03-16,30.0,17.0,27.0,21.0,21.0,24.0,13.0,11.0,32.0,24.0,23.454157782515992,0
2020-03-17,100.0,100.0,100.0,84.0,100.0,97.0,89.0,68.0,100.0,100.0,100.0,0
2020-03-18,57.0,68.0,90.0,100.0,58.0,100.0,77.0,85.0,61.0,95.0,84.32835820895522,0
2020-03-19,43.0,32.0,37.0,38.0,29.0,59.0,55.0,61.0,51.0,44.0,47.86780383795309,0
2020-03-20,41.0,55.0,75.0,52.0,43.0,50.0,60.0,48.0,56.0,49.0,56.39658848614073,0
2020-03-21,87.0,77.0,80.0,75.0,64.0,80.0,100.0,100.0,69.0,64.0,84.86140724946695,0
2020-03-22,47.0,65.0,59.0,55.0,32.0,68.0,38.0,37.0,55.0,55.0,54.47761194029851,0
2020-03-23,41.0,35.0,63.0,55.0,63.0,42.0,44.0,57.0,42.0,58.0,53.30490405117271,0
2020-03-24,26.0,39.0,45.0,41.0,50.0,33.0,33.0,24.0,37.0,40.0,39.23240938166311,0
2020-03-25,25.0,39.0,40.0,11.0,46.0,30.0,36.0,35.0,28.0,36.0,34.75479744136461,0
2020-03-26,27.0,30.0,27.0,24.0,17.0,24.0,10.0,43.0,25.0,14.0,25.692963752665246,0
2020-03-27,23.0,34.0,43.0,15.0,32.0,18.0,31.0,40.0,19.0,24.0,29.744136460554373,0
2020-03-28,8.0,29.0,28.0,26.0,17.0,8.0,8.0,18.0,15.0,17.0,18.5501066098081,0
2020-03-29,7.0,18.0,16.0,29.0,15.0,30.0,22.0,23.0,34.0,11.0,21.85501066098081,0
2020-03-30,15.0,24.0,24.0,35.0,22.0,19.0,12.0,20.0,26.0,28.0,23.98720682302772,0
2020-03-31,16.0,22.0,21.0,20.0,16.0,22.0,22.0,20.0,24.0,13.0,20.895522388059703,0
2020-04-01,6.0,10.0,30.0,17.0,20.0,10.0,13.0,17.0,22.0,10.0,16.52452025586354,0
2020-04-02,20.0,23.0,43.0,12.0,21.0,31.0,27.0,11.0,29.0,21.0,25.37313432835821,0
