,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-01-29,11.0,0.0,0.0,14.0,0.0,33.0,28.0,14.0,0.0,30.0,29.0,13.0,28.0,14.0,15.0,40.0,22.0,13.0,0.0,36.0,21.614748887476157
2020-01-30,0.0,14.0,0.0,0.0,16.0,17.0,15.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,15.0,14.0,11.0,0.0,15.0,12.0,9.980928162746343
2020-01-31,11.0,0.0,0.0,0.0,16.0,17.0,0.0,14.0,14.0,16.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.547997457088366
2020-02-01,11.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.36935791481246
2020-02-02,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8264462809917354
2020-02-03,10.0,12.0,0.0,12.0,13.0,15.0,13.0,12.0,24.0,14.0,18.0,0.0,13.0,0.0,0.0,24.0,19.0,11.0,12.0,11.0,14.81246026700572
2020-02-04,46.0,0.0,14.0,15.0,31.0,34.0,30.0,14.0,28.0,31.0,10.0,27.0,29.0,15.0,31.0,28.0,23.0,13.0,29.0,38.0,30.896376350921802
2020-02-05,11.0,0.0,0.0,30.0,31.0,34.0,30.0,57.0,42.0,64.0,21.0,28.0,30.0,14.0,47.0,0.0,23.0,27.0,30.0,13.0,33.82072472981564
2020-02-06,0.0,14.0,15.0,0.0,16.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.72155117609663
2020-02-07,0.0,0.0,15.0,15.0,0.0,36.0,32.0,30.0,15.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,46.0,13.0,16.973935155753335
2020-02-08,0.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8436109345200253
2020-02-09,11.0,0.0,0.0,14.0,15.0,16.0,14.0,27.0,13.0,15.0,0.0,0.0,14.0,27.0,29.0,13.0,11.0,12.0,0.0,12.0,15.448188175460901
2020-02-10,21.0,13.0,0.0,13.0,0.0,16.0,14.0,0.0,26.0,0.0,19.0,13.0,0.0,27.0,14.0,13.0,21.0,12.0,13.0,0.0,14.939605848696758
2020-02-11,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8264462809917354
2020-02-12,0.0,13.0,13.0,14.0,29.0,0.0,0.0,27.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,11.0,13.0,14.0,12.0,10.743801652892559
2020-02-13,11.0,13.0,0.0,14.0,15.0,0.0,0.0,14.0,0.0,15.0,0.0,14.0,14.0,14.0,0.0,14.0,11.0,13.0,29.0,12.0,12.905276541640177
2020-02-14,11.0,14.0,0.0,15.0,0.0,34.0,15.0,0.0,0.0,16.0,0.0,0.0,15.0,0.0,15.0,14.0,11.0,13.0,15.0,13.0,12.778130959949141
2020-02-15,12.0,15.0,0.0,0.0,17.0,0.0,16.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,14.0,7.565162110616655
2020-02-16,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,14.0,15.0,0.0,4.640813731722822
2020-02-17,11.0,13.0,14.0,0.0,15.0,0.0,14.0,0.0,0.0,31.0,10.0,0.0,14.0,43.0,15.0,13.0,22.0,13.0,0.0,12.0,15.257469802924348
2020-02-18,0.0,13.0,13.0,0.0,0.0,17.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,13.0,11.0,13.0,14.0,12.0,8.518753973299427
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,11.0,0.0,0.0,15.0,0.0,0.0,0.0,14.0,14.0,0.0,11.0,14.0,0.0,15.0,15.0,0.0,0.0,13.0,30.0,13.0,10.489510489510488
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,12.0,0.0,0.0,16.0,17.0,19.0,16.0,31.0,15.0,34.0,11.0,0.0,16.0,16.0,17.0,30.0,12.0,28.0,31.0,27.0,22.123331214240302
