,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-10-05,100.0,47.0,37.37373737373738,43.67816091954023,30.0,23.0,93.0,31.0,88.0,30.0,76.04166666666667,52.12765957446808,71.0,61.0,48.0,91.0,16.0,32.0,72.0,74.74747474747475,85.64474426486422
2020-10-06,0.0,48.0,39.39393939393939,22.988505747126435,32.0,24.0,38.0,0.0,37.0,0.0,53.125,26.595744680851062,19.0,16.0,0.0,37.0,0.0,0.0,37.0,19.19191919191919,34.450172807602755
2020-10-07,41.0,71.0,19.19191919191919,87.35632183908046,31.0,94.0,37.0,16.0,18.0,46.0,26.041666666666668,65.95744680851064,55.0,16.0,33.0,37.0,16.0,16.0,55.0,38.38383838383838,62.79240647538072
2020-10-08,0.0,0.0,0.0,0.0,16.0,25.0,0.0,65.0,0.0,0.0,0.0,69.14893617021276,0.0,0.0,34.0,0.0,0.0,50.0,0.0,0.0,19.87051595902264
2020-10-09,68.0,53.0,62.62626262626262,49.42528735632184,35.0,78.0,22.0,0.0,41.0,53.0,87.5,87.23404255319149,40.0,52.0,54.0,61.0,54.0,17.0,40.0,43.43434343434343,76.53955853124089
2020-10-10,0.0,0.0,44.44444444444444,49.42528735632184,54.0,28.0,44.0,0.0,21.0,37.0,30.208333333333332,60.638297872340424,21.0,0.0,0.0,64.0,0.0,19.0,0.0,44.44444444444444,39.65384627735551
2020-10-11,44.0,0.0,0.0,24.137931034482758,0.0,0.0,0.0,17.0,19.0,17.0,56.25,56.38297872340426,20.0,0.0,52.0,0.0,17.0,51.0,39.0,21.21212121212121,33.27610319484601
2020-10-12,22.0,25.0,20.2020202020202,22.988505747126435,34.0,25.0,41.0,100.0,19.0,0.0,28.125,57.4468085106383,0.0,34.0,69.0,20.0,0.0,67.0,19.0,41.41414141414141,49.46958166102015
2020-10-13,22.0,0.0,20.2020202020202,0.0,17.0,51.0,21.0,52.0,19.0,17.0,28.125,72.34042553191489,0.0,0.0,71.0,20.0,18.0,35.0,0.0,21.21212121212121,37.17864836951256
2020-10-14,22.0,50.0,19.19191919191919,0.0,16.0,49.0,20.0,17.0,0.0,16.0,28.125,56.38297872340426,0.0,0.0,51.0,0.0,17.0,100.0,58.0,40.4040404040404,42.946555789742064
