date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc,batch_id
2020-01-01,3.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.3,0
2020-01-02,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.5,0
2020-01-03,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.6,0
2020-01-04,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.6,0
2020-01-05,3.0,3.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,3.3,0
2020-01-06,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.3,0
2020-01-07,4.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.1,0
2020-01-08,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
2020-01-09,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0
2020-01-10,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.3,0
2020-01-11,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.9,0
2020-01-12,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.7,0
2020-01-13,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.5,0
2020-01-14,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0
2020-01-15,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.7,0
2020-01-16,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.9,0
2020-01-17,4.0,4.0,4.0,6.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,0
2020-01-18,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.1,0
2020-01-19,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.2,0
2020-01-20,5.0,4.0,6.0,6.0,7.0,5.0,7.0,5.0,6.0,5.0,5.6,0
2020-01-21,8.0,8.0,8.0,8.0,10.0,10.0,8.0,7.0,8.0,8.0,8.3,0
2020-01-22,11.0,13.0,12.0,9.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,0
2020-01-23,14.0,14.0,13.0,15.0,12.0,16.0,14.0,16.0,13.0,11.0,13.8,0
2020-01-24,26.0,26.0,27.0,25.0,26.0,27.0,29.0,25.0,29.0,26.0,26.6,0
