date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-11-05,67.0,73.0,64.0,55.0,62.0,69.0,60.0,56.0,67.0,78.0,49.0,72.0,63.0,65.0,60.0,72.0,50.0,51.0,53.0,60.0,64.35950413223141
2020-11-06,66.0,59.0,50.0,59.0,52.0,54.0,68.0,60.0,65.0,72.0,50.0,54.0,65.0,48.0,57.0,57.0,55.0,46.0,59.0,46.0,58.98760330578513
2020-11-07,62.0,65.0,56.0,59.0,48.0,47.0,64.0,60.0,54.0,61.0,52.0,50.0,58.0,60.0,60.0,62.0,58.0,47.0,67.0,62.0,59.50413223140496
2020-11-08,73.0,63.0,62.0,69.0,56.0,70.0,58.0,69.0,66.0,73.0,65.0,63.0,78.0,64.0,67.0,74.0,58.0,68.0,76.0,72.0,69.42148760330579
2020-11-09,64.0,81.0,64.0,63.0,61.0,60.0,73.0,69.0,62.0,57.0,55.0,67.0,83.0,66.0,60.0,65.0,49.0,63.0,55.0,70.0,66.47727272727272
2020-11-10,78.0,57.0,58.0,60.0,52.0,53.0,69.0,58.0,54.0,60.0,51.0,57.0,72.0,57.0,66.0,55.0,56.0,59.0,57.0,66.0,61.72520661157025
2020-11-11,63.0,69.0,65.0,43.0,65.0,50.0,57.0,60.0,72.0,61.0,51.0,64.0,70.0,57.0,61.0,51.0,51.0,60.0,66.0,55.0,61.518595041322314
2020-11-12,67.0,56.0,52.0,47.0,54.0,57.0,55.0,61.0,58.0,58.0,51.0,58.0,51.0,57.0,48.0,55.0,56.0,53.0,47.0,54.0,56.559917355371894
2020-11-13,40.0,56.0,42.0,50.0,48.0,49.0,48.0,44.0,41.0,57.0,52.0,56.0,74.0,50.0,57.0,43.0,46.0,47.0,52.0,52.0,51.85950413223141
2020-11-14,48.0,40.0,48.0,46.0,50.0,45.0,61.0,47.0,50.0,54.0,43.0,56.0,51.0,48.0,40.0,45.0,52.0,60.0,45.0,50.0,50.56818181818182
2020-11-15,44.0,43.0,53.0,40.0,51.0,47.0,43.0,46.0,46.0,48.0,53.0,68.0,66.0,55.0,48.0,47.0,35.0,56.0,59.0,43.0,51.18801652892562
2020-11-16,56.0,46.0,44.0,41.0,46.0,45.0,38.0,40.0,53.0,49.0,47.0,49.0,49.0,45.0,47.0,42.0,43.0,38.0,48.0,49.0,47.26239669421488
2020-11-17,31.0,29.0,37.0,34.0,40.0,45.0,42.0,39.0,34.0,30.0,32.0,41.0,56.0,35.0,34.0,34.0,33.0,35.0,46.0,50.0,39.10123966942149
2020-11-18,47.0,51.0,42.0,36.0,46.0,45.0,38.0,38.0,58.0,50.0,41.0,51.0,54.0,44.0,45.0,49.0,34.0,48.0,49.0,45.0,47.05578512396694
2020-11-19,38.0,41.0,26.0,31.0,33.0,34.0,38.0,43.0,33.0,36.0,37.0,45.0,41.0,40.0,32.0,37.0,32.0,28.0,47.0,46.0,38.1198347107438
2020-11-20,50.0,31.0,40.0,37.0,30.0,32.0,39.0,35.0,40.0,35.0,37.0,30.0,34.0,46.0,56.0,31.0,41.0,37.0,44.0,44.0,39.7210743801653
2020-11-21,37.0,24.0,25.0,31.0,36.0,25.0,24.0,36.0,34.0,40.0,33.0,35.0,40.0,32.0,34.0,27.0,30.0,27.0,37.0,28.0,32.799586776859506
2020-11-22,41.0,47.0,41.0,43.0,40.0,45.0,55.0,52.0,30.0,52.0,41.0,59.0,37.0,45.0,41.0,41.0,39.0,50.0,41.0,35.0,45.196280991735534
2020-11-23,41.0,52.0,35.0,40.0,33.0,29.0,35.0,43.0,43.0,39.0,33.0,47.0,41.0,30.0,34.0,35.0,27.0,34.0,29.0,47.0,38.584710743801644
2020-11-24,36.0,40.0,47.0,44.0,30.0,34.0,43.0,38.0,40.0,40.0,50.0,38.0,38.0,43.0,30.0,30.0,36.0,48.0,47.0,41.0,40.960743801652896
2020-11-25,53.0,43.0,43.0,38.0,39.0,43.0,42.0,48.0,40.0,27.0,30.0,48.0,43.0,32.0,29.0,48.0,37.0,32.0,37.0,39.0,40.85743801652893
2020-11-26,32.0,22.0,21.0,24.0,27.0,33.0,25.0,28.0,31.0,30.0,27.0,27.0,34.0,23.0,27.0,21.0,16.0,28.0,24.0,27.0,27.22107438016529
