date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-02-29,47.0,38.0,36.0,35.0,42.0,30.0,25.0,38.0,34.0,29.0,23.0,34.0,33.0,38.0,30.0,35.0,29.0,31.0,39.0,38.0,35.62500000000001
2020-03-01,51.0,33.0,45.0,39.0,46.0,43.0,49.0,47.0,47.0,42.0,33.0,43.0,31.0,39.0,44.0,43.0,47.0,42.0,40.0,43.0,44.11458333333334
2020-03-02,48.0,48.0,36.0,44.0,52.0,37.0,31.0,42.0,41.0,50.0,36.0,46.0,47.0,38.0,40.0,45.0,24.0,40.0,48.0,45.0,43.64583333333334
2020-03-03,58.0,38.0,40.0,41.0,42.0,38.0,29.0,49.0,38.0,49.0,32.0,41.0,44.0,45.0,34.0,43.0,33.0,36.0,51.0,46.0,43.07291666666666
2020-03-04,45.0,39.0,38.0,43.0,45.0,38.0,38.0,48.0,39.0,39.0,33.0,34.0,44.0,38.0,34.0,38.0,31.0,40.0,36.0,36.0,40.41666666666666
2020-03-05,36.0,35.0,30.0,31.0,38.0,53.0,40.0,36.0,32.0,35.0,23.0,31.0,34.0,41.0,29.0,44.0,39.0,37.0,42.0,33.0,37.44791666666667
2020-03-06,38.0,34.0,29.0,29.0,40.0,36.0,40.0,32.0,27.0,32.0,31.0,34.0,43.0,29.0,34.0,31.0,39.0,35.0,33.0,30.0,35.20833333333333
2020-03-07,38.0,24.0,22.0,35.0,35.0,39.0,39.0,20.0,29.0,22.0,22.0,26.0,30.0,29.0,27.0,27.0,33.0,35.0,28.0,29.0,30.67708333333333
2020-03-08,43.0,37.0,38.0,34.0,36.0,33.0,39.0,34.0,32.0,30.0,31.0,29.0,45.0,34.0,29.0,34.0,26.0,30.0,45.0,41.0,36.458333333333336
2020-03-09,40.0,36.0,29.0,37.0,38.0,37.0,28.0,34.0,41.0,33.0,33.0,37.0,37.0,33.0,33.0,38.0,29.0,38.0,33.0,39.0,36.614583333333336
2020-03-10,39.0,43.0,36.0,46.0,50.0,46.0,41.0,48.0,51.0,41.0,36.0,45.0,59.0,43.0,32.0,42.0,42.0,48.0,43.0,47.0,45.72916666666666
2020-03-11,43.0,47.0,47.0,40.0,37.0,44.0,40.0,44.0,40.0,32.0,35.0,29.0,39.0,42.0,32.0,42.0,41.0,41.0,45.0,33.0,41.302083333333336
2020-03-12,71.0,67.0,62.0,66.0,59.0,57.0,68.0,63.0,66.0,58.0,51.0,54.0,72.0,62.0,53.0,68.0,59.0,67.0,63.0,58.0,64.79166666666667
2020-03-13,88.0,77.0,74.0,69.0,79.0,83.0,77.0,79.0,75.0,74.0,63.0,83.0,87.0,90.0,63.0,77.0,69.0,91.0,87.0,86.0,81.82291666666667
2020-03-14,98.0,100.0,100.0,92.0,100.0,91.0,82.0,89.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,85.0,89.0,98.0,100.0,100.0
2020-03-15,100.0,91.0,78.0,100.0,97.0,100.0,100.0,100.0,97.0,79.0,82.0,100.0,87.0,89.0,74.0,95.0,100.0,100.0,100.0,95.0,97.08333333333331
2020-03-16,79.0,91.0,85.0,88.0,89.0,94.0,88.0,81.0,88.0,83.0,74.0,84.0,88.0,87.0,81.0,100.0,95.0,95.0,80.0,100.0,91.14583333333331
2020-03-17,86.0,92.0,70.0,84.0,89.0,78.0,65.0,90.0,77.0,82.0,64.0,89.0,92.0,94.0,76.0,83.0,80.0,83.0,90.0,87.0,85.98958333333331
2020-03-18,60.0,70.0,49.0,61.0,58.0,66.0,62.0,66.0,67.0,48.0,54.0,64.0,67.0,65.0,57.0,70.0,65.0,72.0,56.0,64.0,64.63541666666667
2020-03-19,76.0,63.0,60.0,63.0,83.0,73.0,66.0,63.0,64.0,56.0,62.0,62.0,74.0,61.0,57.0,66.0,58.0,65.0,65.0,69.0,68.02083333333333
2020-03-20,65.0,59.0,53.0,58.0,58.0,56.0,52.0,56.0,57.0,54.0,45.0,59.0,50.0,58.0,48.0,62.0,61.0,58.0,52.0,70.0,58.90625
2020-03-21,58.0,54.0,60.0,63.0,75.0,43.0,50.0,71.0,58.0,55.0,49.0,59.0,61.0,66.0,44.0,59.0,39.0,45.0,67.0,63.0,59.32291666666666
2020-03-22,64.0,66.0,58.0,62.0,57.0,61.0,58.0,62.0,68.0,56.0,51.0,69.0,68.0,58.0,50.0,57.0,55.0,66.0,68.0,61.0,63.28125
2020-03-23,54.0,52.0,42.0,46.0,59.0,40.0,46.0,51.0,39.0,42.0,35.0,52.0,56.0,51.0,44.0,47.0,45.0,51.0,51.0,50.0,49.63541666666666
2020-03-24,48.0,38.0,30.0,38.0,43.0,40.0,40.0,41.0,48.0,42.0,35.0,43.0,38.0,34.0,32.0,43.0,43.0,45.0,37.0,50.0,42.083333333333336
2020-03-25,51.0,39.0,43.0,40.0,44.0,42.0,37.0,42.0,35.0,42.0,35.0,42.0,41.0,44.0,31.0,36.0,34.0,38.0,36.0,38.0,41.145833333333336
2020-03-26,50.0,35.0,30.0,36.0,47.0,40.0,43.0,30.0,35.0,29.0,29.0,39.0,40.0,37.0,28.0,32.0,30.0,40.0,39.0,39.0,37.91666666666666
2020-03-27,57.0,53.0,38.0,48.0,51.0,37.0,37.0,49.0,49.0,46.0,37.0,46.0,53.0,60.0,48.0,45.0,40.0,46.0,50.0,57.0,49.32291666666666
2020-03-28,48.0,50.0,37.0,51.0,45.0,50.0,38.0,43.0,47.0,45.0,34.0,56.0,53.0,55.0,48.0,48.0,44.0,36.0,50.0,52.0,48.4375
2020-03-29,43.0,40.0,28.0,36.0,42.0,31.0,34.0,45.0,35.0,39.0,37.0,41.0,35.0,45.0,34.0,36.0,28.0,45.0,39.0,52.0,39.84375
2020-03-30,30.0,35.0,28.0,28.0,28.0,31.0,34.0,23.0,24.0,26.0,30.0,34.0,33.0,28.0,24.0,38.0,34.0,25.0,35.0,35.0,31.40625
2020-03-31,33.0,25.0,25.0,23.0,27.0,30.0,22.0,26.0,35.0,21.0,24.0,27.0,23.0,21.0,23.0,31.0,17.0,31.0,23.0,22.0,26.51041666666667
2020-04-01,31.0,22.0,20.0,21.0,22.0,41.0,32.0,22.0,25.0,18.0,22.0,21.0,28.0,27.0,18.0,20.0,36.0,34.0,24.0,29.0,26.71875
2020-04-02,37.0,35.0,21.0,31.0,30.0,19.0,25.0,21.0,29.0,24.0,24.0,31.0,30.0,28.0,20.0,34.0,18.0,25.0,30.0,30.0,28.22916666666667
2020-04-03,14.0,16.0,16.0,15.0,15.0,20.0,23.0,19.0,21.0,17.0,16.0,21.0,18.0,21.0,14.0,20.0,22.0,23.0,16.0,18.0,19.010416666666668
2020-04-04,26.0,25.0,23.0,26.0,22.0,21.0,24.0,26.0,17.0,23.0,24.0,20.0,26.0,21.0,17.0,24.0,29.0,26.0,20.0,24.0,24.16666666666667
2020-04-05,25.0,24.0,14.0,23.0,25.0,20.0,20.0,21.0,20.0,19.0,17.0,28.0,23.0,29.0,17.0,19.0,21.0,31.0,18.0,21.0,22.65625
2020-04-06,22.0,18.0,16.0,15.0,18.0,10.0,17.0,21.0,18.0,15.0,17.0,20.0,25.0,17.0,13.0,19.0,14.0,17.0,18.0,17.0,18.072916666666668
2020-04-07,27.0,19.0,18.0,25.0,15.0,25.0,17.0,25.0,29.0,20.0,20.0,20.0,29.0,19.0,19.0,24.0,19.0,24.0,26.0,19.0,22.86458333333333
2020-04-08,22.0,25.0,20.0,24.0,17.0,20.0,25.0,21.0,25.0,19.0,20.0,19.0,22.0,20.0,18.0,17.0,18.0,17.0,22.0,20.0,21.40625
2020-04-09,20.0,18.0,15.0,21.0,12.0,21.0,18.0,21.0,21.0,16.0,16.0,15.0,20.0,20.0,15.0,17.0,13.0,18.0,13.0,22.0,18.333333333333336
