,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-10-05,48.0,38.0,42.0,52.0,38.0,31.0,49.0,59.0,32.0,52.0,64.0,53.0,36.0,43.0,42.0,30.0,41.0,39.0,37.0,44.0,45.288912024986985
2020-10-06,35.0,26.0,33.0,61.0,35.0,39.0,49.0,47.0,32.0,28.0,61.0,46.0,33.0,43.0,33.0,33.0,44.0,42.0,37.0,46.0,41.8011452368558
2020-10-07,32.0,24.0,45.0,43.0,40.0,22.0,33.0,45.0,36.0,38.0,38.0,28.0,24.0,33.0,28.0,34.0,23.0,26.0,39.0,28.0,34.30504945340969
2020-10-08,45.0,38.0,68.0,66.0,58.0,49.0,40.0,74.0,44.0,36.0,66.0,54.0,65.0,41.0,48.0,30.0,38.0,47.0,43.0,47.0,51.90005205622072
2020-10-09,38.0,39.0,49.0,47.0,47.0,51.0,42.0,45.0,32.0,47.0,50.0,53.0,49.0,43.0,40.0,25.0,44.0,54.0,39.0,45.0,45.75741801145237
2020-10-10,37.0,44.0,52.0,64.0,31.0,52.0,55.0,78.0,39.0,45.0,45.0,57.0,44.0,57.0,46.0,35.0,59.0,51.0,26.0,48.0,50.234252993232694
2020-10-11,44.0,55.0,59.0,57.0,56.0,46.0,45.0,63.0,26.0,60.0,53.0,36.0,66.0,47.0,49.0,50.0,59.0,51.0,49.0,54.0,53.35762623633524
2020-10-12,57.0,42.0,53.0,92.0,83.0,65.0,66.0,68.0,60.0,58.0,95.0,76.0,67.0,63.0,57.0,61.0,75.0,60.0,79.0,59.0,69.54711087975014
2020-10-13,84.0,44.0,63.0,61.0,51.0,47.0,66.0,73.0,60.0,57.0,61.0,64.0,95.0,89.0,54.0,47.0,85.0,75.0,81.0,72.0,69.1827173347215
2020-10-14,49.0,59.0,88.0,68.0,69.0,49.0,51.0,84.0,68.0,54.0,77.0,76.0,76.0,73.0,70.0,47.0,70.0,50.0,69.0,62.0,68.14159292035399
